"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 05:33:23 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.M3 (at pin)"
"Probe 2: U15.K7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4754e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4754e-001","6.1051e-007","2.4275e-001","-9.7586e-003"
"","   1.9550e-11","2.4754e-001","1.1256e-006","2.4275e-001","-9.7622e-003"
"","   2.9326e-11","2.4754e-001","1.5594e-006","2.4275e-001","-9.7654e-003"
"","   3.9101e-11","2.4754e-001","1.9177e-006","2.4275e-001","-9.7682e-003"
"","   4.8876e-11","2.4755e-001","2.2145e-006","2.4275e-001","-9.7708e-003"
"","   5.8651e-11","2.4758e-001","2.4650e-006","2.4275e-001","-9.7730e-003"
"","   6.8426e-11","2.4761e-001","2.6737e-006","2.4275e-001","-9.7637e-003"
"","   7.8201e-11","2.4763e-001","2.8453e-006","2.4275e-001","-9.7500e-003"
"","   8.7977e-11","2.4765e-001","3.0095e-006","2.4471e-001","-9.7363e-003"
"","   9.7752e-11","2.4766e-001","3.2682e-006","2.4537e-001","-9.7198e-003"
"","  10.7527e-11","2.4766e-001","3.4814e-006","2.4523e-001","-9.6883e-003"
"","  11.7302e-11","2.4766e-001","3.6387e-006","2.4510e-001","-9.6571e-003"
"","  12.7077e-11","2.4767e-001","3.7523e-006","2.4498e-001","-9.6161e-003"
"","  13.6853e-11","2.4767e-001","3.8850e-006","2.4435e-001","-9.5602e-003"
"","  14.6628e-11","2.4768e-001","4.1577e-006","2.4473e-001","-9.5041e-003"
"","  15.6403e-11","2.4768e-001","4.3383e-006","2.4509e-001","-9.4485e-003"
"","  16.6178e-11","2.4768e-001","4.4402e-006","2.4564e-001","-9.3823e-003"
"","  17.5953e-11","2.4768e-001","4.4855e-006","2.4617e-001","-9.3187e-003"
"","  18.5728e-11","2.4768e-001","4.5101e-006","2.4681e-001","-9.2554e-003"
"","  19.5504e-11","2.4768e-001","4.5016e-006","2.4796e-001","-9.1761e-003"
"","  20.5279e-11","2.4768e-001","4.4662e-006","2.4910e-001","-9.0332e-003"
"","  21.5054e-11","2.4768e-001","4.4161e-006","2.5060e-001","-8.8856e-003"
"","  22.4829e-11","2.4768e-001","4.3639e-006","2.5275e-001","-8.6856e-003"
"","  23.4604e-11","2.4767e-001","4.3478e-006","2.5493e-001","-8.5109e-003"
"","  24.4380e-11","2.4767e-001","4.2968e-006","2.5707e-001","-8.3149e-003"
"","  25.4155e-11","2.4766e-001","4.2244e-006","2.5960e-001","-8.1172e-003"
"","  26.3930e-11","2.4766e-001","4.1421e-006","2.6223e-001","-7.9086e-003"
"","  27.3705e-11","2.4765e-001","4.0794e-006","2.6475e-001","-7.6953e-003"
"","  28.3480e-11","2.4765e-001","4.0262e-006","2.6769e-001","-7.4801e-003"
