"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 05:34:09 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.N2 (at pin)"
"Probe 2: U15.E7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4756e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4756e-001","5.9894e-007","2.4275e-001","-9.7604e-003"
"","   1.9551e-11","2.4756e-001","1.1031e-006","2.4275e-001","-9.7639e-003"
"","   2.9326e-11","2.4757e-001","1.5258e-006","2.4275e-001","-9.7671e-003"
"","   3.9102e-11","2.4757e-001","1.8801e-006","2.4275e-001","-9.7699e-003"
"","   4.8877e-11","2.4757e-001","2.1771e-006","2.4275e-001","-9.7724e-003"
"","   5.8653e-11","2.4757e-001","2.4254e-006","2.4275e-001","-9.7747e-003"
"","   6.8428e-11","2.4757e-001","2.6323e-006","2.4275e-001","-9.7696e-003"
"","   7.8204e-11","2.4759e-001","2.8067e-006","2.4275e-001","-9.7559e-003"
"","   8.7979e-11","2.4760e-001","2.9535e-006","2.4285e-001","-9.7421e-003"
"","   9.7755e-11","2.4762e-001","3.0768e-006","2.4428e-001","-9.7278e-003"
"","  10.7530e-11","2.4763e-001","3.1803e-006","2.4484e-001","-9.7006e-003"
"","  11.7305e-11","2.4764e-001","3.5126e-006","2.4501e-001","-9.6691e-003"
"","  12.7081e-11","2.4765e-001","4.3441e-006","2.4502e-001","-9.6344e-003"
"","  13.6856e-11","2.4765e-001","4.7244e-006","2.4497e-001","-9.5801e-003"
"","  14.6632e-11","2.4766e-001","4.8882e-006","2.4489e-001","-9.5239e-003"
"","  15.6407e-11","2.4766e-001","4.9394e-006","2.4488e-001","-9.4680e-003"
"","  16.6183e-11","2.4767e-001","4.9288e-006","2.4513e-001","-9.4063e-003"
"","  17.5958e-11","2.4767e-001","4.8823e-006","2.4555e-001","-9.2064e-003"
"","  18.5734e-11","2.4768e-001","4.8162e-006","2.4604e-001","-9.2250e-003"
"","  19.5509e-11","2.4769e-001","4.7408e-006","2.4674e-001","-9.1914e-003"
"","  20.5285e-11","2.4769e-001","4.6606e-006","2.4773e-001","-9.0821e-003"
"","  21.5060e-11","2.4769e-001","4.5792e-006","2.4890e-001","-8.9406e-003"
"","  22.4835e-11","2.4769e-001","4.4991e-006","2.5046e-001","-8.7901e-003"
"","  23.4611e-11","2.4769e-001","4.8296e-006","2.5241e-001","-8.5920e-003"
"","  24.4386e-11","2.4768e-001","4.8939e-006","2.5452e-001","-8.3759e-003"
"","  25.4162e-11","2.4768e-001","4.6346e-006","2.5676e-001","-8.1612e-003"
"","  26.3937e-11","2.4767e-001","4.3306e-006","2.5945e-001","-7.9518e-003"
"","  27.3713e-11","2.4767e-001","4.0648e-006","2.6280e-001","-7.7346e-003"
"","  28.3488e-11","2.4767e-001","3.8518e-006","2.6524e-001","-7.5045e-003"
"","  29.3264e-11","2.4766e-001","3.6856e-006","2.6827e-001","-7.2183e-003"
"","  30.3039e-11","2.4766e-001","3.5789e-006","2.7273e-001","-6.8824e-003"
"","  31.2814e-11","2.4766e-001","3.5145e-006","2.7799e-001","-6.5293e-003"
"","  32.2590e-11","2.4765e-001","3.4618e-006","2.8433e-001","-6.1214e-003"
"","  33.2365e-11","2.4765e-001","3.4154e-006","2.9177e-001","-5.7036e-003"
"","  34.2141e-11","2.4764e-001","3.3771e-006","2.9978e-001","-5.2864e-003"
"","  35.1916e-11","2.4764e-001","3.6961e-006","3.0794e-001","-4.7559e-003"
"","  36.1692e-11","2.4764e-001","3.4684e-006","3.1634e-001","-4.4380e-003"
"","  37.1467e-11","2.4764e-001","3.2013e-006","3.2499e-001","-4.0237e-003"
"","  38.1243e-11","2.4764e-001","3.0633e-006","3.3439e-001","-3.4880e-003"
"","  39.1018e-11","2.4764e-001","3.0305e-006","3.4577e-001","-2.9371e-003"
"","  40.0794e-11","2.4764e-001","3.0601e-006","3.5839e-001","-2.4246e-003"
"","  41.0569e-11","2.4764e-001","3.1220e-006","3.7241e-001","-1.8613e-003"
"","  42.0344e-11","2.4784e-001","3.2318e-006","3.8805e-001","-1.3262e-003"
"","  43.0120e-11","2.4825e-001","3.3245e-006","4.0436e-001","-8.2956e-004"
"","  43.9895e-11","2.4859e-001","3.3850e-006","4.2112e-001","-3.4268e-004"
"","  44.9671e-11","2.4882e-001","3.4306e-006","4.3840e-001","1.4901e-004"
"","  45.9446e-11","2.4896e-001","3.4992e-006","4.5541e-001","6.3670e-004"
"","  46.9222e-11","2.4903e-001","3.6863e-006","4.7338e-001","1.2070e-003"
"","  47.8997e-11","2.4906e-001","-3.9471e-006","4.9324e-001","1.7594e-003"
"","  48.8773e-11","2.4910e-001","-1.4377e-005","5.1357e-001","2.2602e-003"
"","  49.8548e-11","2.4922e-001","-2.0656e-005","5.3438e-001","2.8030e-003"
