"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:10:19 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.M11 (at pin)"
"Probe 2: U15.G7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4842e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4842e-001","5.7168e-007","2.4275e-001","-9.7589e-003"
"","   1.9550e-11","2.4842e-001","1.0600e-006","2.4275e-001","-9.7624e-003"
"","   2.9326e-11","2.4842e-001","1.4760e-006","2.4275e-001","-9.7656e-003"
"","   3.9101e-11","2.4842e-001","1.8243e-006","2.4275e-001","-9.7685e-003"
"","   4.8876e-11","2.4842e-001","2.1171e-006","2.4275e-001","-9.7710e-003"
"","   5.8651e-11","2.4844e-001","2.3659e-006","2.4275e-001","-9.7732e-003"
"","   6.8426e-11","2.4847e-001","2.5766e-006","2.4275e-001","-9.7639e-003"
"","   7.8201e-11","2.4849e-001","2.7521e-006","2.4275e-001","-9.7502e-003"
"","   8.7977e-11","2.4851e-001","2.9018e-006","2.4471e-001","-9.7365e-003"
"","   9.7752e-11","2.4853e-001","3.0412e-006","2.4537e-001","-9.7199e-003"
"","  10.7527e-11","2.4854e-001","3.2021e-006","2.4523e-001","-9.6885e-003"
"","  11.7302e-11","2.4854e-001","3.4629e-006","2.4510e-001","-9.6572e-003"
"","  12.7077e-11","2.4854e-001","3.6510e-006","2.4498e-001","-9.6163e-003"
"","  13.6853e-11","2.4855e-001","3.7866e-006","2.4435e-001","-9.5604e-003"
"","  14.6628e-11","2.4855e-001","3.8892e-006","2.4473e-001","-9.5043e-003"
"","  15.6403e-11","2.4855e-001","4.1144e-006","2.4509e-001","-9.4486e-003"
"","  16.6178e-11","2.4856e-001","4.3308e-006","2.4564e-001","-9.3825e-003"
"","  17.5953e-11","2.4856e-001","4.4686e-006","2.4617e-001","-9.3188e-003"
"","  18.5728e-11","2.4856e-001","4.5505e-006","2.4681e-001","-9.2555e-003"
"","  19.5504e-11","2.4856e-001","4.5874e-006","2.4797e-001","-9.1762e-003"
"","  20.5279e-11","2.4856e-001","4.5833e-006","2.4910e-001","-9.0333e-003"
"","  21.5054e-11","2.4856e-001","4.5943e-006","2.5061e-001","-8.8858e-003"
"","  22.4829e-11","2.4856e-001","4.6188e-006","2.5275e-001","-8.6858e-003"
"","  23.4604e-11","2.4856e-001","4.6039e-006","2.5494e-001","-8.5110e-003"
"","  24.4380e-11","2.4855e-001","4.5684e-006","2.5707e-001","-8.3150e-003"
"","  25.4155e-11","2.4855e-001","4.5187e-006","2.5960e-001","-8.1173e-003"
"","  26.3930e-11","2.4854e-001","4.5081e-006","2.6224e-001","-7.9088e-003"
"","  27.3705e-11","2.4854e-001","4.4568e-006","2.6476e-001","-7.6954e-003"
"","  28.3480e-11","2.4853e-001","4.3830e-006","2.6770e-001","-7.4803e-003"
"","  29.3255e-11","2.4853e-001","4.2956e-006","2.7304e-001","-7.1670e-003"
"","  30.3031e-11","2.4852e-001","4.2169e-006","2.7885e-001","-6.8404e-003"
"","  31.2806e-11","2.4852e-001","4.1498e-006","2.8581e-001","-6.4952e-003"
"","  32.2581e-11","2.4852e-001","4.0786e-006","2.9331e-001","-6.0852e-003"
"","  33.2356e-11","2.4851e-001","3.9986e-006","3.0108e-001","-5.6646e-003"
"","  34.2131e-11","2.4851e-001","3.9105e-006","3.0866e-001","-5.2588e-003"
"","  35.1907e-11","2.4851e-001","3.8212e-006","3.1686e-001","-4.8334e-003"
"","  36.1682e-11","2.4850e-001","3.7468e-006","3.2516e-001","-4.3864e-003"
"","  37.1457e-11","2.4850e-001","3.6954e-006","3.3377e-001","-3.9549e-003"
"","  38.1232e-11","2.4850e-001","3.6388e-006","3.4548e-001","-3.4859e-003"
"","  39.1007e-11","2.4850e-001","3.5816e-006","3.5870e-001","-2.9967e-003"
"","  40.0782e-11","2.4850e-001","3.5301e-006","3.7239e-001","-2.5171e-003"
"","  41.0558e-11","2.4850e-001","3.4953e-006","3.8860e-001","-2.0204e-003"
"","  42.0333e-11","2.4850e-001","3.4629e-006","4.0548e-001","-1.5145e-003"
"","  43.0108e-11","2.4850e-001","3.4363e-006","4.2135e-001","-9.9166e-004"
"","  43.9883e-11","2.4850e-001","3.4144e-006","4.3825e-001","-4.9171e-004"
"","  44.9658e-11","2.4850e-001","3.3982e-006","4.5600e-001","1.6721e-005"
"","  45.9434e-11","2.4850e-001","3.3944e-006","4.7316e-001","5.0890e-004"
"","  46.9209e-11","2.4850e-001","3.3978e-006","4.9204e-001","9.8835e-004"
"","  47.8984e-11","2.4850e-001","3.4052e-006","5.1243e-001","1.4518e-003"
"","  48.8759e-11","2.4850e-001","3.4136e-006","5.3221e-001","1.9165e-003"
"","  49.8534e-11","2.4850e-001","3.4249e-006","5.5279e-001","2.3597e-003"
"","  50.8310e-11","2.4850e-001","3.4408e-006","5.7397e-001","2.7953e-003"
"","  51.8085e-11","2.4959e-001","3.4685e-006","5.9499e-001","3.2632e-003"
"","  52.7860e-11","2.5003e-001","3.4943e-006","6.1590e-001","3.6838e-003"
"","  53.7635e-11","2.5018e-001","3.5202e-006","6.3698e-001","4.0973e-003"
"","  54.7410e-11","2.5025e-001","3.5464e-006","6.5762e-001","4.5271e-003"
"","  55.7185e-11","2.5026e-001","3.5740e-006","6.7818e-001","4.9097e-003"
"","  56.6961e-11","2.5021e-001","-1.5801e-005","6.9847e-001","5.2520e-003"
"","  57.6736e-11","2.5012e-001","-3.0570e-005","7.1887e-001","5.6097e-003"
"","  58.6511e-11","2.5025e-001","-3.0272e-005","7.3869e-001","5.9470e-003"
"","  59.6286e-11","2.5053e-001","-2.7142e-005","7.5830e-001","6.2340e-003"
"","  60.6061e-11","2.5088e-001","-2.3053e-005","7.7846e-001","6.5194e-003"
"","  61.5836e-11","2.5120e-001","-1.8162e-005","7.9744e-001","6.7776e-003"
"","  62.5612e-11","2.5146e-001","-1.2624e-005","8.1603e-001","7.0384e-003"
"","  63.5387e-11","2.5238e-001","-1.0530e-005","8.3509e-001","7.3106e-003"
"","  64.5162e-11","2.5372e-001","-1.4513e-005","8.5307e-001","7.5617e-003"
"","  65.4937e-11","2.5540e-001","-2.0280e-005","8.6954e-001","7.8024e-003"
"","  66.4712e-11","2.5734e-001","-2.7070e-005","8.8647e-001","8.0381e-003"
"","  67.4488e-11","2.5928e-001","-4.2896e-005","9.0285e-001","8.2793e-003"
"","  68.4263e-11","2.6128e-001","-5.6856e-005","9.1744e-001","8.4951e-003"
"","  69.4038e-11","2.6317e-001","-7.1768e-005","9.3155e-001","8.6934e-003"
"","  70.3813e-11","2.6507e-001","-9.2645e-005","9.4486e-001","8.8968e-003"
"","  71.3588e-11","2.6736e-001","-1.1700e-004","9.5802e-001","9.0607e-003"
"","  72.3363e-11","2.7058e-001","-1.4140e-004","9.7171e-001","9.1960e-003"
"","  73.3139e-11","2.7435e-001","-1.6250e-004","9.8508e-001","9.3245e-003"
"","  74.2914e-11","2.7920e-001","-1.8462e-004","9.9756e-001","9.4444e-003"
"","  75.2689e-11","2.8447e-001","-2.0398e-004","1.0100e+000","9.5373e-003"
"","  76.2464e-11","2.9013e-001","-2.2381e-004","1.0223e+000","9.6293e-003"
"","  77.2239e-11","2.9608e-001","-2.6723e-004","1.0339e+000","9.7239e-003"
"","  78.2015e-11","3.0248e-001","-3.2358e-004","1.0448e+000","9.7979e-003"
"","  79.1790e-11","3.0908e-001","-3.8900e-004","1.0558e+000","9.8686e-003"
"","  80.1565e-11","3.1615e-001","-4.6080e-004","1.0653e+000","9.9605e-003"
"","  81.1340e-11","3.2501e-001","-5.3343e-004","1.0736e+000","1.0042e-002"
"","  82.1115e-11","3.3440e-001","-6.0191e-004","1.0816e+000","1.0111e-002"
"","  83.0890e-11","3.4430e-001","-6.6380e-004","1.0891e+000","1.0181e-002"
"","  84.0666e-11","3.5590e-001","-7.1940e-004","1.0955e+000","1.0244e-002"
"","  85.0441e-11","3.6812e-001","-7.6934e-004","1.1020e+000","1.0312e-002"
"","  86.0216e-11","3.8074e-001","-8.4246e-004","1.1082e+000","1.0377e-002"
"","  86.9991e-11","3.9448e-001","-9.3601e-004","1.1138e+000","1.0428e-002"
"","  87.9766e-11","4.0906e-001","-1.0338e-003","1.1190e+000","1.0480e-002"
"","  88.9542e-11","4.2404e-001","-1.1508e-003","1.1247e+000","1.0529e-002"
"","  89.9317e-11","4.4026e-001","-1.2743e-003","1.1302e+000","1.0577e-002"
"","  90.9092e-11","4.5695e-001","-1.3832e-003","1.1353e+000","1.0613e-002"
"","  91.8867e-11","4.7333e-001","-1.4828e-003","1.1403e+000","1.0640e-002"
"","  92.8642e-11","4.9042e-001","-1.5799e-003","1.1448e+000","1.0671e-002"
"","  93.8417e-11","5.0785e-001","-1.6586e-003","1.1493e+000","1.0686e-002"
"","  94.8193e-11","5.2555e-001","-1.7351e-003","1.1537e+000","1.0704e-002"
"","  95.7968e-11","5.4401e-001","-1.8154e-003","1.1578e+000","1.0732e-002"
"","  96.7743e-11","5.6347e-001","-1.8878e-003","1.1617e+000","1.0762e-002"
"","  97.7518e-11","5.8316e-001","-1.9544e-003","1.1654e+000","1.0782e-002"
"","  98.7293e-11","6.0340e-001","-2.0166e-003","1.1687e+000","1.0804e-002"
"","  99.7069e-11","6.2401e-001","-2.0727e-003","1.1718e+000","1.0824e-002"
""," 100.6844e-11","6.4440e-001","-2.1151e-003","1.1743e+000","1.0833e-002"
""," 101.6619e-11","6.6481e-001","-2.1470e-003","1.1767e+000","1.0855e-002"
""," 102.6394e-11","6.8554e-001","-2.1641e-003","1.1787e+000","1.0886e-002"
""," 103.6169e-11","7.0642e-001","-2.1696e-003","1.1807e+000","1.0904e-002"
""," 104.5945e-11","7.2714e-001","-2.1616e-003","1.1827e+000","1.0916e-002"
""," 105.5720e-11","7.4811e-001","-2.1437e-003","1.1847e+000","1.0928e-002"
""," 106.5495e-11","7.6936e-001","-2.1128e-003","1.1866e+000","1.0938e-002"
""," 107.5270e-11","7.9026e-001","-2.0748e-003","1.1883e+000","1.0940e-002"
""," 108.5045e-11","8.1074e-001","-2.0365e-003","1.1898e+000","1.0940e-002"
""," 109.4820e-11","8.3125e-001","-1.9861e-003","1.1909e+000","1.0945e-002"
""," 110.4596e-11","8.5134e-001","-1.9307e-003","1.1921e+000","1.0964e-002"
""," 111.4371e-11","8.7060e-001","-1.8761e-003","1.1937e+000","1.0987e-002"
""," 112.4146e-11","8.8913e-001","-1.8119e-003","1.1947e+000","1.1012e-002"
""," 113.3921e-11","9.0690e-001","-1.7311e-003","1.1952e+000","1.1031e-002"
""," 114.3696e-11","9.2442e-001","-1.6499e-003","1.1956e+000","1.1046e-002"
""," 115.3472e-11","9.4181e-001","-1.5675e-003","1.1957e+000","1.1060e-002"
""," 116.3247e-11","9.5851e-001","-1.4718e-003","1.1952e+000","1.1083e-002"
""," 117.3022e-11","9.7476e-001","-1.3674e-003","1.1948e+000","1.1111e-002"
""," 118.2797e-11","9.9107e-001","-1.2612e-003","1.1943e+000","1.1141e-002"
""," 119.2572e-11","1.0070e+000","-1.1634e-003","1.1940e+000","1.1172e-002"
""," 120.2347e-11","1.0221e+000","-1.0778e-003","1.1938e+000","1.1197e-002"
""," 121.2123e-11","1.0366e+000","-9.9834e-004","1.1936e+000","1.1231e-002"
""," 122.1898e-11","1.0508e+000","-9.2398e-004","1.1926e+000","1.1276e-002"
