"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:27:44 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.J11 (at pin)"
"Probe 2: U15.T10 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4841e-001",DC,"2.4274e-001",DC
"","   0.9775e-11","2.4841e-001","4.8649e-007","2.4274e-001","-9.7556e-003"
"","   1.9550e-11","2.4841e-001","9.1112e-007","2.4274e-001","-9.7593e-003"
"","   2.9326e-11","2.4841e-001","1.2799e-006","2.4275e-001","-9.7626e-003"
"","   3.9101e-11","2.4841e-001","1.6002e-006","2.4275e-001","-9.7655e-003"
"","   4.8876e-11","2.4841e-001","1.8781e-006","2.4275e-001","-9.7682e-003"
"","   5.8651e-11","2.4844e-001","2.1186e-006","2.4275e-001","-9.7706e-003"
"","   6.8426e-11","2.4846e-001","2.3246e-006","2.4275e-001","-9.7657e-003"
"","   7.8202e-11","2.4848e-001","2.5030e-006","2.4273e-001","-9.7521e-003"
"","   8.7977e-11","2.4850e-001","2.6630e-006","2.4412e-001","-9.7385e-003"
"","   9.7752e-11","2.4850e-001","2.8258e-006","2.4532e-001","-9.7243e-003"
"","  10.7527e-11","2.4851e-001","3.2329e-006","2.4518e-001","-9.6972e-003"
"","  11.7302e-11","2.4852e-001","3.5195e-006","2.4505e-001","-9.6660e-003"
"","  12.7077e-11","2.4852e-001","3.7347e-006","2.4328e-001","-9.6314e-003"
"","  13.6853e-11","2.4853e-001","4.0064e-006","2.4444e-001","-9.5773e-003"
"","  14.6628e-11","2.4853e-001","4.3035e-006","2.4471e-001","-9.5211e-003"
"","  15.6403e-11","2.4854e-001","4.5015e-006","2.4499e-001","-9.4653e-003"
"","  16.6178e-11","2.4855e-001","4.6342e-006","2.4562e-001","-9.4031e-003"
"","  17.5953e-11","2.4856e-001","4.7053e-006","2.4613e-001","-9.2980e-003"
"","  18.5729e-11","2.4856e-001","4.7459e-006","2.4665e-001","-9.2760e-003"
"","  19.5504e-11","2.4856e-001","4.7913e-006","2.4723e-001","-9.2035e-003"
"","  20.5279e-11","2.4856e-001","4.8298e-006","2.4855e-001","-9.0783e-003"
"","  21.5054e-11","2.4856e-001","4.8221e-006","2.4987e-001","-8.8432e-003"
"","  22.4829e-11","2.4855e-001","4.8036e-006","2.5191e-001","-8.7613e-003"
"","  23.4605e-11","2.4855e-001","4.8784e-006","2.5384e-001","-8.5831e-003"
"","  24.4380e-11","2.4854e-001","4.8756e-006","2.5596e-001","-8.3835e-003"
"","  25.4155e-11","2.4854e-001","4.8222e-006","2.5820e-001","-8.1892e-003"
"","  26.3930e-11","2.4853e-001","4.7461e-006","2.6127e-001","-7.9835e-003"
"","  27.3705e-11","2.4853e-001","4.6693e-006","2.6313e-001","-7.7665e-003"
"","  28.3480e-11","2.4853e-001","4.5501e-006","2.6600e-001","-7.5329e-003"
"","  29.3256e-11","2.4852e-001","4.4512e-006","2.7065e-001","-7.2604e-003"
"","  30.3031e-11","2.4852e-001","4.3144e-006","2.7844e-001","-6.9319e-003"
"","  31.2806e-11","2.4851e-001","4.1764e-006","2.8277e-001","-6.6023e-003"
"","  32.2581e-11","2.4851e-001","4.0681e-006","2.8987e-001","-6.1908e-003"
"","  33.2356e-11","2.4850e-001","4.0189e-006","2.9666e-001","-5.7705e-003"
"","  34.2132e-11","2.4850e-001","3.9010e-006","3.0388e-001","-5.3495e-003"
"","  35.1907e-11","2.4849e-001","3.7938e-006","3.1221e-001","-4.9446e-003"
"","  36.1682e-11","2.4849e-001","3.7017e-006","3.1976e-001","-4.4811e-003"
"","  37.1457e-11","2.4848e-001","3.6442e-006","3.2792e-001","-4.0514e-003"
"","  38.1232e-11","2.4849e-001","3.5496e-006","3.3945e-001","-3.5891e-003"
"","  39.1008e-11","2.4848e-001","3.4899e-006","3.5221e-001","-3.1286e-003"
"","  40.0783e-11","2.4848e-001","3.3954e-006","3.6530e-001","-2.6248e-003"
"","  41.0558e-11","2.4848e-001","3.3732e-006","3.8151e-001","-2.1120e-003"
"","  42.0333e-11","2.4848e-001","3.3409e-006","3.9648e-001","-1.5471e-003"
"","  43.0108e-11","2.4848e-001","3.2626e-006","4.1253e-001","-1.0216e-003"
"","  43.9883e-11","2.4848e-001","3.2878e-006","4.2851e-001","-5.3381e-004"
"","  44.9659e-11","2.4848e-001","3.2833e-006","4.4491e-001","1.2553e-005"
"","  45.9434e-11","2.4848e-001","3.2623e-006","4.6212e-001","5.3320e-004"
"","  46.9209e-11","2.4848e-001","3.1933e-006","4.8072e-001","9.8246e-004"
"","  47.8984e-11","2.4849e-001","3.3233e-006","5.0004e-001","1.4640e-003"
"","  48.8759e-11","2.4848e-001","3.2974e-006","5.2003e-001","1.9322e-003"
"","  49.8535e-11","2.4849e-001","3.3562e-006","5.4107e-001","2.3779e-003"
"","  50.8310e-11","2.4869e-001","3.4060e-006","5.6221e-001","2.9126e-003"
"","  51.8085e-11","2.4969e-001","3.4825e-006","5.8333e-001","3.3717e-003"
"","  52.7860e-11","2.5010e-001","3.3650e-006","6.0352e-001","3.8153e-003"
"","  53.7635e-11","2.5026e-001","3.4704e-006","6.2430e-001","4.3020e-003"
"","  54.7411e-11","2.5036e-001","3.4888e-006","6.4468e-001","4.7058e-003"
"","  55.7186e-11","2.5027e-001","-1.7674e-006","6.6579e-001","5.0885e-003"
"","  56.6961e-11","2.5021e-001","-2.3849e-005","6.8571e-001","5.4491e-003"
"","  57.6736e-11","2.5023e-001","-2.9212e-005","7.0583e-001","5.8010e-003"
"","  58.6511e-11","2.5044e-001","-2.8376e-005","7.2602e-001","6.1242e-003"
"","  59.6286e-11","2.5073e-001","-2.6170e-005","7.4747e-001","6.4706e-003"
"","  60.6062e-11","2.5097e-001","-2.0094e-005","7.6719e-001","6.7344e-003"
"","  61.5837e-11","2.5096e-001","-1.5583e-005","7.8637e-001","7.0029e-003"
"","  62.5612e-11","2.5169e-001","-1.3763e-005","8.0619e-001","7.2984e-003"
