"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:28:50 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.G11 (at pin)"
"Probe 2: U15.T9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4856e-001",DC,"2.4274e-001",DC
"","   0.9776e-11","2.4856e-001","5.3824e-007","2.4274e-001","-9.7573e-003"
"","   1.9553e-11","2.4856e-001","1.0021e-006","2.4274e-001","-9.7610e-003"
"","   2.9329e-11","2.4856e-001","1.3975e-006","2.4274e-001","-9.7642e-003"
"","   3.9106e-11","2.4856e-001","1.7353e-006","2.4274e-001","-9.7671e-003"
"","   4.8882e-11","2.4855e-001","2.0245e-006","2.4274e-001","-9.7697e-003"
"","   5.8658e-11","2.4855e-001","2.2703e-006","2.4274e-001","-9.7719e-003"
"","   6.8435e-11","2.4858e-001","2.4800e-006","2.4274e-001","-9.7647e-003"
"","   7.8211e-11","2.4861e-001","2.6589e-006","2.4274e-001","-9.7511e-003"
"","   8.7988e-11","2.4862e-001","2.8110e-006","2.4380e-001","-9.7374e-003"
"","   9.7764e-11","2.4863e-001","2.9419e-006","2.4478e-001","-9.7221e-003"
"","  10.7541e-11","2.4864e-001","3.1673e-006","2.4505e-001","-9.6931e-003"
"","  11.7317e-11","2.4865e-001","3.2479e-006","2.4508e-001","-9.6618e-003"
"","  12.7093e-11","2.4865e-001","3.4435e-006","2.4502e-001","-9.6241e-003"
"","  13.6870e-11","2.4866e-001","3.6723e-006","2.4493e-001","-9.5686e-003"
"","  14.6646e-11","2.4867e-001","3.9807e-006","2.4484e-001","-9.5125e-003"
"","  15.6423e-11","2.4868e-001","4.3515e-006","2.4496e-001","-9.4567e-003"
"","  16.6199e-11","2.4868e-001","4.6179e-006","2.4533e-001","-9.3930e-003"
"","  17.5975e-11","2.4869e-001","4.7704e-006","2.4582e-001","-9.2604e-003"
"","  18.5752e-11","2.4869e-001","4.8027e-006","2.4639e-001","-9.2439e-003"
"","  19.5528e-11","2.4869e-001","4.7670e-006","2.4728e-001","-9.1879e-003"
"","  20.5305e-11","2.4870e-001","4.7177e-006","2.4840e-001","-9.0594e-003"
"","  21.5081e-11","2.4870e-001","4.6709e-006","2.4974e-001","-8.9138e-003"
"","  22.4858e-11","2.4870e-001","4.6421e-006","2.5160e-001","-8.7556e-003"
"","  23.4634e-11","2.4870e-001","4.5808e-006","2.5371e-001","-8.5513e-003"
"","  24.4410e-11","2.4870e-001","4.6185e-006","2.5589e-001","-8.3353e-003"
"","  25.4187e-11","2.4869e-001","4.6071e-006","2.5829e-001","-8.1293e-003"
"","  26.3963e-11","2.4868e-001","4.5869e-006","2.6163e-001","-7.9215e-003"
"","  27.3740e-11","2.4868e-001","4.6083e-006","2.6409e-001","-7.7016e-003"
"","  28.3516e-11","2.4868e-001","4.5638e-006","2.6667e-001","-7.4750e-003"
"","  29.3292e-11","2.4868e-001","4.5271e-006","2.7071e-001","-7.1805e-003"
"","  30.3069e-11","2.4867e-001","4.4341e-006","2.7590e-001","-6.8407e-003"
"","  31.2845e-11","2.4867e-001","4.2896e-006","2.8178e-001","-6.4948e-003"
"","  32.2622e-11","2.4867e-001","4.1335e-006","2.8898e-001","-6.0856e-003"
"","  33.2398e-11","2.4866e-001","3.9604e-006","2.9692e-001","-5.6705e-003"
"","  34.2175e-11","2.4866e-001","3.8354e-006","3.0504e-001","-5.2538e-003"
"","  35.1951e-11","2.4865e-001","3.7286e-006","3.1329e-001","-4.8378e-003"
"","  36.1727e-11","2.4865e-001","3.6637e-006","3.2184e-001","-4.4178e-003"
"","  37.1504e-11","2.4865e-001","3.6338e-006","3.3064e-001","-3.9627e-003"
