"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:29:59 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.E10 (at pin)"
"Probe 2: U15.M7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4841e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4841e-001","6.0377e-007","2.4275e-001","-9.7600e-003"
"","   1.9553e-11","2.4841e-001","1.1134e-006","2.4275e-001","-9.7635e-003"
"","   2.9329e-11","2.4841e-001","1.5386e-006","2.4275e-001","-9.7667e-003"
"","   3.9106e-11","2.4841e-001","1.8944e-006","2.4275e-001","-9.7695e-003"
"","   4.8882e-11","2.4841e-001","2.1928e-006","2.4275e-001","-9.7720e-003"
"","   5.8658e-11","2.4841e-001","2.4411e-006","2.4275e-001","-9.7742e-003"
"","   6.8435e-11","2.4843e-001","2.6484e-006","2.4275e-001","-9.7669e-003"
"","   7.8211e-11","2.4846e-001","2.8217e-006","2.4275e-001","-9.7532e-003"
"","   8.7988e-11","2.4848e-001","2.9684e-006","2.4380e-001","-9.7395e-003"
"","   9.7764e-11","2.4849e-001","3.0896e-006","2.4478e-001","-9.7241e-003"
"","  10.7541e-11","2.4849e-001","3.2205e-006","2.4506e-001","-9.6951e-003"
"","  11.7317e-11","2.4850e-001","3.3018e-006","2.4509e-001","-9.6637e-003"
"","  12.7093e-11","2.4851e-001","3.3718e-006","2.4503e-001","-9.6260e-003"
"","  13.6870e-11","2.4852e-001","3.6128e-006","2.4495e-001","-9.5705e-003"
"","  14.6646e-11","2.4852e-001","3.8224e-006","2.4486e-001","-9.5143e-003"
"","  15.6423e-11","2.4853e-001","4.1548e-006","2.4498e-001","-9.4586e-003"
"","  16.6199e-11","2.4853e-001","4.4801e-006","2.4536e-001","-9.3947e-003"
"","  17.5975e-11","2.4854e-001","4.6833e-006","2.4585e-001","-9.2621e-003"
"","  18.5752e-11","2.4854e-001","4.7849e-006","2.4642e-001","-9.2455e-003"
"","  19.5528e-11","2.4854e-001","4.7457e-006","2.4731e-001","-9.1895e-003"
"","  20.5305e-11","2.4855e-001","4.6666e-006","2.4844e-001","-9.0609e-003"
"","  21.5081e-11","2.4855e-001","4.5911e-006","2.4978e-001","-8.9154e-003"
"","  22.4858e-11","2.4855e-001","4.5201e-006","2.5164e-001","-8.7571e-003"
"","  23.4634e-11","2.4855e-001","4.4622e-006","2.5375e-001","-8.5529e-003"
"","  24.4410e-11","2.4855e-001","4.4082e-006","2.5594e-001","-8.3369e-003"
"","  25.4187e-11","2.4855e-001","4.4102e-006","2.5834e-001","-8.1309e-003"
"","  26.3963e-11","2.4854e-001","4.4187e-006","2.6167e-001","-7.9231e-003"
"","  27.3740e-11","2.4853e-001","4.3927e-006","2.6414e-001","-7.7031e-003"
"","  28.3516e-11","2.4853e-001","4.3940e-006","2.6672e-001","-7.4764e-003"
"","  29.3292e-11","2.4853e-001","4.3781e-006","2.7076e-001","-7.1819e-003"
"","  30.3069e-11","2.4852e-001","4.3287e-006","2.7595e-001","-6.8420e-003"
"","  31.2845e-11","2.4852e-001","4.2829e-006","2.8183e-001","-6.4962e-003"
"","  32.2622e-11","2.4852e-001","4.1645e-006","2.8903e-001","-6.0868e-003"
"","  33.2398e-11","2.4852e-001","4.0204e-006","2.9698e-001","-5.6717e-003"
"","  34.2175e-11","2.4851e-001","3.8736e-006","3.0509e-001","-5.2550e-003"
"","  35.1951e-11","2.4851e-001","3.7366e-006","3.1335e-001","-4.8389e-003"
"","  36.1727e-11","2.4851e-001","3.6413e-006","3.2189e-001","-4.4189e-003"
"","  37.1504e-11","2.4850e-001","3.5850e-006","3.3070e-001","-3.9638e-003"
"","  38.1280e-11","2.4850e-001","3.5686e-006","3.4117e-001","-3.4381e-003"
"","  39.1057e-11","2.4850e-001","3.5590e-006","3.5345e-001","-2.9261e-003"
"","  40.0833e-11","2.4849e-001","3.5595e-006","3.6671e-001","-2.4139e-003"
"","  41.0609e-11","2.4849e-001","3.5598e-006","3.8179e-001","-1.8805e-003"
"","  42.0386e-11","2.4849e-001","3.5387e-006","3.9804e-001","-1.3749e-003"
"","  43.0162e-11","2.4849e-001","3.5056e-006","4.1472e-001","-8.8845e-004"
"","  43.9939e-11","2.4849e-001","3.4795e-006","4.3153e-001","-3.9441e-004"
"","  44.9715e-11","2.4849e-001","3.4343e-006","4.4870e-001","9.8140e-005"
"","  45.9491e-11","2.4849e-001","3.4072e-006","4.6642e-001","5.9732e-004"
"","  46.9268e-11","2.4849e-001","3.3806e-006","4.8556e-001","1.1600e-003"
"","  47.9044e-11","2.4876e-001","3.3584e-006","5.0565e-001","1.6658e-003"
"","  48.8821e-11","2.4944e-001","3.3637e-006","5.2598e-001","2.1618e-003"
"","  49.8597e-11","2.4974e-001","3.3814e-006","5.4693e-001","2.6654e-003"
"","  50.8374e-11","2.4985e-001","3.4234e-006","5.6794e-001","3.1116e-003"
"","  51.8150e-11","2.4995e-001","3.4727e-006","5.8871e-001","3.5460e-003"
"","  52.7926e-11","2.5005e-001","3.5253e-006","6.0943e-001","3.9246e-003"
"","  53.7703e-11","2.5009e-001","3.5710e-006","6.3014e-001","4.3397e-003"
"","  54.7479e-11","2.5016e-001","-1.4945e-005","6.5093e-001","4.7578e-003"
"","  55.7256e-11","2.5034e-001","-2.4528e-005","6.7239e-001","5.1884e-003"
"","  56.7032e-11","2.5060e-001","-2.5188e-005","6.9356e-001","5.5352e-003"
"","  57.6808e-11","2.5084e-001","-2.2492e-005","7.1442e-001","5.8853e-003"
"","  58.6585e-11","2.5127e-001","-2.1798e-005","7.3517e-001","6.2244e-003"
"","  59.6361e-11","2.5189e-001","-1.9322e-005","7.5516e-001","6.4997e-003"
"","  60.6138e-11","2.5254e-001","-1.6447e-005","7.7457e-001","6.7483e-003"
"","  61.5914e-11","2.5323e-001","-1.6729e-005","7.9304e-001","6.9928e-003"
"","  62.5690e-11","2.5455e-001","-1.9566e-005","8.1145e-001","7.2433e-003"
"","  63.5467e-11","2.5629e-001","-2.2709e-005","8.2988e-001","7.5207e-003"
"","  64.5243e-11","2.5803e-001","-2.6585e-005","8.4830e-001","7.7738e-003"
"","  65.5020e-11","2.6018e-001","-3.6322e-005","8.6556e-001","7.9779e-003"
"","  66.4796e-11","2.6215e-001","-4.8772e-005","8.8222e-001","8.2175e-003"
"","  67.4573e-11","2.6402e-001","-6.7930e-005","8.9848e-001","8.4284e-003"
"","  68.4349e-11","2.6640e-001","-9.0220e-005","9.1350e-001","8.6205e-003"
"","  69.4125e-11","2.6963e-001","-1.1422e-004","9.2723e-001","8.8010e-003"
"","  70.3902e-11","2.7331e-001","-1.3696e-004","9.4026e-001","8.9944e-003"
"","  71.3678e-11","2.7761e-001","-1.6015e-004","9.5316e-001","9.1651e-003"
"","  72.3455e-11","2.8255e-001","-1.8811e-004","9.6639e-001","9.3248e-003"
"","  73.3231e-11","2.8788e-001","-2.0294e-004","9.7941e-001","9.4312e-003"
"","  74.3007e-11","2.9333e-001","-2.2164e-004","9.9157e-001","9.5075e-003"
"","  75.2784e-11","2.9920e-001","-2.6171e-004","1.0037e+000","9.6107e-003"
"","  76.2560e-11","3.0550e-001","-3.1313e-004","1.0157e+000","9.6835e-003"
"","  77.2337e-11","3.1265e-001","-3.6944e-004","1.0272e+000","9.7238e-003"
"","  78.2113e-11","3.2077e-001","-4.3868e-004","1.0380e+000","9.7850e-003"
"","  79.1890e-11","3.2991e-001","-5.1296e-004","1.0487e+000","9.8621e-003"
"","  80.1666e-11","3.4015e-001","-5.8312e-004","1.0588e+000","9.9644e-003"
"","  81.1442e-11","3.5113e-001","-6.4881e-004","1.0681e+000","1.0082e-002"
"","  82.1219e-11","3.6233e-001","-7.1380e-004","1.0763e+000","1.0150e-002"
"","  83.0995e-11","3.7414e-001","-7.7790e-004","1.0834e+000","1.0217e-002"
"","  84.0772e-11","3.8650e-001","-8.5821e-004","1.0902e+000","1.0306e-002"
"","  85.0548e-11","3.9947e-001","-9.5002e-004","1.0965e+000","1.0365e-002"
"","  86.0324e-11","4.1355e-001","-1.0413e-003","1.1019e+000","1.0406e-002"
"","  87.0101e-11","4.2873e-001","-1.1483e-003","1.1071e+000","1.0451e-002"
"","  87.9877e-11","4.4442e-001","-1.2597e-003","1.1125e+000","1.0526e-002"
"","  88.9654e-11","4.6065e-001","-1.3676e-003","1.1181e+000","1.0539e-002"
"","  89.9430e-11","4.7720e-001","-1.4686e-003","1.1242e+000","1.0563e-002"
"","  90.9207e-11","4.9359e-001","-1.5706e-003","1.1299e+000","1.0563e-002"
"","  91.8983e-11","5.1033e-001","-1.6696e-003","1.1352e+000","1.0586e-002"
"","  92.8759e-11","5.2755e-001","-1.7736e-003","1.1404e+000","1.0617e-002"
"","  93.8536e-11","5.4498e-001","-1.8665e-003","1.1451e+000","1.0631e-002"
"","  94.8312e-11","5.6310e-001","-1.9459e-003","1.1494e+000","1.0661e-002"
"","  95.8089e-11","5.8182e-001","-2.0159e-003","1.1535e+000","1.0711e-002"
"","  96.7865e-11","6.0065e-001","-2.0756e-003","1.1576e+000","1.0762e-002"
"","  97.7641e-11","6.1974e-001","-2.1223e-003","1.1610e+000","1.0817e-002"
"","  98.7418e-11","6.3875e-001","-2.1610e-003","1.1639e+000","1.0840e-002"
"","  99.7194e-11","6.5770e-001","-2.1979e-003","1.1665e+000","1.0835e-002"
""," 100.6971e-11","6.7686e-001","-2.2261e-003","1.1688e+000","1.0845e-002"
""," 101.6747e-11","6.9637e-001","-2.2508e-003","1.1711e+000","1.0856e-002"
""," 102.6524e-11","7.1611e-001","-2.2580e-003","1.1731e+000","1.0871e-002"
""," 103.6300e-11","7.3613e-001","-2.2512e-003","1.1753e+000","1.0890e-002"
""," 104.6076e-11","7.5591e-001","-2.2316e-003","1.1776e+000","1.0914e-002"
