"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:31:18 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.D11 (at pin)"
"Probe 2: U15.R8 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4866e-001",DC,"2.4274e-001",DC
"","   0.9777e-11","2.4866e-001","5.5677e-007","2.4274e-001","-9.7518e-003"
"","   1.9555e-11","2.4866e-001","1.0320e-006","2.4274e-001","-9.7556e-003"
"","   2.9332e-11","2.4866e-001","1.4362e-006","2.4274e-001","-9.7591e-003"
"","   3.9109e-11","2.4866e-001","1.7799e-006","2.4274e-001","-9.7622e-003"
"","   4.8887e-11","2.4866e-001","2.0722e-006","2.4274e-001","-9.7649e-003"
"","   5.8664e-11","2.4867e-001","2.3180e-006","2.4274e-001","-9.7671e-003"
"","   6.8441e-11","2.4870e-001","2.5281e-006","2.4274e-001","-9.7596e-003"
"","   7.8218e-11","2.4873e-001","2.7058e-006","2.4274e-001","-9.7461e-003"
"","   8.7996e-11","2.4875e-001","2.9559e-006","2.4330e-001","-9.7326e-003"
"","   9.7773e-11","2.4876e-001","3.0722e-006","2.4435e-001","-9.7171e-003"
"","  10.7550e-11","2.4876e-001","3.1899e-006","2.4479e-001","-9.6880e-003"
"","  11.7328e-11","2.4877e-001","3.4723e-006","2.4494e-001","-9.6568e-003"
"","  12.7105e-11","2.4878e-001","3.6184e-006","2.4495e-001","-9.6183e-003"
"","  13.6882e-11","2.4878e-001","3.7870e-006","2.4491e-001","-9.5633e-003"
"","  14.6660e-11","2.4879e-001","4.0205e-006","2.4483e-001","-9.5072e-003"
"","  15.6437e-11","2.4879e-001","4.2847e-006","2.4486e-001","-9.4513e-003"
"","  16.6214e-11","2.4880e-001","4.4547e-006","2.4513e-001","-9.3870e-003"
"","  17.5992e-11","2.4880e-001","4.5659e-006","2.4554e-001","-9.2655e-003"
"","  18.5769e-11","2.4880e-001","4.6168e-006","2.4603e-001","-9.2040e-003"
"","  19.5546e-11","2.4880e-001","4.6458e-006","2.4676e-001","-9.1635e-003"
"","  20.5323e-11","2.4880e-001","4.6212e-006","2.4776e-001","-9.0450e-003"
"","  21.5101e-11","2.4880e-001","4.5969e-006","2.4895e-001","-8.9053e-003"
"","  22.4878e-11","2.4880e-001","4.6172e-006","2.5056e-001","-8.7480e-003"
"","  23.4655e-11","2.4880e-001","4.6154e-006","2.5249e-001","-8.5473e-003"
"","  24.4433e-11","2.4879e-001","4.5873e-006","2.5458e-001","-8.3342e-003"
"","  25.4210e-11","2.4879e-001","4.5872e-006","2.5684e-001","-8.1202e-003"
"","  26.3987e-11","2.4878e-001","4.5540e-006","2.5954e-001","-7.9071e-003"
"","  27.3765e-11","2.4878e-001","4.4876e-006","2.6271e-001","-7.6890e-003"
"","  28.3542e-11","2.4877e-001","4.4040e-006","2.6531e-001","-7.4574e-003"
"","  29.3319e-11","2.4877e-001","4.3392e-006","2.6866e-001","-7.1513e-003"
"","  30.3097e-11","2.4877e-001","4.2559e-006","2.7319e-001","-6.8160e-003"
"","  31.2874e-11","2.4876e-001","4.1558e-006","2.7848e-001","-6.4558e-003"
"","  32.2651e-11","2.4876e-001","4.0532e-006","2.8493e-001","-6.0359e-003"
"","  33.2429e-11","2.4875e-001","3.9681e-006","2.9230e-001","-5.6169e-003"
"","  34.2206e-11","2.4875e-001","3.8766e-006","3.0017e-001","-5.2022e-003"
"","  35.1983e-11","2.4875e-001","3.7904e-006","3.0830e-001","-4.7683e-003"
"","  36.1760e-11","2.4874e-001","3.7290e-006","3.1671e-001","-4.3222e-003"
"","  37.1538e-11","2.4874e-001","3.6775e-006","3.2535e-001","-3.9201e-003"
"","  38.1315e-11","2.4874e-001","3.6192e-006","3.3512e-001","-3.3925e-003"
"","  39.1092e-11","2.4874e-001","3.5609e-006","3.4660e-001","-2.8428e-003"
"","  40.0870e-11","2.4874e-001","3.5231e-006","3.5909e-001","-2.3294e-003"
"","  41.0647e-11","2.4873e-001","3.4743e-006","3.7321e-001","-1.7626e-003"
"","  42.0424e-11","2.4873e-001","3.4317e-006","3.8880e-001","-1.2257e-003"
