"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:41:33 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.C11 (at pin)"
"Probe 2: U15.T8 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4847e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4847e-001","5.4844e-007","2.4275e-001","-9.7577e-003"
"","   1.9553e-11","2.4847e-001","1.0196e-006","2.4275e-001","-9.7613e-003"
"","   2.9329e-11","2.4847e-001","1.4198e-006","2.4275e-001","-9.7645e-003"
"","   3.9106e-11","2.4847e-001","1.7607e-006","2.4275e-001","-9.7674e-003"
"","   4.8882e-11","2.4847e-001","2.0516e-006","2.4275e-001","-9.7700e-003"
"","   5.8658e-11","2.4847e-001","2.2980e-006","2.4275e-001","-9.7722e-003"
"","   6.8435e-11","2.4849e-001","2.5077e-006","2.4275e-001","-9.7650e-003"
"","   7.8211e-11","2.4852e-001","2.6859e-006","2.4275e-001","-9.7514e-003"
"","   8.7988e-11","2.4854e-001","2.8384e-006","2.4380e-001","-9.7377e-003"
"","   9.7764e-11","2.4854e-001","2.9677e-006","2.4478e-001","-9.7224e-003"
"","  10.7541e-11","2.4855e-001","3.0887e-006","2.4505e-001","-9.6934e-003"
"","  11.7317e-11","2.4856e-001","3.1826e-006","2.4508e-001","-9.6620e-003"
"","  12.7093e-11","2.4857e-001","3.4478e-006","2.4502e-001","-9.6244e-003"
"","  13.6870e-11","2.4858e-001","3.7089e-006","2.4493e-001","-9.5688e-003"
"","  14.6646e-11","2.4858e-001","4.0160e-006","2.4484e-001","-9.5127e-003"
"","  15.6423e-11","2.4859e-001","4.3847e-006","2.4496e-001","-9.4570e-003"
"","  16.6199e-11","2.4859e-001","4.6369e-006","2.4534e-001","-9.3932e-003"
"","  17.5975e-11","2.4860e-001","4.7810e-006","2.4582e-001","-9.2606e-003"
"","  18.5752e-11","2.4860e-001","4.8098e-006","2.4639e-001","-9.2441e-003"
"","  19.5528e-11","2.4861e-001","4.7614e-006","2.4728e-001","-9.1881e-003"
"","  20.5305e-11","2.4861e-001","4.7076e-006","2.4840e-001","-9.0596e-003"
