"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 04:42:31 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.B3 (at pin)"
"Probe 2: U15.U7 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4852e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4852e-001","6.4663e-007","2.4275e-001","-9.7583e-003"
"","   1.9552e-11","2.4852e-001","1.1834e-006","2.4275e-001","-9.7619e-003"
"","   2.9328e-11","2.4852e-001","1.6255e-006","2.4275e-001","-9.7651e-003"
"","   3.9104e-11","2.4852e-001","1.9909e-006","2.4275e-001","-9.7680e-003"
"","   4.8880e-11","2.4852e-001","2.2920e-006","2.4275e-001","-9.7706e-003"
"","   5.8656e-11","2.4853e-001","2.5395e-006","2.4275e-001","-9.7729e-003"
"","   6.8432e-11","2.4856e-001","2.7495e-006","2.4275e-001","-9.7665e-003"
"","   7.8208e-11","2.4858e-001","2.9187e-006","2.4275e-001","-9.7529e-003"
"","   8.7983e-11","2.4859e-001","3.0666e-006","2.4334e-001","-9.7392e-003"
"","   9.7759e-11","2.4860e-001","3.2000e-006","2.4448e-001","-9.7245e-003"
"","  10.7535e-11","2.4861e-001","3.2895e-006","2.4491e-001","-9.6962e-003"
"","  11.7311e-11","2.4861e-001","3.5837e-006","2.4503e-001","-9.6648e-003"
"","  12.7087e-11","2.4862e-001","3.9762e-006","2.4501e-001","-9.6287e-003"
"","  13.6863e-11","2.4863e-001","4.3375e-006","2.4495e-001","-9.5738e-003"
"","  14.6639e-11","2.4864e-001","4.5514e-006","2.4487e-001","-9.5176e-003"
"","  15.6415e-11","2.4864e-001","4.6752e-006","2.4491e-001","-9.4618e-003"
"","  16.6191e-11","2.4865e-001","4.7254e-006","2.4521e-001","-9.3989e-003"
"","  17.5967e-11","2.4865e-001","4.6282e-006","2.4565e-001","-9.2356e-003"
"","  18.5743e-11","2.4866e-001","4.5336e-006","2.4617e-001","-9.2328e-003"
"","  19.5519e-11","2.4866e-001","4.4487e-006","2.4695e-001","-9.1882e-003"
"","  20.5295e-11","2.4866e-001","4.3691e-006","2.4799e-001","-9.0700e-003"
"","  21.5071e-11","2.4865e-001","4.2980e-006","2.4922e-001","-8.9269e-003"
"","  22.4847e-11","2.4865e-001","4.3172e-006","2.5090e-001","-8.7729e-003"
"","  23.4623e-11","2.4864e-001","4.3774e-006","2.5291e-001","-8.5718e-003"
"","  24.4398e-11","2.4864e-001","4.4006e-006","2.5505e-001","-8.3538e-003"
"","  25.4174e-11","2.4864e-001","4.3854e-006","2.5735e-001","-8.1432e-003"
"","  26.3950e-11","2.4863e-001","4.2951e-006","2.6053e-001","-7.9342e-003"
"","  27.3726e-11","2.4863e-001","4.1657e-006","2.6330e-001","-7.7150e-003"
"","  28.3502e-11","2.4863e-001","4.0007e-006","2.6573e-001","-7.4859e-003"
"","  29.3278e-11","2.4863e-001","3.8394e-006","2.6920e-001","-7.1938e-003"
"","  30.3054e-11","2.4862e-001","3.7093e-006","2.7394e-001","-6.8543e-003"
"","  31.2830e-11","2.4862e-001","3.6324e-006","2.7943e-001","-6.5033e-003"
"","  32.2606e-11","2.4861e-001","3.5855e-006","2.8611e-001","-6.0941e-003"
"","  33.2382e-11","2.4861e-001","3.5811e-006","2.9377e-001","-5.6776e-003"
"","  34.2158e-11","2.4861e-001","3.6085e-006","3.0181e-001","-5.2587e-003"
"","  35.1934e-11","2.4860e-001","3.6306e-006","3.0999e-001","-4.8071e-003"
"","  36.1710e-11","2.4860e-001","3.6258e-006","3.1845e-001","-4.4215e-003"
"","  37.1486e-11","2.4860e-001","3.5872e-006","3.2717e-001","-3.9827e-003"
"","  38.1262e-11","2.4860e-001","3.5319e-006","3.3702e-001","-3.4427e-003"
"","  39.1038e-11","2.4860e-001","3.4640e-006","3.4878e-001","-2.9099e-003"
"","  40.0813e-11","2.4860e-001","3.4121e-006","3.6161e-001","-2.3941e-003"
"","  41.0589e-11","2.4860e-001","3.3937e-006","3.7608e-001","-1.8404e-003"
"","  42.0365e-11","2.4860e-001","3.4052e-006","3.9193e-001","-1.3172e-003"
"","  43.0141e-11","2.4860e-001","3.4459e-006","4.0833e-001","-8.2747e-004"
"","  43.9917e-11","2.4860e-001","3.5032e-006","4.2534e-001","-3.3553e-004"
"","  44.9693e-11","2.4860e-001","3.5653e-006","4.4225e-001","1.5706e-004"
"","  45.9469e-11","2.4860e-001","3.6186e-006","4.5953e-001","6.4771e-004"
"","  46.9245e-11","2.4861e-001","3.6496e-006","4.7815e-001","1.2259e-003"
"","  47.9021e-11","2.4861e-001","3.6537e-006","4.9816e-001","1.7596e-003"
"","  48.8797e-11","2.4921e-001","3.6431e-006","5.1847e-001","2.2591e-003"
"","  49.8573e-11","2.4962e-001","3.6296e-006","5.3940e-001","2.7897e-003"
"","  50.8349e-11","2.4982e-001","3.6241e-006","5.6061e-001","3.2501e-003"
"","  51.8125e-11","2.4992e-001","3.6352e-006","5.8154e-001","3.6697e-003"
"","  52.7901e-11","2.5000e-001","3.6636e-006","6.0225e-001","4.0740e-003"
"","  53.7677e-11","2.5009e-001","-3.0535e-006","6.2291e-001","4.4700e-003"
"","  54.7453e-11","2.5015e-001","-1.9843e-005","6.4353e-001","4.8834e-003"
"","  55.7228e-11","2.5028e-001","-2.4401e-005","6.6481e-001","5.3493e-003"
