"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:26:05 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.H1 (at pin)"
"Probe 2: U15.E9 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","0.0000e+000",DC,"0.0000e+000",DC
"","   0.9776e-11","0.0000e+000","1.3303e-007","0.0000e+000","3.3848e-009"
"","   1.9552e-11","0.0000e+000","2.5130e-007","0.0000e+000","6.4066e-009"
"","   2.9328e-11","0.0000e+000","3.5633e-007","0.0000e+000","9.1014e-009"
"","   3.9104e-11","3.3807e-008","4.4958e-007","0.0000e+000","1.1504e-008"
"","   4.8880e-11","4.5977e-006","5.3217e-007","0.0000e+000","1.3641e-008"
"","   5.8656e-11","1.2240e-005","6.0514e-007","0.0000e+000","1.5538e-008"
"","   6.8433e-11","1.9028e-005","6.6996e-007","0.0000e+000","1.7256e-008"
"","   7.8209e-11","2.5057e-005","7.2751e-007","0.0000e+000","1.8809e-008"
"","   8.7985e-11","3.0409e-005","7.8752e-007","1.3972e-008","2.0202e-008"
"","   9.7761e-11","3.5131e-005","9.1512e-007","1.4857e-007","2.1457e-008"
"","  10.7537e-11","3.8992e-005","1.0180e-006","2.6806e-007","2.2628e-008"
"","  11.7313e-11","4.2753e-005","1.1013e-006","3.7464e-007","2.3696e-008"
"","  12.7089e-11","4.6126e-005","1.1679e-006","4.6969e-007","2.4697e-008"
"","  13.6865e-11","5.0666e-005","1.2205e-006","5.5434e-007","2.5674e-008"
"","  14.6641e-11","5.5043e-005","1.2674e-006","6.1662e-007","2.6576e-008"
"","  15.6417e-11","5.8371e-005","1.2975e-006","6.8224e-007","2.7408e-008"
"","  16.6193e-11","6.0850e-005","1.3187e-006","7.4550e-007","2.8220e-008"
