"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Etienne Bauermeister"
"Created on: 18 February 2008   Time: 02:01:55 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A6 (at pin)"
"Probe 2: U15.G5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","1.2571e+000",DC,"1.2631e+000",DC
"","   0.9776e-11","1.2571e+000","1.7411e-008","1.2631e+000","9.8495e-003"
"","   1.9553e-11","1.2571e+000","4.2913e-008","1.2631e+000","9.8299e-003"
"","   2.9329e-11","1.2571e+000","6.4091e-008","1.2631e+000","9.8111e-003"
"","   3.9105e-11","1.2571e+000","7.6147e-008","1.2631e+000","9.7958e-003"
"","   4.8881e-11","1.2571e+000","9.2404e-008","1.2631e+000","9.7866e-003"
"","   5.8658e-11","1.2571e+000","1.0600e-007","1.2631e+000","9.7782e-003"
"","   6.8434e-11","1.2571e+000","1.1467e-007","1.2631e+000","9.7716e-003"
"","   7.8210e-11","1.2571e+000","-1.6527e-007","1.2631e+000","9.7770e-003"
"","   8.7986e-11","1.2571e+000","-1.2860e-007","1.2612e+000","9.7849e-003"
"","   9.7763e-11","1.2571e+000","4.6422e-008","1.2598e+000","9.7796e-003"
"","  10.7539e-11","1.2571e+000","2.3058e-007","1.2590e+000","9.7574e-003"
"","  11.7315e-11","1.2571e+000","2.3089e-007","1.2582e+000","9.7352e-003"
"","  12.7092e-11","1.2571e+000","2.5782e-007","1.2575e+000","9.7034e-003"
"","  13.6868e-11","1.2571e+000","2.8087e-007","1.2571e+000","9.6201e-003"
"","  14.6644e-11","1.2571e+000","2.5519e-007","1.2571e+000","9.5309e-003"
"","  15.6420e-11","1.2571e+000","2.6105e-007","1.2566e+000","9.4339e-003"
"","  16.6197e-11","1.2571e+000","3.0152e-007","1.2568e+000","9.3229e-003"
"","  17.5973e-11","1.2571e+000","3.1202e-007","1.2571e+000","9.2216e-003"
"","  18.5749e-11","1.2571e+000","3.0086e-007","1.2570e+000","9.1291e-003"
"","  19.5525e-11","1.2571e+000","2.9273e-007","1.2561e+000","9.0020e-003"
"","  20.5302e-11","1.2571e+000","2.2782e-007","1.2552e+000","8.7690e-003"
"","  21.5078e-11","1.2571e+000","2.4155e-007","1.2541e+000","8.5354e-003"
"","  22.4854e-11","1.2571e+000","3.0827e-007","1.2510e+000","8.3039e-003"
"","  23.4630e-11","1.2571e+000","2.9398e-007","1.2473e+000","8.0306e-003"
"","  24.4407e-11","1.2571e+000","2.6710e-007","1.2436e+000","7.7774e-003"
"","  25.4183e-11","1.2571e+000","2.5090e-007","1.2391e+000","7.5077e-003"
"","  26.3959e-11","1.2571e+000","2.4123e-007","1.2348e+000","7.2220e-003"
"","  27.3736e-11","1.2571e+000","2.3001e-007","1.2309e+000","6.9372e-003"
"","  28.3512e-11","1.2571e+000","2.1789e-007","1.2262e+000","6.6541e-003"
"","  29.3288e-11","1.2571e+000","2.2593e-007","1.2172e+000","6.3099e-003"
"","  30.3064e-11","1.2571e+000","2.0995e-007","1.2076e+000","5.9440e-003"
"","  31.2841e-11","1.2571e+000","1.9158e-007","1.1983e+000","5.6106e-003"
"","  32.2617e-11","1.2571e+000","1.7157e-007","1.1878e+000","5.2697e-003"
"","  33.2393e-11","1.2571e+000","1.6629e-007","1.1772e+000","4.8959e-003"
"","  34.2169e-11","1.2571e+000","1.6774e-007","1.1666e+000","4.5446e-003"
"","  35.1946e-11","1.2571e+000","1.7136e-007","1.1554e+000","4.1969e-003"
"","  36.1722e-11","1.2571e+000","1.6530e-007","1.1439e+000","3.8590e-003"
"","  37.1498e-11","1.2571e+000","1.5144e-007","1.1325e+000","3.5403e-003"
"","  38.1275e-11","1.2571e+000","1.5118e-007","1.1191e+000","3.2547e-003"
"","  39.1051e-11","1.2571e+000","1.4963e-007","1.1041e+000","2.9526e-003"
"","  40.0827e-11","1.2571e+000","1.4999e-007","1.0901e+000","2.6641e-003"
"","  41.0603e-11","1.2571e+000","1.5392e-007","1.0762e+000","2.3241e-003"
"","  42.0380e-11","1.2571e+000","1.5514e-007","1.0607e+000","1.9772e-003"
"","  43.0156e-11","1.2571e+000","1.5443e-007","1.0459e+000","1.6464e-003"
