"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Etienne Bauermeister"
"Created on: 18 February 2008   Time: 02:02:21 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.B6 (at pin)"
"Probe 2: U15.H5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4862e-001",DC,"2.4274e-001",DC
"","   0.9775e-11","2.4862e-001","1.5170e-007","2.4274e-001","-9.7558e-003"
"","   1.9551e-11","2.4862e-001","2.8178e-007","2.4274e-001","-9.7595e-003"
"","   2.9326e-11","2.4862e-001","3.9162e-007","2.4274e-001","-9.7628e-003"
"","   3.9101e-11","2.4862e-001","4.8307e-007","2.4274e-001","-9.7657e-003"
"","   4.8877e-11","2.4863e-001","5.6129e-007","2.4274e-001","-9.7684e-003"
"","   5.8652e-11","2.4864e-001","6.2703e-007","2.4274e-001","-9.7704e-003"
"","   6.8427e-11","2.4864e-001","6.8214e-007","2.4274e-001","-9.7629e-003"
"","   7.8203e-11","2.4865e-001","7.5000e-007","2.4274e-001","-9.7493e-003"
"","   8.7978e-11","2.4865e-001","8.2738e-007","2.4525e-001","-9.7357e-003"
"","   9.7753e-11","2.4865e-001","8.8675e-007","2.4538e-001","-9.7201e-003"
"","  10.7528e-11","2.4865e-001","9.4199e-007","2.4524e-001","-9.6910e-003"
"","  11.7304e-11","2.4866e-001","9.7202e-007","2.4510e-001","-9.6598e-003"
"","  12.7079e-11","2.4866e-001","1.0230e-006","2.4498e-001","-9.6217e-003"
"","  13.6854e-11","2.4866e-001","1.0987e-006","2.4487e-001","-9.5662e-003"
"","  14.6630e-11","2.4866e-001","1.1492e-006","2.4469e-001","-9.5101e-003"
"","  15.6405e-11","2.4866e-001","1.1841e-006","2.4507e-001","-9.4542e-003"
"","  16.6180e-11","2.4866e-001","1.2028e-006","2.4562e-001","-9.3899e-003"
"","  17.5956e-11","2.4866e-001","1.2099e-006","2.4617e-001","-9.3339e-003"
"","  18.5731e-11","2.4866e-001","1.2086e-006","2.4679e-001","-9.2647e-003"
"","  19.5506e-11","2.4866e-001","1.2136e-006","2.4796e-001","-9.1878e-003"
"","  20.5282e-11","2.4866e-001","1.2220e-006","2.4921e-001","-9.0514e-003"
"","  21.5057e-11","2.4865e-001","1.2177e-006","2.5070e-001","-8.9037e-003"
"","  22.4832e-11","2.4865e-001","1.2041e-006","2.5293e-001","-8.7455e-003"
"","  23.4608e-11","2.4865e-001","1.1833e-006","2.5520e-001","-8.5368e-003"
"","  24.4383e-11","2.4865e-001","1.1575e-006","2.5741e-001","-8.3402e-003"
"","  25.4158e-11","2.4865e-001","1.1419e-006","2.5997e-001","-8.1421e-003"
"","  26.3934e-11","2.4865e-001","1.1248e-006","2.6255e-001","-7.9362e-003"
"","  27.3709e-11","2.4865e-001","1.1043e-006","2.6527e-001","-7.7234e-003"
"","  28.3484e-11","2.4864e-001","1.0794e-006","2.6830e-001","-7.5109e-003"
"","  29.3259e-11","2.4864e-001","1.0525e-006","2.7376e-001","-7.2187e-003"
"","  30.3035e-11","2.4864e-001","1.0249e-006","2.7970e-001","-6.8928e-003"
"","  31.2810e-11","2.4864e-001","1.0033e-006","2.8600e-001","-6.5626e-003"
"","  32.2585e-11","2.4864e-001","9.8678e-007","2.9430e-001","-6.1576e-003"
"","  33.2361e-11","2.4864e-001","9.7168e-007","3.0238e-001","-5.7405e-003"
"","  34.2136e-11","2.4864e-001","9.5528e-007","3.1025e-001","-5.3341e-003"
"","  35.1911e-11","2.4864e-001","9.3998e-007","3.1850e-001","-4.9177e-003"
"","  36.1687e-11","2.4864e-001","9.2534e-007","3.2716e-001","-4.4727e-003"
"","  37.1462e-11","2.4864e-001","9.1504e-007","3.3553e-001","-4.0435e-003"
"","  38.1237e-11","2.4864e-001","9.1064e-007","3.4746e-001","-3.5894e-003"
"","  39.1013e-11","2.4864e-001","9.0797e-007","3.6075e-001","-3.1045e-003"
"","  40.0788e-11","2.4864e-001","9.0542e-007","3.7432e-001","-2.6269e-003"
"","  41.0563e-11","2.4864e-001","9.0391e-007","3.9086e-001","-2.1391e-003"
"","  42.0339e-11","2.4864e-001","9.0373e-007","4.0796e-001","-1.6419e-003"
"","  43.0114e-11","2.4864e-001","9.0554e-007","4.2445e-001","-1.1358e-003"
"","  43.9889e-11","2.4864e-001","9.1041e-007","4.4127e-001","-6.3683e-004"
"","  44.9665e-11","2.4864e-001","9.1758e-007","4.5948e-001","-1.4642e-004"
"","  45.9440e-11","2.4864e-001","9.2417e-007","4.7684e-001","3.5967e-004"
"","  46.9215e-11","2.4864e-001","9.3108e-007","4.9565e-001","8.2518e-004"
"","  47.8990e-11","2.4864e-001","9.3819e-007","5.1596e-001","1.2878e-003"
"","  48.8766e-11","2.4864e-001","9.4428e-007","5.3600e-001","1.7488e-003"
"","  49.8541e-11","2.4864e-001","9.5221e-007","5.5655e-001","2.1854e-003"
"","  50.8316e-11","2.4865e-001","9.6050e-007","5.7767e-001","2.6163e-003"
"","  51.8092e-11","2.4865e-001","9.6835e-007","5.9882e-001","3.0532e-003"
"","  52.7867e-11","2.4865e-001","9.7465e-007","6.1967e-001","3.4780e-003"
"","  53.7642e-11","2.4978e-001","9.8064e-007","6.4054e-001","3.8763e-003"
"","  54.7418e-11","2.5021e-001","9.8563e-007","6.6167e-001","4.2964e-003"
"","  55.7193e-11","2.5032e-001","9.9095e-007","6.8191e-001","4.6865e-003"
"","  56.6968e-11","2.5036e-001","-2.9931e-006","7.0222e-001","5.0355e-003"
"","  57.6744e-11","2.5037e-001","-3.6100e-005","7.2251e-001","5.3863e-003"
"","  58.6519e-11","2.5034e-001","-3.5340e-005","7.4221e-001","5.7329e-003"
"","  59.6294e-11","2.5020e-001","-3.1644e-005","7.6177e-001","6.0290e-003"
"","  60.6070e-11","2.4987e-001","-2.7226e-005","7.8132e-001","6.2998e-003"
"","  61.5845e-11","2.4982e-001","-2.2679e-005","8.0035e-001","6.5664e-003"
"","  62.5620e-11","2.5042e-001","-1.7283e-005","8.1874e-001","6.8303e-003"
"","  63.5396e-11","2.5113e-001","-1.1141e-005","8.3761e-001","7.0978e-003"
"","  64.5171e-11","2.5213e-001","-2.0545e-005","8.5568e-001","7.3599e-003"
"","  65.4946e-11","2.5324e-001","-2.5052e-005","8.7234e-001","7.6028e-003"
"","  66.4722e-11","2.5479e-001","-2.9499e-005","8.8907e-001","7.8473e-003"
"","  67.4497e-11","2.5626e-001","-3.7881e-005","9.0561e-001","8.0930e-003"
