"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 06:24:09 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.P6 (at pin)"
"Probe 2: U15.F11 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","1.2884e-001",DC,"1.2186e-001",DC
"","   0.9777e-11","1.2884e-001","4.8429e-008","1.2186e-001","-1.1963e-002"
"","   1.9555e-11","1.2884e-001","8.7170e-008","1.2186e-001","-1.1874e-002"
"","   2.9332e-11","1.2884e-001","1.1709e-007","1.2343e-001","-1.1787e-002"
"","   3.9109e-11","1.2885e-001","1.4038e-007","1.2912e-001","-1.1678e-002"
"","   4.8886e-11","1.2885e-001","1.5774e-007","1.3200e-001","-1.1535e-002"
"","   5.8664e-11","1.2885e-001","1.7167e-007","1.3481e-001","-1.1435e-002"
"","   6.8441e-11","1.2885e-001","1.8204e-007","1.3655e-001","-1.1321e-002"
"","   7.8218e-11","1.2885e-001","1.8769e-007","1.4180e-001","-1.1133e-002"
"","   8.7995e-11","1.2885e-001","1.3005e-007","1.4571e-001","-1.0935e-002"
"","   9.7773e-11","1.2885e-001","1.5117e-007","1.5107e-001","-1.0588e-002"
"","  10.7550e-11","1.2885e-001","2.3102e-007","1.5765e-001","-1.0201e-002"
"","  11.7327e-11","1.2885e-001","2.3079e-007","1.6546e-001","-9.7351e-003"
"","  12.7104e-11","1.2885e-001","2.3231e-007","1.7547e-001","-9.1957e-003"
"","  13.6882e-11","1.2885e-001","2.6007e-007","1.9002e-001","-8.4320e-003"
"","  14.6659e-11","1.2885e-001","2.7399e-007","2.0637e-001","-7.7103e-003"
"","  15.6436e-11","1.2885e-001","2.7113e-007","2.2593e-001","-6.9527e-003"
"","  16.6213e-11","1.2885e-001","2.6447e-007","2.5059e-001","-6.2486e-003"
"","  17.5991e-11","1.2885e-001","2.5946e-007","2.7545e-001","-5.5794e-003"
"","  18.5768e-11","1.2885e-001","2.5505e-007","3.0188e-001","-4.9291e-003"
"","  19.5545e-11","1.2885e-001","2.5134e-007","3.2487e-001","-4.1068e-003"
"","  20.5322e-11","1.2885e-001","2.5159e-007","3.5038e-001","-2.9911e-003"
"","  21.5100e-11","1.2885e-001","2.3779e-007","3.7612e-001","-1.8490e-003"
"","  22.4877e-11","1.2885e-001","2.4719e-007","4.0993e-001","-5.4921e-004"
"","  23.4654e-11","1.2885e-001","2.7353e-007","4.5268e-001","5.4533e-004"
"","  24.4431e-11","1.2885e-001","2.5838e-007","4.9704e-001","1.6623e-003"
"","  25.4209e-11","1.2885e-001","2.4150e-007","5.4165e-001","2.6147e-003"
"","  26.3986e-11","1.2885e-001","2.4129e-007","5.7943e-001","3.4133e-003"
"","  27.3763e-11","1.2885e-001","2.3806e-007","6.2151e-001","4.1890e-003"
"","  28.3540e-11","1.2885e-001","2.2635e-007","6.6050e-001","5.1980e-003"
"","  29.3318e-11","1.2885e-001","2.2147e-007","6.9906e-001","6.3605e-003"
