"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 06:25:30 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A8 (at pin)"
"Probe 2: U15.J5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.1443e-001",DC,"2.0825e-001",DC
"","   0.9777e-11","2.1443e-001","3.3043e-008","2.0825e-001","-1.0217e-002"
"","   1.9555e-11","2.1443e-001","6.2452e-008","2.0825e-001","-1.0083e-002"
"","   2.9332e-11","2.1443e-001","8.6666e-008","2.1026e-001","-9.9559e-003"
"","   3.9110e-11","2.1443e-001","1.0585e-007","2.1849e-001","-9.8176e-003"
"","   4.8887e-11","2.1443e-001","1.2286e-007","2.2280e-001","-9.6042e-003"
"","   5.8665e-11","2.1443e-001","1.3703e-007","2.2698e-001","-9.4548e-003"
"","   6.8442e-11","2.1443e-001","1.5303e-007","2.3198e-001","-9.3442e-003"
"","   7.8220e-11","2.1443e-001","1.7680e-007","2.3911e-001","-9.0881e-003"
"","   8.7997e-11","2.1443e-001","1.8937e-007","2.4464e-001","-8.8170e-003"
"","   9.7775e-11","2.1443e-001","1.9792e-007","2.5203e-001","-8.5639e-003"
"","  10.7552e-11","2.1444e-001","2.0452e-007","2.6278e-001","-8.0984e-003"
"","  11.7330e-11","2.1444e-001","2.0806e-007","2.7352e-001","-7.5427e-003"
"","  12.7107e-11","2.1444e-001","2.1046e-007","2.8441e-001","-7.0431e-003"
"","  13.6885e-11","2.1444e-001","2.0174e-007","3.0400e-001","-6.3463e-003"
"","  14.6662e-11","2.1444e-001","1.9476e-007","3.2480e-001","-5.6544e-003"
"","  15.6440e-11","2.1444e-001","1.8933e-007","3.4699e-001","-5.0248e-003"
"","  16.6217e-11","2.1444e-001","1.8718e-007","3.7493e-001","-4.6440e-003"
"","  17.5994e-11","2.1444e-001","2.0606e-007","4.0286e-001","-4.2613e-003"
"","  18.5772e-11","2.1444e-001","2.1976e-007","4.2825e-001","-3.9151e-003"
"","  19.5549e-11","2.1443e-001","2.2683e-007","4.4920e-001","-3.6545e-003"
"","  20.5327e-11","2.1443e-001","2.2950e-007","4.7168e-001","-3.1129e-003"
"","  21.5104e-11","2.1443e-001","2.3490e-007","4.9282e-001","-2.4003e-003"
"","  22.4882e-11","2.1443e-001","2.3877e-007","5.1474e-001","-1.7093e-003"
"","  23.4659e-11","2.1443e-001","2.4530e-007","5.4794e-001","-1.0960e-003"
"","  24.4437e-11","2.1443e-001","2.5282e-007","5.8392e-001","-4.8281e-004"
"","  25.4214e-11","2.1443e-001","2.5371e-007","6.1770e-001","-4.9371e-006"
"","  26.3992e-11","2.1443e-001","2.5258e-007","6.4990e-001","3.0236e-004"
"","  27.3769e-11","2.1443e-001","2.4912e-007","6.8153e-001","5.8655e-004"
"","  28.3547e-11","2.1443e-001","2.4409e-007","7.0984e-001","9.5854e-004"
"","  29.3324e-11","2.1443e-001","2.3744e-007","7.3673e-001","1.4197e-003"
"","  30.3102e-11","2.1443e-001","2.2709e-007","7.6468e-001","1.8861e-003"
"","  31.2879e-11","2.1443e-001","2.1904e-007","7.9427e-001","2.3856e-003"
"","  32.2656e-11","2.1443e-001","2.1423e-007","8.2581e-001","2.7897e-003"
"","  33.2434e-11","2.1443e-001","2.1202e-007","8.5707e-001","3.1274e-003"
"","  34.2211e-11","2.1443e-001","2.1458e-007","8.8780e-001","3.4452e-003"
"","  35.1989e-11","2.1443e-001","2.1513e-007","9.1566e-001","3.7132e-003"
"","  36.1766e-11","2.1443e-001","2.1178e-007","9.4270e-001","3.9743e-003"
"","  37.1544e-11","2.1443e-001","2.0856e-007","9.6973e-001","4.2367e-003"
"","  38.1321e-11","2.1443e-001","2.0887e-007","9.9537e-001","4.5173e-003"
"","  39.1099e-11","2.1443e-001","2.0918e-007","1.0211e+000","4.7666e-003"
"","  40.0876e-11","2.1443e-001","2.1145e-007","1.0461e+000","4.9431e-003"
"","  41.0654e-11","2.1443e-001","2.1291e-007","1.0701e+000","5.0788e-003"
"","  42.0431e-11","2.1443e-001","2.0986e-007","1.0924e+000","5.1892e-003"
"","  43.0209e-11","2.1443e-001","2.0766e-007","1.1125e+000","5.2616e-003"
"","  43.9986e-11","2.1681e-001","2.0500e-007","1.1313e+000","5.3259e-003"
"","  44.9764e-11","2.1975e-001","2.0187e-007","1.1490e+000","5.4142e-003"
"","  45.9541e-11","2.2230e-001","1.9706e-007","1.1652e+000","5.4992e-003"
"","  46.9319e-11","2.2484e-001","-4.3064e-005","1.1807e+000","5.5713e-003"
"","  47.9096e-11","2.2839e-001","-1.2634e-004","1.1961e+000","5.6482e-003"
