"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:38:15 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A3 (at pin)"
"Probe 2: U15.T6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4857e-001",DC,"2.4275e-001",DC
"","   0.9781e-11","2.4857e-001","1.4061e-007","2.4275e-001","-9.7598e-003"
"","   1.9561e-11","2.4857e-001","2.6462e-007","2.4275e-001","-9.7633e-003"
"","   2.9342e-11","2.4857e-001","3.6907e-007","2.4275e-001","-9.7665e-003"
"","   3.9122e-11","2.4857e-001","4.5934e-007","2.4275e-001","-9.7693e-003"
"","   4.8903e-11","2.4857e-001","5.3525e-007","2.4275e-001","-9.7718e-003"
"","   5.8683e-11","2.4858e-001","5.9990e-007","2.4275e-001","-9.7741e-003"
"","   6.8464e-11","2.4859e-001","6.5545e-007","2.4275e-001","-9.7651e-003"
"","   7.8244e-11","2.4859e-001","7.0345e-007","2.4275e-001","-9.7514e-003"
"","   8.8025e-11","2.4860e-001","7.4313e-007","2.4545e-001","-9.7377e-003"
"","   9.7805e-11","2.4860e-001","7.7774e-007","2.4530e-001","-9.7208e-003"
"","  10.7586e-11","2.4861e-001","8.2080e-007","2.4517e-001","-9.6902e-003"
"","  11.7366e-11","2.4861e-001","8.9947e-007","2.4504e-001","-9.6589e-003"
"","  12.7147e-11","2.4861e-001","9.6535e-007","2.4494e-001","-9.6179e-003"
"","  13.6927e-11","2.4861e-001","1.0077e-006","2.4484e-001","-9.5619e-003"
"","  14.6708e-11","2.4861e-001","1.0377e-006","2.4504e-001","-9.5059e-003"
"","  15.6488e-11","2.4861e-001","1.0588e-006","2.4582e-001","-9.4502e-003"
"","  16.6269e-11","2.4861e-001","1.0728e-006","2.4634e-001","-9.3897e-003"
"","  17.6049e-11","2.4862e-001","1.0979e-006","2.4686e-001","-9.3278e-003"
"","  18.5830e-11","2.4862e-001","1.1244e-006","2.4768e-001","-9.2561e-003"
"","  19.5610e-11","2.4862e-001","1.1407e-006","2.4892e-001","-9.1730e-003"
"","  20.5391e-11","2.4862e-001","1.1495e-006","2.5019e-001","-9.0312e-003"
"","  21.5172e-11","2.4862e-001","1.1687e-006","2.5208e-001","-8.8841e-003"
"","  22.4952e-11","2.4861e-001","1.1880e-006","2.5442e-001","-8.7185e-003"
"","  23.4733e-11","2.4861e-001","1.1954e-006","2.5676e-001","-8.5394e-003"
"","  24.4513e-11","2.4861e-001","1.1922e-006","2.5917e-001","-8.3425e-003"
"","  25.4294e-11","2.4861e-001","1.1841e-006","2.6187e-001","-8.1414e-003"
"","  26.4074e-11","2.4861e-001","1.1719e-006","2.6491e-001","-7.9318e-003"
"","  27.3855e-11","2.4861e-001","1.1580e-006","2.6802e-001","-7.7186e-003"
"","  28.3635e-11","2.4861e-001","1.1501e-006","2.7237e-001","-7.4975e-003"
"","  29.3416e-11","2.4861e-001","1.1381e-006","2.7871e-001","-7.1972e-003"
"","  30.3196e-11","2.4861e-001","1.1216e-006","2.8506e-001","-6.8774e-003"
"","  31.2977e-11","2.4861e-001","1.1033e-006","2.9270e-001","-6.5407e-003"
"","  32.2757e-11","2.4861e-001","1.0907e-006","3.0074e-001","-6.1354e-003"
"","  33.2538e-11","2.4860e-001","1.0759e-006","3.0939e-001","-5.7262e-003"
"","  34.2318e-11","2.4860e-001","1.0584e-006","3.1806e-001","-5.3302e-003"
"","  35.2099e-11","2.4860e-001","1.0412e-006","3.2751e-001","-4.9210e-003"
"","  36.1879e-11","2.4860e-001","1.0243e-006","3.3721e-001","-4.4953e-003"
"","  37.1660e-11","2.4860e-001","1.0076e-006","3.4805e-001","-4.0963e-003"
"","  38.1440e-11","2.4860e-001","9.9332e-007","3.6229e-001","-3.6534e-003"
"","  39.1221e-11","2.4860e-001","9.8369e-007","3.7677e-001","-3.1845e-003"
"","  40.1001e-11","2.4860e-001","9.7238e-007","3.9296e-001","-2.7321e-003"
"","  41.0782e-11","2.4860e-001","9.6130e-007","4.1145e-001","-2.2530e-003"
"","  42.0563e-11","2.4860e-001","9.5083e-007","4.2975e-001","-1.7728e-003"
"","  43.0343e-11","2.4860e-001","9.4148e-007","4.4764e-001","-1.2982e-003"
"","  44.0124e-11","2.4860e-001","9.3385e-007","4.6709e-001","-8.4879e-004"
"","  44.9904e-11","2.4860e-001","9.2773e-007","4.8713e-001","-4.0235e-004"
"","  45.9685e-11","2.4860e-001","9.2387e-007","5.0674e-001","2.7816e-005"
"","  46.9465e-11","2.4871e-001","9.2055e-007","5.2934e-001","4.3339e-004"
"","  47.9246e-11","2.5030e-001","9.1882e-007","5.5239e-001","8.4061e-004"
"","  48.9026e-11","2.5029e-001","9.1928e-007","5.7531e-001","1.2343e-003"
"","  49.8807e-11","2.5032e-001","9.2149e-007","5.9913e-001","1.6138e-003"
"","  50.8587e-11","2.5031e-001","9.2229e-007","6.2326e-001","1.9952e-003"
"","  51.8368e-11","2.5015e-001","4.4703e-007","6.4707e-001","2.3693e-003"
"","  52.8148e-11","2.5011e-001","-2.6398e-005","6.7052e-001","2.6912e-003"
"","  53.7929e-11","2.5008e-001","-3.5829e-005","6.9439e-001","3.0030e-003"
"","  54.7709e-11","2.5028e-001","-3.1571e-005","7.1770e-001","3.3111e-003"
"","  55.7490e-11","2.5063e-001","-2.6960e-005","7.4107e-001","3.5661e-003"
"","  56.7270e-11","2.5102e-001","-2.0186e-005","7.6450e-001","3.8009e-003"
"","  57.7051e-11","2.5138e-001","-1.4995e-005","7.8767e-001","4.0406e-003"
"","  58.6831e-11","2.5150e-001","-1.1644e-005","8.1046e-001","4.2628e-003"
"","  59.6612e-11","2.5268e-001","-1.1560e-005","8.3329e-001","4.4433e-003"
"","  60.6392e-11","2.5418e-001","-1.8131e-005","8.5546e-001","4.6091e-003"
"","  61.6173e-11","2.5596e-001","-2.4383e-005","8.7651e-001","4.7502e-003"
"","  62.5954e-11","2.5778e-001","-3.2389e-005","8.9766e-001","4.8912e-003"
"","  63.5734e-11","2.5955e-001","-5.2488e-005","9.1848e-001","5.0434e-003"
"","  64.5515e-11","2.6150e-001","-6.2953e-005","9.3765e-001","5.1675e-003"
"","  65.5295e-11","2.6333e-001","-7.6709e-005","9.5668e-001","5.2810e-003"
"","  66.5076e-11","2.6521e-001","-1.0014e-004","9.7570e-001","5.4011e-003"
"","  67.4856e-11","2.6757e-001","-1.2063e-004","9.9381e-001","5.5259e-003"
"","  68.4637e-11","2.7124e-001","-1.3992e-004","1.0101e+000","5.6261e-003"
"","  69.4417e-11","2.7507e-001","-1.6128e-004","1.0260e+000","5.7187e-003"
"","  70.4198e-11","2.7980e-001","-1.8364e-004","1.0411e+000","5.8175e-003"
"","  71.3978e-11","2.8483e-001","-2.0412e-004","1.0564e+000","5.8777e-003"
"","  72.3759e-11","2.9033e-001","-2.2749e-004","1.0717e+000","5.9222e-003"
"","  73.3539e-11","2.9604e-001","-2.7880e-004","1.0862e+000","5.9626e-003"
"","  74.3320e-11","3.0209e-001","-3.3656e-004","1.1002e+000","5.9780e-003"
"","  75.3100e-11","3.0822e-001","-3.9129e-004","1.1142e+000","5.9857e-003"
"","  76.2881e-11","3.1505e-001","-4.6294e-004","1.1278e+000","6.0015e-003"
"","  77.2661e-11","3.2388e-001","-5.2801e-004","1.1404e+000","6.0150e-003"
"","  78.2442e-11","3.3282e-001","-5.8685e-004","1.1531e+000","6.0179e-003"
"","  79.2222e-11","3.4235e-001","-6.4165e-004","1.1653e+000","6.0262e-003"
"","  80.2003e-11","3.5406e-001","-6.9088e-004","1.1754e+000","6.0389e-003"
"","  81.1783e-11","3.6558e-001","-7.3477e-004","1.1852e+000","6.0509e-003"
"","  82.1564e-11","3.7752e-001","-8.1504e-004","1.1945e+000","6.0654e-003"
"","  83.1344e-11","3.9027e-001","-9.0929e-004","1.2031e+000","6.0758e-003"
"","  84.1125e-11","4.0357e-001","-1.0051e-003","1.2111e+000","6.0826e-003"
"","  85.0906e-11","4.1702e-001","-1.1272e-003","1.2192e+000","6.0925e-003"
"","  86.0686e-11","4.3227e-001","-1.2399e-003","1.2266e+000","6.0973e-003"
"","  87.0467e-11","4.4754e-001","-1.3339e-003","1.2336e+000","6.0889e-003"
"","  88.0247e-11","4.6234e-001","-1.4165e-003","1.2402e+000","6.0915e-003"
"","  89.0028e-11","4.7837e-001","-1.4952e-003","1.2468e+000","6.1174e-003"
"","  89.9808e-11","4.9420e-001","-1.5524e-003","1.2531e+000","6.1115e-003"
"","  90.9589e-11","5.1022e-001","-1.6192e-003","1.2591e+000","6.1031e-003"
"","  91.9369e-11","5.2702e-001","-1.6944e-003","1.2645e+000","6.0902e-003"
"","  92.9150e-11","5.4448e-001","-1.7595e-003","1.2696e+000","6.0788e-003"
"","  93.8930e-11","5.6211e-001","-1.8286e-003","1.2743e+000","6.0597e-003"
"","  94.8711e-11","5.8038e-001","-1.8908e-003","1.2787e+000","6.0527e-003"
"","  95.8491e-11","5.9898e-001","-1.9389e-003","1.2827e+000","6.0494e-003"
"","  96.8272e-11","6.1718e-001","-1.9680e-003","1.2868e+000","6.0556e-003"
"","  97.8052e-11","6.3571e-001","-1.9795e-003","1.2905e+000","6.0621e-003"
"","  98.7833e-11","6.5450e-001","-1.9816e-003","1.2938e+000","6.0631e-003"
"","  99.7613e-11","6.7313e-001","-1.9715e-003","1.2968e+000","6.0666e-003"
""," 100.7394e-11","6.9164e-001","-1.9560e-003","1.2990e+000","6.0692e-003"
""," 101.7174e-11","7.1057e-001","-1.9398e-003","1.3008e+000","6.0900e-003"
""," 102.6955e-11","7.2981e-001","-1.9168e-003","1.3021e+000","6.1198e-003"
