"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:39:30 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A9 (at pin)"
"Probe 2: U15.N5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4862e-001",DC,"2.4274e-001",DC
"","   0.9777e-11","2.4862e-001","1.4912e-007","2.4274e-001","-9.7559e-003"
"","   1.9554e-11","2.4862e-001","2.7796e-007","2.4274e-001","-9.7596e-003"
"","   2.9331e-11","2.4862e-001","3.8714e-007","2.4274e-001","-9.7629e-003"
"","   3.9108e-11","2.4862e-001","4.7809e-007","2.4274e-001","-9.7659e-003"
"","   4.8885e-11","2.4862e-001","5.5568e-007","2.4274e-001","-9.7685e-003"
"","   5.8662e-11","2.4863e-001","6.2103e-007","2.4274e-001","-9.7701e-003"
"","   6.8439e-11","2.4864e-001","7.0054e-007","2.4274e-001","-9.7621e-003"
"","   7.8216e-11","2.4864e-001","8.8896e-007","2.4274e-001","-9.7485e-003"
"","   8.7993e-11","2.4864e-001","9.4645e-007","2.4450e-001","-9.7349e-003"
"","   9.7770e-11","2.4865e-001","9.5997e-007","2.4537e-001","-9.7189e-003"
"","  10.7547e-11","2.4865e-001","9.3080e-007","2.4522e-001","-9.6899e-003"
"","  11.7324e-11","2.4865e-001","9.9879e-007","2.4509e-001","-9.6585e-003"
"","  12.7101e-11","2.4865e-001","1.0686e-006","2.4497e-001","-9.6190e-003"
"","  13.6878e-11","2.4865e-001","1.1230e-006","2.4416e-001","-9.5639e-003"
"","  14.6655e-11","2.4865e-001","1.1744e-006","2.4470e-001","-9.5077e-003"
"","  15.6432e-11","2.4865e-001","1.1853e-006","2.4504e-001","-9.4520e-003"
"","  16.6209e-11","2.4865e-001","1.1748e-006","2.4559e-001","-9.3866e-003"
"","  17.5986e-11","2.4865e-001","1.1733e-006","2.4612e-001","-9.3206e-003"
"","  18.5763e-11","2.4865e-001","1.2151e-006","2.4670e-001","-9.2596e-003"
"","  19.5540e-11","2.4865e-001","1.2112e-006","2.4779e-001","-9.1786e-003"
"","  20.5317e-11","2.4865e-001","1.2004e-006","2.4891e-001","-9.0410e-003"
"","  21.5094e-11","2.4865e-001","1.1669e-006","2.5031e-001","-8.8935e-003"
"","  22.4871e-11","2.4864e-001","1.1460e-006","2.5246e-001","-8.6840e-003"
"","  23.4648e-11","2.4864e-001","1.1307e-006","2.5465e-001","-8.5210e-003"
"","  24.4425e-11","2.4864e-001","1.1186e-006","2.5676e-001","-8.3269e-003"
"","  25.4202e-11","2.4864e-001","1.1095e-006","2.5923e-001","-8.1290e-003"
"","  26.3979e-11","2.4864e-001","1.0818e-006","2.6193e-001","-7.9224e-003"
"","  27.3756e-11","2.4864e-001","1.0489e-006","2.6436e-001","-7.7086e-003"
"","  28.3533e-11","2.4864e-001","1.0180e-006","2.6742e-001","-7.4891e-003"
"","  29.3310e-11","2.4864e-001","1.0034e-006","2.7249e-001","-7.1857e-003"
"","  30.3087e-11","2.4864e-001","9.9124e-007","2.7828e-001","-6.8575e-003"
"","  31.2864e-11","2.4864e-001","9.7577e-007","2.8525e-001","-6.5204e-003"
"","  32.2641e-11","2.4864e-001","9.5945e-007","2.9266e-001","-6.1094e-003"
"","  33.2418e-11","2.4864e-001","9.4079e-007","3.0031e-001","-5.6874e-003"
"","  34.2195e-11","2.4864e-001","9.2806e-007","3.0776e-001","-5.2798e-003"
"","  35.1972e-11","2.4864e-001","9.2184e-007","3.1593e-001","-4.8564e-003"
"","  36.1749e-11","2.4864e-001","9.2089e-007","3.2410e-001","-4.4084e-003"
"","  37.1526e-11","2.4864e-001","9.1771e-007","3.3269e-001","-3.9773e-003"
"","  38.1303e-11","2.4864e-001","9.1343e-007","3.4416e-001","-3.5119e-003"
"","  39.1080e-11","2.4864e-001","9.1019e-007","3.5740e-001","-3.0216e-003"
"","  40.0857e-11","2.4864e-001","9.1226e-007","3.7076e-001","-2.5442e-003"
"","  41.0634e-11","2.4864e-001","9.1820e-007","3.8700e-001","-2.0478e-003"
"","  42.0411e-11","2.4864e-001","9.2408e-007","4.0384e-001","-1.5398e-003"
"","  43.0188e-11","2.4864e-001","9.3056e-007","4.1961e-001","-1.0125e-003"
"","  43.9965e-11","2.4864e-001","9.3469e-007","4.3631e-001","-5.1140e-004"
"","  44.9742e-11","2.4864e-001","9.3982e-007","4.5409e-001","4.4129e-006"
"","  45.9519e-11","2.4864e-001","9.4665e-007","4.7103e-001","4.9250e-004"
"","  46.9296e-11","2.4864e-001","9.5248e-007","4.8979e-001","9.7324e-004"
"","  47.9074e-11","2.4864e-001","9.5892e-007","5.1015e-001","1.4365e-003"
"","  48.8851e-11","2.4864e-001","9.6540e-007","5.2985e-001","1.9034e-003"
"","  49.8628e-11","2.4864e-001","9.7080e-007","5.5037e-001","2.3448e-003"
"","  50.8405e-11","2.4864e-001","9.7586e-007","5.7157e-001","2.7843e-003"
"","  51.8181e-11","2.4864e-001","9.8213e-007","5.9258e-001","3.2563e-003"
"","  52.7959e-11","2.4911e-001","9.8791e-007","6.1347e-001","3.6824e-003"
"","  53.7736e-11","2.5002e-001","9.9237e-007","6.3469e-001","4.0933e-003"
"","  54.7513e-11","2.5025e-001","9.9559e-007","6.5516e-001","4.5314e-003"
"","  55.7290e-11","2.5034e-001","-2.3450e-006","6.7569e-001","4.9185e-003"
"","  56.7067e-11","2.5037e-001","-2.9466e-005","6.9592e-001","5.2581e-003"
"","  57.6844e-11","2.5036e-001","-3.3903e-005","7.1636e-001","5.6162e-003"
"","  58.6621e-11","2.5026e-001","-3.2026e-005","7.3616e-001","5.9588e-003"
"","  59.6398e-11","2.4987e-001","-2.8266e-005","7.5577e-001","6.2464e-003"
"","  60.6175e-11","2.4977e-001","-2.3898e-005","7.7605e-001","6.5343e-003"
"","  61.5952e-11","2.5028e-001","-1.8380e-005","7.9515e-001","6.7952e-003"
"","  62.5729e-11","2.5091e-001","-1.4167e-005","8.1363e-001","7.0524e-003"
"","  63.5506e-11","2.5177e-001","-1.9157e-005","8.3290e-001","7.3288e-003"
"","  64.5283e-11","2.5299e-001","-2.3323e-005","8.5097e-001","7.5822e-003"
"","  65.5060e-11","2.5417e-001","-2.7489e-005","8.6734e-001","7.8229e-003"
"","  66.4837e-11","2.5544e-001","-3.4232e-005","8.8426e-001","8.0556e-003"
"","  67.4614e-11","2.5685e-001","-4.9069e-005","9.0075e-001","8.2992e-003"
