"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:45:11 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.P5 (at pin)"
"Probe 2: U15.C12 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4830e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4830e-001","1.7249e-007","2.4275e-001","-9.7714e-003"
"","   1.9550e-11","2.4830e-001","3.1621e-007","2.4275e-001","-9.7745e-003"
"","   2.9325e-11","2.4830e-001","4.3443e-007","2.4275e-001","-9.7772e-003"
"","   3.9100e-11","2.4830e-001","5.3155e-007","2.4275e-001","-9.7796e-003"
"","   4.8875e-11","2.4831e-001","6.1014e-007","2.4275e-001","-9.7819e-003"
"","   5.8650e-11","2.4831e-001","6.7617e-007","2.4275e-001","-9.7833e-003"
"","   6.8425e-11","2.4832e-001","7.3047e-007","2.4275e-001","-9.7754e-003"
"","   7.8200e-11","2.4833e-001","7.7371e-007","2.4275e-001","-9.7615e-003"
"","   8.7975e-11","2.4833e-001","8.2862e-007","2.4452e-001","-9.7476e-003"
"","   9.7750e-11","2.4833e-001","8.9315e-007","2.4539e-001","-9.7314e-003"
"","  10.7525e-11","2.4834e-001","9.3746e-007","2.4527e-001","-9.7021e-003"
"","  11.7300e-11","2.4834e-001","9.5678e-007","2.4516e-001","-9.6706e-003"
"","  12.7075e-11","2.4835e-001","9.8049e-007","2.4506e-001","-9.6330e-003"
"","  13.6850e-11","2.4835e-001","9.9494e-007","2.4497e-001","-9.5765e-003"
"","  14.6626e-11","2.4835e-001","1.0054e-006","2.4489e-001","-9.5202e-003"
"","  15.6401e-11","2.4835e-001","9.7125e-007","2.4566e-001","-9.4640e-003"
"","  16.6176e-11","2.4835e-001","9.2279e-007","2.4620e-001","-9.3995e-003"
"","  17.5951e-11","2.4835e-001","8.9509e-007","2.4673e-001","-9.3335e-003"
"","  18.5726e-11","2.4835e-001","8.7769e-007","2.4732e-001","-9.2720e-003"
"","  19.5501e-11","2.4835e-001","8.6969e-007","2.4840e-001","-9.1929e-003"
"","  20.5276e-11","2.4834e-001","9.5086e-007","2.4964e-001","-9.0575e-003"
"","  21.5051e-11","2.4834e-001","1.0318e-006","2.5105e-001","-8.9099e-003"
"","  22.4826e-11","2.4834e-001","1.0837e-006","2.5329e-001","-8.7503e-003"
"","  23.4601e-11","2.4834e-001","1.1158e-006","2.5565e-001","-8.5477e-003"
"","  24.4376e-11","2.4834e-001","1.1210e-006","2.5799e-001","-8.3703e-003"
"","  25.4151e-11","2.4834e-001","1.1344e-006","2.6062e-001","-8.1729e-003"
"","  26.3926e-11","2.4834e-001","1.1457e-006","2.6368e-001","-7.9640e-003"
