"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:45:45 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.P7 (at pin)"
"Probe 2: U15.E13 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4832e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4832e-001","1.6713e-007","2.4275e-001","-9.7628e-003"
"","   1.9551e-11","2.4832e-001","3.0748e-007","2.4275e-001","-9.7662e-003"
"","   2.9326e-11","2.4832e-001","4.2365e-007","2.4275e-001","-9.7693e-003"
"","   3.9102e-11","2.4832e-001","5.1980e-007","2.4275e-001","-9.7720e-003"
"","   4.8877e-11","2.4833e-001","5.9984e-007","2.4275e-001","-9.7745e-003"
"","   5.8653e-11","2.4833e-001","6.6568e-007","2.4275e-001","-9.7767e-003"
"","   6.8428e-11","2.4834e-001","7.2011e-007","2.4275e-001","-9.7715e-003"
"","   7.8204e-11","2.4834e-001","7.8388e-007","2.4275e-001","-9.7578e-003"
"","   8.7979e-11","2.4834e-001","8.8541e-007","2.4284e-001","-9.7440e-003"
"","   9.7755e-11","2.4835e-001","1.0213e-006","2.4412e-001","-9.7296e-003"
"","  10.7530e-11","2.4835e-001","1.1130e-006","2.4470e-001","-9.7023e-003"
"","  11.7305e-11","2.4835e-001","1.1749e-006","2.4493e-001","-9.6709e-003"
"","  12.7081e-11","2.4835e-001","1.2112e-006","2.4499e-001","-9.6361e-003"
"","  13.6856e-11","2.4836e-001","1.2268e-006","2.4497e-001","-9.5818e-003"
"","  14.6632e-11","2.4836e-001","1.2314e-006","2.4491e-001","-9.5255e-003"
"","  15.6407e-11","2.4836e-001","1.2059e-006","2.4490e-001","-9.4696e-003"
"","  16.6183e-11","2.4836e-001","1.1823e-006","2.4512e-001","-9.4079e-003"
"","  17.5958e-11","2.4836e-001","1.2080e-006","2.4551e-001","-9.2067e-003"
"","  18.5734e-11","2.4836e-001","1.1875e-006","2.4598e-001","-9.2178e-003"
"","  19.5509e-11","2.4836e-001","1.1655e-006","2.4664e-001","-9.1857e-003"
"","  20.5285e-11","2.4836e-001","1.1426e-006","2.4759e-001","-9.0794e-003"
"","  21.5060e-11","2.4836e-001","1.1135e-006","2.4871e-001","-8.9404e-003"
"","  22.4835e-11","2.4835e-001","1.0818e-006","2.5020e-001","-8.7915e-003"
"","  23.4611e-11","2.4835e-001","1.0411e-006","2.5208e-001","-8.5942e-003"
"","  24.4386e-11","2.4835e-001","1.0055e-006","2.5414e-001","-8.3781e-003"
"","  25.4162e-11","2.4835e-001","9.7089e-007","2.5634e-001","-8.1616e-003"
"","  26.3937e-11","2.4835e-001","9.7352e-007","2.5895e-001","-7.9505e-003"
"","  27.3713e-11","2.4835e-001","9.5137e-007","2.6227e-001","-7.7320e-003"
"","  28.3488e-11","2.4835e-001","9.4414e-007","2.6480e-001","-7.5001e-003"
"","  29.3264e-11","2.4835e-001","9.3737e-007","2.6776e-001","-7.2113e-003"
"","  30.3039e-11","2.4835e-001","9.3096e-007","2.7201e-001","-6.8733e-003"
"","  31.2814e-11","2.4835e-001","9.2811e-007","2.7705e-001","-6.5169e-003"
"","  32.2590e-11","2.4835e-001","9.1228e-007","2.8315e-001","-6.1054e-003"
"","  33.2365e-11","2.4835e-001","9.1380e-007","2.9034e-001","-5.6853e-003"
"","  34.2141e-11","2.4835e-001","9.2521e-007","2.9818e-001","-5.2666e-003"
"","  35.1916e-11","2.4835e-001","9.2569e-007","3.0625e-001","-4.7309e-003"
"","  36.1692e-11","2.4835e-001","9.3314e-007","3.1460e-001","-4.4065e-003"
"","  37.1467e-11","2.4835e-001","9.4526e-007","3.2321e-001","-4.0001e-003"
"","  38.1243e-11","2.4835e-001","9.5461e-007","3.3252e-001","-3.4650e-003"
"","  39.1018e-11","2.4835e-001","9.6088e-007","3.4364e-001","-2.9057e-003"
"","  40.0794e-11","2.4835e-001","9.6707e-007","3.5602e-001","-2.3844e-003"
"","  41.0569e-11","2.4835e-001","9.6682e-007","3.6978e-001","-1.8102e-003"
"","  42.0344e-11","2.4835e-001","9.7351e-007","3.8514e-001","-1.2638e-003"
"","  43.0120e-11","2.4835e-001","9.8482e-007","4.0124e-001","-7.5890e-004"
"","  43.9895e-11","2.4835e-001","9.8163e-007","4.1784e-001","-2.6882e-004"
"","  44.9671e-11","2.4835e-001","9.8931e-007","4.3508e-001","2.2397e-004"
"","  45.9446e-11","2.4835e-001","9.9256e-007","4.5204e-001","7.1259e-004"
"","  46.9222e-11","2.4864e-001","9.9602e-007","4.6980e-001","1.2872e-003"
"","  47.8997e-11","2.4913e-001","9.9599e-007","4.8939e-001","1.8515e-003"
"","  48.8773e-11","2.4943e-001","9.9117e-007","5.0961e-001","2.3642e-003"
"","  49.8548e-11","2.4959e-001","9.9493e-007","5.3039e-001","2.9197e-003"
"","  50.8324e-11","2.4968e-001","-1.5715e-006","5.5173e-001","3.4062e-003"
"","  51.8099e-11","2.4972e-001","-1.7871e-005","5.7297e-001","3.8380e-003"
"","  52.7874e-11","2.4976e-001","-2.5278e-005","5.9383e-001","4.3379e-003"
"","  53.7650e-11","2.4990e-001","-2.6877e-005","6.1453e-001","4.6337e-003"
"","  54.7425e-11","2.5010e-001","-2.5410e-005","6.3511e-001","5.0182e-003"
"","  55.7201e-11","2.5018e-001","-2.2462e-005","6.5598e-001","5.5055e-003"
"","  56.6976e-11","2.5035e-001","-1.9078e-005","6.7755e-001","5.9192e-003"
"","  57.6752e-11","2.5075e-001","-1.8928e-005","6.9889e-001","6.2522e-003"
"","  58.6527e-11","2.5135e-001","-2.0985e-005","7.2014e-001","6.6197e-003"
"","  59.6303e-11","2.5214e-001","-2.8946e-005","7.4108e-001","6.9057e-003"
"","  60.6078e-11","2.5320e-001","-3.5902e-005","7.6117e-001","7.1216e-003"
"","  61.5854e-11","2.5443e-001","-3.9619e-005","7.8049e-001","7.3311e-003"
"","  62.5629e-11","2.5574e-001","-4.4502e-005","7.9907e-001","7.5613e-003"
"","  63.5404e-11","2.5721e-001","-5.1783e-005","8.1686e-001","7.8038e-003"
