"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:47:44 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.R4 (at pin)"
"Probe 2: U15.G13 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4850e-001",DC,"2.4275e-001",DC
"","   0.9781e-11","2.4850e-001","1.4806e-007","2.4275e-001","-9.7611e-003"
"","   1.9562e-11","2.4850e-001","2.7728e-007","2.4275e-001","-9.7646e-003"
"","   2.9343e-11","2.4850e-001","3.8535e-007","2.4275e-001","-9.7677e-003"
"","   3.9124e-11","2.4850e-001","4.7649e-007","2.4275e-001","-9.7705e-003"
"","   4.8905e-11","2.4851e-001","5.5413e-007","2.4275e-001","-9.7730e-003"
"","   5.8686e-11","2.4851e-001","6.1990e-007","2.4275e-001","-9.7749e-003"
"","   6.8467e-11","2.4852e-001","6.8412e-007","2.4275e-001","-9.7661e-003"
"","   7.8248e-11","2.4852e-001","8.2782e-007","2.4275e-001","-9.7524e-003"
"","   8.8029e-11","2.4853e-001","9.1805e-007","2.4550e-001","-9.7386e-003"
"","   9.7810e-11","2.4853e-001","9.2700e-007","2.4534e-001","-9.7211e-003"
"","  10.7591e-11","2.4853e-001","9.4122e-007","2.4521e-001","-9.6919e-003"
"","  11.7372e-11","2.4853e-001","9.7085e-007","2.4508e-001","-9.6605e-003"
"","  12.7153e-11","2.4853e-001","1.0371e-006","2.4497e-001","-9.6204e-003"
"","  13.6934e-11","2.4853e-001","1.0966e-006","2.4472e-001","-9.5640e-003"
"","  14.6715e-11","2.4853e-001","1.1533e-006","2.4474e-001","-9.5078e-003"
"","  15.6496e-11","2.4853e-001","1.1803e-006","2.4524e-001","-9.4510e-003"
"","  16.6277e-11","2.4853e-001","1.1908e-006","2.4580e-001","-9.3849e-003"
"","  17.6058e-11","2.4853e-001","1.2035e-006","2.4635e-001","-9.3295e-003"
"","  18.5839e-11","2.4853e-001","1.2056e-006","2.4710e-001","-9.2576e-003"
"","  19.5620e-11","2.4853e-001","1.2204e-006","2.4830e-001","-9.1772e-003"
"","  20.5401e-11","2.4853e-001","1.2246e-006","2.4953e-001","-9.0396e-003"
"","  21.5182e-11","2.4853e-001","1.2063e-006","2.5123e-001","-8.8918e-003"
"","  22.4963e-11","2.4853e-001","1.1732e-006","2.5349e-001","-8.7151e-003"
"","  23.4744e-11","2.4852e-001","1.1518e-006","2.5574e-001","-8.5247e-003"
"","  24.4525e-11","2.4852e-001","1.1365e-006","2.5798e-001","-8.3260e-003"
"","  25.4306e-11","2.4852e-001","1.1172e-006","2.6067e-001","-8.1270e-003"
"","  26.4087e-11","2.4852e-001","1.0968e-006","2.6320e-001","-7.9183e-003"
"","  27.3868e-11","2.4852e-001","1.0741e-006","2.6600e-001","-7.7055e-003"
"","  28.3649e-11","2.4852e-001","1.0458e-006","2.6948e-001","-7.4829e-003"
"","  29.3430e-11","2.4852e-001","1.0217e-006","2.7509e-001","-7.1813e-003"
"","  30.3211e-11","2.4852e-001","9.9995e-007","2.8097e-001","-6.8576e-003"
"","  31.2992e-11","2.4852e-001","9.8365e-007","2.8807e-001","-6.5164e-003"
"","  32.2773e-11","2.4852e-001","9.6864e-007","2.9589e-001","-6.1050e-003"
"","  33.2554e-11","2.4852e-001","9.5127e-007","3.0396e-001","-5.6876e-003"
"","  34.2335e-11","2.4852e-001","9.3271e-007","3.1183e-001","-5.2818e-003"
"","  35.2116e-11","2.4852e-001","9.2153e-007","3.2023e-001","-4.8584e-003"
"","  36.1897e-11","2.4852e-001","9.1514e-007","3.2882e-001","-4.4156e-003"
"","  37.1678e-11","2.4852e-001","9.1027e-007","3.3799e-001","-3.9892e-003"
"","  38.1459e-11","2.4852e-001","9.0643e-007","3.5053e-001","-3.5269e-003"
"","  39.1240e-11","2.4852e-001","9.0601e-007","3.6369e-001","-3.0396e-003"
"","  40.1021e-11","2.4852e-001","9.0579e-007","3.7784e-001","-2.5694e-003"
"","  41.0802e-11","2.4852e-001","9.0715e-007","3.9487e-001","-2.0687e-003"
"","  42.0583e-11","2.4852e-001","9.1106e-007","4.1184e-001","-1.5689e-003"
"","  43.0364e-11","2.4852e-001","9.1742e-007","4.2814e-001","-1.0591e-003"
"","  44.0145e-11","2.4852e-001","9.2467e-007","4.4543e-001","-5.6183e-004"
"","  44.9926e-11","2.4852e-001","9.3085e-007","4.6341e-001","-6.6334e-005"
"","  45.9707e-11","2.4852e-001","9.3737e-007","4.8071e-001","4.2569e-004"
"","  46.9488e-11","2.4852e-001","9.4537e-007","5.0025e-001","8.9369e-004"
"","  47.9269e-11","2.4852e-001","9.5352e-007","5.2053e-001","1.3601e-003"
"","  48.9050e-11","2.4852e-001","9.6145e-007","5.4044e-001","1.8185e-003"
"","  49.8831e-11","2.4852e-001","9.6865e-007","5.6139e-001","2.2560e-003"
"","  50.8612e-11","2.4852e-001","9.7609e-007","5.8252e-001","2.6938e-003"
"","  51.8393e-11","2.4857e-001","9.8179e-007","6.0365e-001","3.1379e-003"
"","  52.8174e-11","2.4983e-001","9.8747e-007","6.2445e-001","3.5548e-003"
"","  53.7955e-11","2.5011e-001","9.9253e-007","6.4545e-001","3.9609e-003"
"","  54.7736e-11","2.5023e-001","9.9696e-007","6.6613e-001","4.3824e-003"
"","  55.7517e-11","2.5028e-001","-1.4513e-005","6.8649e-001","4.7565e-003"
"","  56.7298e-11","2.5020e-001","-3.5194e-005","7.0688e-001","5.1061e-003"
"","  57.7079e-11","2.5014e-001","-3.3707e-005","7.2706e-001","5.4606e-003"
"","  58.6860e-11","2.5003e-001","-3.0157e-005","7.4676e-001","5.8012e-003"
"","  59.6641e-11","2.4947e-001","-2.5143e-005","7.6648e-001","6.0936e-003"
"","  60.6422e-11","2.4993e-001","-1.8908e-005","7.8611e-001","6.3688e-003"
"","  61.6203e-11","2.5054e-001","-1.3892e-005","8.0483e-001","6.6303e-003"
"","  62.5984e-11","2.5128e-001","-1.6608e-005","8.2343e-001","6.8937e-003"
"","  63.5765e-11","2.5232e-001","-2.2051e-005","8.4227e-001","7.1676e-003"
"","  64.5546e-11","2.5355e-001","-2.5976e-005","8.5965e-001","7.4216e-003"
"","  65.5327e-11","2.5487e-001","-3.0365e-005","8.7636e-001","7.6645e-003"
"","  66.5108e-11","2.5618e-001","-4.0796e-005","8.9319e-001","7.9085e-003"
"","  67.4889e-11","2.5769e-001","-5.4435e-005","9.0947e-001","8.1539e-003"
"","  68.4670e-11","2.5932e-001","-7.4744e-005","9.2369e-001","8.3731e-003"
"","  69.4451e-11","2.6110e-001","-9.6710e-005","9.3741e-001","8.5766e-003"
"","  70.4232e-11","2.6277e-001","-1.1928e-004","9.5062e-001","8.7832e-003"
"","  71.4013e-11","2.6462e-001","-1.4000e-004","9.6402e-001","8.9504e-003"
"","  72.3794e-11","2.6684e-001","-1.6229e-004","9.7762e-001","9.0912e-003"
"","  73.3575e-11","2.7020e-001","-1.8347e-004","9.9058e-001","9.2274e-003"
"","  74.3356e-11","2.7423e-001","-2.0548e-004","1.0031e+000","9.3445e-003"
"","  75.3137e-11","2.7914e-001","-2.2846e-004","1.0157e+000","9.4453e-003"
"","  76.2918e-11","2.8484e-001","-2.7137e-004","1.0281e+000","9.5415e-003"
