"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:59:02 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.R5 (at pin)"
"Probe 2: U15.F13 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4859e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4859e-001","1.6820e-007","2.4275e-001","-9.7594e-003"
"","   1.9553e-11","2.4859e-001","3.0994e-007","2.4275e-001","-9.7630e-003"
"","   2.9329e-11","2.4859e-001","4.2668e-007","2.4275e-001","-9.7661e-003"
"","   3.9106e-11","2.4859e-001","5.2243e-007","2.4275e-001","-9.7690e-003"
"","   4.8882e-11","2.4860e-001","6.0150e-007","2.4275e-001","-9.7715e-003"
"","   5.8658e-11","2.4861e-001","6.7053e-007","2.4275e-001","-9.7736e-003"
"","   6.8435e-11","2.4861e-001","7.2757e-007","2.4275e-001","-9.7664e-003"
"","   7.8211e-11","2.4861e-001","8.9670e-007","2.4275e-001","-9.7527e-003"
"","   8.7988e-11","2.4862e-001","9.9782e-007","2.4380e-001","-9.7390e-003"
"","   9.7764e-11","2.4862e-001","9.3577e-007","2.4478e-001","-9.7237e-003"
"","  10.7541e-11","2.4862e-001","1.0376e-006","2.4506e-001","-9.6947e-003"
"","  11.7317e-11","2.4863e-001","1.0998e-006","2.4509e-001","-9.6633e-003"
"","  12.7093e-11","2.4863e-001","1.1588e-006","2.4503e-001","-9.6256e-003"
"","  13.6870e-11","2.4863e-001","1.1924e-006","2.4494e-001","-9.5701e-003"
"","  14.6646e-11","2.4863e-001","1.1794e-006","2.4486e-001","-9.5139e-003"
"","  15.6423e-11","2.4863e-001","1.1959e-006","2.4498e-001","-9.4582e-003"
"","  16.6199e-11","2.4863e-001","1.1714e-006","2.4535e-001","-9.3944e-003"
"","  17.5975e-11","2.4863e-001","1.1628e-006","2.4584e-001","-9.2617e-003"
"","  18.5752e-11","2.4862e-001","1.1783e-006","2.4641e-001","-9.2452e-003"
"","  19.5528e-11","2.4862e-001","1.1374e-006","2.4730e-001","-9.1891e-003"
"","  20.5305e-11","2.4862e-001","1.1375e-006","2.4843e-001","-9.0606e-003"
"","  21.5081e-11","2.4862e-001","1.1051e-006","2.4977e-001","-8.9150e-003"
"","  22.4858e-11","2.4862e-001","1.0821e-006","2.5163e-001","-8.7568e-003"
"","  23.4634e-11","2.4862e-001","1.0690e-006","2.5374e-001","-8.5526e-003"
"","  24.4410e-11","2.4862e-001","1.0279e-006","2.5593e-001","-8.3365e-003"
"","  25.4187e-11","2.4862e-001","1.0209e-006","2.5833e-001","-8.1305e-003"
"","  26.3963e-11","2.4862e-001","9.9497e-007","2.6166e-001","-7.9227e-003"
"","  27.3740e-11","2.4862e-001","9.6873e-007","2.6413e-001","-7.7028e-003"
"","  28.3516e-11","2.4862e-001","9.7158e-007","2.6671e-001","-7.4761e-003"
"","  29.3292e-11","2.4862e-001","9.4886e-007","2.7075e-001","-7.1816e-003"
"","  30.3069e-11","2.4862e-001","9.4617e-007","2.7594e-001","-6.8417e-003"
"","  31.2845e-11","2.4862e-001","9.3364e-007","2.8182e-001","-6.4959e-003"
"","  32.2622e-11","2.4862e-001","9.2196e-007","2.8902e-001","-6.0866e-003"
"","  33.2398e-11","2.4862e-001","9.2845e-007","2.9696e-001","-5.6715e-003"
"","  34.2175e-11","2.4862e-001","9.2005e-007","3.0508e-001","-5.2547e-003"
"","  35.1951e-11","2.4862e-001","9.2918e-007","3.1333e-001","-4.8387e-003"
"","  36.1727e-11","2.4862e-001","9.3388e-007","3.2188e-001","-4.4187e-003"
"","  37.1504e-11","2.4862e-001","9.3249e-007","3.3069e-001","-3.9636e-003"
"","  38.1280e-11","2.4862e-001","9.4573e-007","3.4115e-001","-3.4379e-003"
"","  39.1057e-11","2.4862e-001","9.4428e-007","3.5344e-001","-2.9259e-003"
"","  40.0833e-11","2.4862e-001","9.5208e-007","3.6670e-001","-2.4136e-003"
"","  41.0609e-11","2.4862e-001","9.5736e-007","3.8178e-001","-1.8802e-003"
"","  42.0386e-11","2.4862e-001","9.5842e-007","3.9802e-001","-1.3747e-003"
"","  43.0162e-11","2.4862e-001","9.7124e-007","4.1470e-001","-8.8825e-004"
"","  43.9939e-11","2.4862e-001","9.7406e-007","4.3152e-001","-3.9422e-004"
"","  44.9715e-11","2.4862e-001","9.8183e-007","4.4869e-001","9.8330e-005"
"","  45.9491e-11","2.4862e-001","9.8605e-007","4.6640e-001","5.9751e-004"
"","  46.9268e-11","2.4862e-001","9.8429e-007","4.8554e-001","1.1602e-003"
"","  47.9044e-11","2.4862e-001","9.8997e-007","5.0562e-001","1.6660e-003"
"","  48.8821e-11","2.4868e-001","9.8827e-007","5.2595e-001","2.1620e-003"
"","  49.8597e-11","2.4942e-001","9.8984e-007","5.4688e-001","2.6655e-003"
"","  50.8374e-11","2.4977e-001","9.9191e-007","5.6789e-001","3.1118e-003"
"","  51.8150e-11","2.4991e-001","9.8975e-007","5.8865e-001","3.5462e-003"
"","  52.7926e-11","2.5000e-001","-4.6226e-006","6.0937e-001","3.9248e-003"
"","  53.7703e-11","2.5012e-001","-2.3813e-005","6.3008e-001","4.3398e-003"
"","  54.7479e-11","2.5016e-001","-2.8661e-005","6.5085e-001","4.7580e-003"
