"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:48:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.R8 (at pin)"
"Probe 2: U15.C13 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4847e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4847e-001","1.5043e-007","2.4275e-001","-9.7683e-003"
"","   1.9551e-11","2.4847e-001","2.7978e-007","2.4275e-001","-9.7715e-003"
"","   2.9326e-11","2.4847e-001","3.8903e-007","2.4275e-001","-9.7744e-003"
"","   3.9101e-11","2.4847e-001","4.8010e-007","2.4275e-001","-9.7769e-003"
"","   4.8876e-11","2.4848e-001","5.5805e-007","2.4275e-001","-9.7792e-003"
"","   5.8652e-11","2.4848e-001","6.2392e-007","2.4275e-001","-9.7812e-003"
"","   6.8427e-11","2.4849e-001","7.0739e-007","2.4275e-001","-9.7739e-003"
"","   7.8202e-11","2.4849e-001","8.0543e-007","2.4275e-001","-9.7600e-003"
"","   8.7977e-11","2.4850e-001","8.7386e-007","2.4515e-001","-9.7462e-003"
"","   9.7753e-11","2.4850e-001","9.1774e-007","2.4537e-001","-9.7307e-003"
"","  10.7528e-11","2.4851e-001","9.5602e-007","2.4524e-001","-9.7020e-003"
"","  11.7303e-11","2.4851e-001","9.8376e-007","2.4513e-001","-9.6704e-003"
"","  12.7078e-11","2.4852e-001","1.0028e-006","2.4503e-001","-9.6332e-003"
"","  13.6854e-11","2.4852e-001","9.7148e-007","2.4493e-001","-9.5774e-003"
"","  14.6629e-11","2.4851e-001","9.4237e-007","2.4486e-001","-9.5211e-003"
"","  15.6404e-11","2.4851e-001","9.1815e-007","2.4566e-001","-9.4651e-003"
"","  16.6179e-11","2.4851e-001","9.4191e-007","2.4619e-001","-9.4013e-003"
"","  17.5955e-11","2.4851e-001","1.0157e-006","2.4672e-001","-9.3420e-003"
"","  18.5730e-11","2.4851e-001","1.0676e-006","2.4730e-001","-9.2735e-003"
"","  19.5505e-11","2.4851e-001","1.0928e-006","2.4842e-001","-9.1977e-003"
"","  20.5280e-11","2.4851e-001","1.1064e-006","2.4966e-001","-9.0649e-003"
