"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:49:39 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.R9 (at pin)"
"Probe 2: U15.A13 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4850e-001",DC,"2.4275e-001",DC
"","   0.9779e-11","2.4850e-001","1.6169e-007","2.4275e-001","-9.7677e-003"
"","   1.9557e-11","2.4850e-001","2.9843e-007","2.4275e-001","-9.7709e-003"
"","   2.9336e-11","2.4850e-001","4.1245e-007","2.4275e-001","-9.7737e-003"
"","   3.9114e-11","2.4850e-001","5.0729e-007","2.4275e-001","-9.7763e-003"
"","   4.8893e-11","2.4851e-001","5.8533e-007","2.4275e-001","-9.7786e-003"
"","   5.8672e-11","2.4851e-001","6.5160e-007","2.4275e-001","-9.7807e-003"
"","   6.8450e-11","2.4852e-001","7.0683e-007","2.4275e-001","-9.7724e-003"
"","   7.8229e-11","2.4853e-001","7.5076e-007","2.4275e-001","-9.7585e-003"
"","   8.8007e-11","2.4853e-001","8.2610e-007","2.4548e-001","-9.7447e-003"
"","   9.7786e-11","2.4853e-001","8.9223e-007","2.4534e-001","-9.7290e-003"
"","  10.7565e-11","2.4854e-001","9.3623e-007","2.4522e-001","-9.6995e-003"
"","  11.7343e-11","2.4854e-001","9.7160e-007","2.4510e-001","-9.6680e-003"
"","  12.7122e-11","2.4855e-001","9.9496e-007","2.4500e-001","-9.6301e-003"
"","  13.6900e-11","2.4855e-001","1.0121e-006","2.4491e-001","-9.5740e-003"
"","  14.6679e-11","2.4855e-001","1.0164e-006","2.4495e-001","-9.5177e-003"
"","  15.6458e-11","2.4855e-001","9.6383e-007","2.4579e-001","-9.4615e-003"
"","  16.6236e-11","2.4855e-001","9.2887e-007","2.4632e-001","-9.3970e-003"
"","  17.6015e-11","2.4855e-001","9.0932e-007","2.4684e-001","-9.3407e-003"
"","  18.5793e-11","2.4855e-001","9.3754e-007","2.4751e-001","-9.2687e-003"
"","  19.5572e-11","2.4854e-001","1.0196e-006","2.4871e-001","-9.1909e-003"
"","  20.5350e-11","2.4854e-001","1.0748e-006","2.4995e-001","-9.0551e-003"
"","  21.5129e-11","2.4854e-001","1.1084e-006","2.5161e-001","-8.9074e-003"
"","  22.4908e-11","2.4854e-001","1.1333e-006","2.5397e-001","-8.7464e-003"
"","  23.4686e-11","2.4854e-001","1.1365e-006","2.5632e-001","-8.5600e-003"
"","  24.4465e-11","2.4854e-001","1.1367e-006","2.5868e-001","-8.3713e-003"
"","  25.4243e-11","2.4854e-001","1.1440e-006","2.6153e-001","-8.1698e-003"
"","  26.4022e-11","2.4854e-001","1.1500e-006","2.6434e-001","-7.9608e-003"
"","  27.3801e-11","2.4854e-001","1.1774e-006","2.6744e-001","-7.7459e-003"
"","  28.3579e-11","2.4854e-001","1.1810e-006","2.7122e-001","-7.5304e-003"
"","  29.3358e-11","2.4854e-001","1.1693e-006","2.7726e-001","-7.2345e-003"
"","  30.3136e-11","2.4854e-001","1.1594e-006","2.8357e-001","-6.9119e-003"
"","  31.2915e-11","2.4854e-001","1.1394e-006","2.9072e-001","-6.5838e-003"
"","  32.2694e-11","2.4854e-001","1.1141e-006","2.9885e-001","-6.1807e-003"
"","  33.2472e-11","2.4853e-001","1.0705e-006","3.0743e-001","-5.7690e-003"
"","  34.2251e-11","2.4853e-001","1.0253e-006","3.1606e-001","-5.3729e-003"
"","  35.2029e-11","2.4853e-001","1.0040e-006","3.2539e-001","-4.9673e-003"
"","  36.1808e-11","2.4853e-001","9.9290e-007","3.3515e-001","-4.5367e-003"
"","  37.1587e-11","2.4853e-001","1.0056e-006","3.4530e-001","-4.1308e-003"
"","  38.1365e-11","2.4853e-001","1.0178e-006","3.5918e-001","-3.6921e-003"
"","  39.1144e-11","2.4853e-001","1.0182e-006","3.7372e-001","-3.2219e-003"
"","  40.0922e-11","2.4853e-001","1.0076e-006","3.8906e-001","-2.7675e-003"
"","  41.0701e-11","2.4853e-001","9.9833e-007","4.0742e-001","-2.2887e-003"
"","  42.0480e-11","2.4853e-001","9.7930e-007","4.2584e-001","-1.8097e-003"
"","  43.0258e-11","2.4853e-001","9.7387e-007","4.4376e-001","-1.3327e-003"
"","  44.0037e-11","2.4853e-001","9.7621e-007","4.6286e-001","-8.7866e-004"
"","  44.9815e-11","2.4853e-001","9.8127e-007","4.8312e-001","-4.3421e-004"
"","  45.9594e-11","2.4853e-001","9.8572e-007","5.0261e-001","5.0080e-006"
"","  46.9373e-11","2.4853e-001","9.7937e-007","5.2478e-001","4.0868e-004"
"","  47.9151e-11","2.4853e-001","9.7280e-007","5.4793e-001","8.1791e-004"
"","  48.8930e-11","2.4918e-001","9.6551e-007","5.7068e-001","1.2168e-003"
"","  49.8708e-11","2.4981e-001","9.5161e-007","5.9448e-001","1.5963e-003"
"","  50.8487e-11","2.4986e-001","9.3938e-007","6.1857e-001","1.9747e-003"
"","  51.8265e-11","2.4987e-001","9.2161e-007","6.4250e-001","2.3505e-003"
"","  52.8044e-11","2.4998e-001","-5.8475e-006","6.6597e-001","2.6811e-003"
"","  53.7823e-11","2.4996e-001","-3.2504e-005","6.8983e-001","2.9880e-003"
"","  54.7601e-11","2.4995e-001","-2.8376e-005","7.1345e-001","3.3025e-003"
"","  55.7380e-11","2.5007e-001","-2.4016e-005","7.3662e-001","3.5632e-003"
"","  56.7158e-11","2.5026e-001","-2.1986e-005","7.6010e-001","3.7941e-003"
"","  57.6937e-11","2.4990e-001","-1.8714e-005","7.8336e-001","4.0339e-003"
"","  58.6716e-11","2.5049e-001","-1.4879e-005","8.0612e-001","4.2616e-003"
"","  59.6494e-11","2.5127e-001","-1.4449e-005","8.2889e-001","4.4415e-003"
"","  60.6273e-11","2.5216e-001","-1.9795e-005","8.5135e-001","4.6036e-003"
"","  61.6051e-11","2.5314e-001","-2.8670e-005","8.7253e-001","4.7488e-003"
"","  62.5830e-11","2.5452e-001","-3.0523e-005","8.9345e-001","4.8857e-003"
"","  63.5609e-11","2.5578e-001","-3.7054e-005","9.1451e-001","5.0342e-003"
"","  64.5387e-11","2.5711e-001","-4.9065e-005","9.3400e-001","5.1638e-003"
"","  65.5166e-11","2.5857e-001","-6.1228e-005","9.5283e-001","5.2747e-003"
"","  66.4944e-11","2.6032e-001","-8.2039e-005","9.7190e-001","5.3919e-003"
"","  67.4723e-11","2.6256e-001","-1.0137e-004","9.9026e-001","5.5156e-003"
"","  68.4502e-11","2.6428e-001","-1.1999e-004","1.0068e+000","5.6208e-003"
"","  69.4280e-11","2.6703e-001","-1.4339e-004","1.0226e+000","5.7093e-003"
"","  70.4059e-11","2.7017e-001","-1.6592e-004","1.0378e+000","5.8104e-003"
"","  71.3837e-11","2.7369e-001","-1.9686e-004","1.0529e+000","5.8760e-003"
"","  72.3616e-11","2.7817e-001","-2.1502e-004","1.0683e+000","5.9175e-003"
"","  73.3395e-11","2.8286e-001","-2.5159e-004","1.0829e+000","5.9577e-003"
"","  74.3173e-11","2.8799e-001","-3.0135e-004","1.0968e+000","5.9785e-003"
"","  75.2952e-11","2.9341e-001","-3.5010e-004","1.1107e+000","5.9863e-003"
"","  76.2730e-11","2.9932e-001","-4.0970e-004","1.1245e+000","5.9964e-003"
