"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:53:42 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A10 (at pin)"
"Probe 2: U15.M6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4861e-001",DC,"2.4274e-001",DC
"","   0.9778e-11","2.4861e-001","1.5418e-007","2.4274e-001","-9.7565e-003"
"","   1.9556e-11","2.4861e-001","2.8590e-007","2.4274e-001","-9.7601e-003"
"","   2.9334e-11","2.4861e-001","3.9658e-007","2.4274e-001","-9.7634e-003"
"","   3.9112e-11","2.4862e-001","4.8865e-007","2.4274e-001","-9.7663e-003"
"","   4.8891e-11","2.4862e-001","5.6735e-007","2.4274e-001","-9.7690e-003"
"","   5.8669e-11","2.4863e-001","6.3245e-007","2.4274e-001","-9.7713e-003"
"","   6.8447e-11","2.4863e-001","6.1981e-007","2.4274e-001","-9.7634e-003"
"","   7.8225e-11","2.4864e-001","7.1992e-007","2.4274e-001","-9.7498e-003"
"","   8.8003e-11","2.4864e-001","7.9954e-007","2.4429e-001","-9.7361e-003"
"","   9.7781e-11","2.4864e-001","9.3294e-007","2.4537e-001","-9.7203e-003"
"","  10.7559e-11","2.4864e-001","9.7020e-007","2.4522e-001","-9.6913e-003"
"","  11.7337e-11","2.4864e-001","1.0626e-006","2.4509e-001","-9.6600e-003"
"","  12.7115e-11","2.4864e-001","1.1255e-006","2.4497e-001","-9.6217e-003"
"","  13.6893e-11","2.4864e-001","1.1606e-006","2.4404e-001","-9.5663e-003"
"","  14.6672e-11","2.4865e-001","1.1901e-006","2.4467e-001","-9.5102e-003"
"","  15.6450e-11","2.4865e-001","1.2142e-006","2.4501e-001","-9.4544e-003"
"","  16.6228e-11","2.4864e-001","1.2166e-006","2.4557e-001","-9.3898e-003"
"","  17.6006e-11","2.4864e-001","1.2120e-006","2.4610e-001","-9.3215e-003"
"","  18.5784e-11","2.4864e-001","1.2264e-006","2.4670e-001","-9.2629e-003"
"","  19.5562e-11","2.4864e-001","1.2206e-006","2.4776e-001","-9.1841e-003"
"","  20.5340e-11","2.4864e-001","1.2194e-006","2.4886e-001","-9.0493e-003"
"","  21.5118e-11","2.4864e-001","1.1924e-006","2.5021e-001","-8.9016e-003"
"","  22.4896e-11","2.4864e-001","1.1756e-006","2.5237e-001","-8.6845e-003"
"","  23.4675e-11","2.4864e-001","1.1477e-006","2.5455e-001","-8.5329e-003"
"","  24.4453e-11","2.4863e-001","1.1223e-006","2.5664e-001","-8.3394e-003"
"","  25.4231e-11","2.4863e-001","1.0964e-006","2.5910e-001","-8.1420e-003"
"","  26.4009e-11","2.4863e-001","1.0730e-006","2.6176e-001","-7.9353e-003"
"","  27.3787e-11","2.4863e-001","1.0421e-006","2.6417e-001","-7.7216e-003"
"","  28.3565e-11","2.4863e-001","1.0173e-006","2.6707e-001","-7.5088e-003"
"","  29.3343e-11","2.4863e-001","9.9729e-007","2.7211e-001","-7.2059e-003"
"","  30.3121e-11","2.4863e-001","9.7595e-007","2.7788e-001","-6.8770e-003"
"","  31.2899e-11","2.4863e-001","9.5984e-007","2.8486e-001","-6.5436e-003"
"","  32.2678e-11","2.4863e-001","9.4205e-007","2.9209e-001","-6.1350e-003"
"","  33.2456e-11","2.4863e-001","9.2916e-007","2.9973e-001","-5.7113e-003"
"","  34.2234e-11","2.4863e-001","9.1794e-007","3.0710e-001","-5.3030e-003"
"","  35.2012e-11","2.4863e-001","9.1203e-007","3.1521e-001","-4.8820e-003"
"","  36.1790e-11","2.4863e-001","9.0774e-007","3.2336e-001","-4.4307e-003"
"","  37.1568e-11","2.4863e-001","9.0677e-007","3.3181e-001","-4.0016e-003"
"","  38.1346e-11","2.4863e-001","9.0527e-007","3.4307e-001","-3.5389e-003"
"","  39.1124e-11","2.4863e-001","9.0745e-007","3.5635e-001","-3.0470e-003"
"","  40.0902e-11","2.4863e-001","9.1127e-007","3.6951e-001","-2.5698e-003"
