"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:40:33 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.B4 (at pin)"
"Probe 2: U15.L4 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4830e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4830e-001","1.5822e-007","2.4275e-001","-9.7617e-003"
"","   1.9553e-11","2.4830e-001","2.9327e-007","2.4275e-001","-9.7652e-003"
"","   2.9329e-11","2.4830e-001","4.0591e-007","2.4275e-001","-9.7682e-003"
"","   3.9106e-11","2.4830e-001","5.0004e-007","2.4275e-001","-9.7710e-003"
"","   4.8882e-11","2.4830e-001","5.7782e-007","2.4275e-001","-9.7735e-003"
"","   5.8658e-11","2.4831e-001","6.4269e-007","2.4275e-001","-9.7756e-003"
"","   6.8435e-11","2.4832e-001","7.0437e-007","2.4275e-001","-9.7683e-003"
"","   7.8211e-11","2.4832e-001","7.4849e-007","2.4275e-001","-9.7545e-003"
"","   8.7988e-11","2.4832e-001","8.1648e-007","2.4380e-001","-9.7408e-003"
"","   9.7764e-11","2.4832e-001","8.9877e-007","2.4479e-001","-9.7254e-003"
"","  10.7541e-11","2.4832e-001","9.7964e-007","2.4507e-001","-9.6963e-003"
"","  11.7317e-11","2.4833e-001","1.0972e-006","2.4510e-001","-9.6650e-003"
"","  12.7093e-11","2.4833e-001","1.1729e-006","2.4504e-001","-9.6273e-003"
"","  13.6870e-11","2.4833e-001","1.2163e-006","2.4496e-001","-9.5716e-003"
"","  14.6646e-11","2.4833e-001","1.2297e-006","2.4488e-001","-9.5155e-003"
"","  15.6423e-11","2.4833e-001","1.2141e-006","2.4500e-001","-9.4597e-003"
"","  16.6199e-11","2.4833e-001","1.1964e-006","2.4538e-001","-9.3958e-003"
"","  17.5975e-11","2.4833e-001","1.1929e-006","2.4586e-001","-9.2632e-003"
"","  18.5752e-11","2.4833e-001","1.1806e-006","2.4644e-001","-9.2465e-003"
"","  19.5528e-11","2.4833e-001","1.1861e-006","2.4733e-001","-9.1905e-003"
"","  20.5305e-11","2.4833e-001","1.1863e-006","2.4846e-001","-9.0619e-003"
"","  21.5081e-11","2.4833e-001","1.1888e-006","2.4980e-001","-8.9164e-003"
"","  22.4858e-11","2.4833e-001","1.1794e-006","2.5166e-001","-8.7581e-003"
"","  23.4634e-11","2.4833e-001","1.1436e-006","2.5377e-001","-8.5539e-003"
"","  24.4410e-11","2.4833e-001","1.1024e-006","2.5596e-001","-8.3378e-003"
"","  25.4187e-11","2.4833e-001","1.0591e-006","2.5836e-001","-8.1318e-003"
"","  26.3963e-11","2.4832e-001","1.0217e-006","2.6170e-001","-7.9240e-003"
