"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:54:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A2 (at pin)"
"Probe 2: U15.P5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4859e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4859e-001","1.4133e-007","2.4275e-001","-9.7659e-003"
"","   1.9553e-11","2.4859e-001","2.6460e-007","2.4275e-001","-9.7692e-003"
"","   2.9329e-11","2.4859e-001","3.6956e-007","2.4275e-001","-9.7721e-003"
"","   3.9106e-11","2.4859e-001","4.5919e-007","2.4275e-001","-9.7748e-003"
"","   4.8882e-11","2.4859e-001","5.3558e-007","2.4275e-001","-9.7771e-003"
"","   5.8658e-11","2.4859e-001","5.9962e-007","2.4275e-001","-9.7791e-003"
"","   6.8435e-11","2.4860e-001","6.5603e-007","2.4275e-001","-9.7717e-003"
"","   7.8211e-11","2.4860e-001","7.1089e-007","2.4275e-001","-9.7579e-003"
"","   8.7988e-11","2.4860e-001","7.5059e-007","2.4380e-001","-9.7441e-003"
"","   9.7764e-11","2.4861e-001","7.8524e-007","2.4479e-001","-9.7286e-003"
"","  10.7541e-11","2.4861e-001","8.8256e-007","2.4508e-001","-9.6994e-003"
"","  11.7317e-11","2.4861e-001","9.5712e-007","2.4512e-001","-9.6680e-003"
"","  12.7093e-11","2.4861e-001","1.0602e-006","2.4507e-001","-9.6302e-003"
"","  13.6870e-11","2.4861e-001","1.1535e-006","2.4499e-001","-9.5746e-003"
"","  14.6646e-11","2.4861e-001","1.2157e-006","2.4491e-001","-9.5183e-003"
"","  15.6423e-11","2.4862e-001","1.2521e-006","2.4504e-001","-9.4625e-003"
"","  16.6199e-11","2.4862e-001","1.2674e-006","2.4542e-001","-9.3986e-003"
"","  17.5975e-11","2.4862e-001","1.2720e-006","2.4591e-001","-9.2658e-003"
"","  18.5752e-11","2.4862e-001","1.2684e-006","2.4649e-001","-9.2490e-003"
"","  19.5528e-11","2.4862e-001","1.2622e-006","2.4738e-001","-9.1929e-003"
"","  20.5305e-11","2.4862e-001","1.2641e-006","2.4851e-001","-9.0644e-003"
"","  21.5081e-11","2.4862e-001","1.2542e-006","2.4986e-001","-8.9188e-003"
"","  22.4858e-11","2.4862e-001","1.2589e-006","2.5173e-001","-8.7606e-003"
"","  23.4634e-11","2.4862e-001","1.2530e-006","2.5383e-001","-8.5563e-003"
"","  24.4410e-11","2.4862e-001","1.2365e-006","2.5603e-001","-8.3402e-003"
"","  25.4187e-11","2.4862e-001","1.2137e-006","2.5843e-001","-8.1342e-003"
"","  26.3963e-11","2.4861e-001","1.1773e-006","2.6177e-001","-7.9263e-003"
"","  27.3740e-11","2.4861e-001","1.1344e-006","2.6424e-001","-7.7063e-003"
"","  28.3516e-11","2.4861e-001","1.0906e-006","2.6683e-001","-7.4796e-003"
"","  29.3292e-11","2.4861e-001","1.0502e-006","2.7086e-001","-7.1850e-003"
"","  30.3069e-11","2.4861e-001","1.0172e-006","2.7606e-001","-6.8450e-003"
"","  31.2845e-11","2.4861e-001","9.8713e-007","2.8194e-001","-6.4990e-003"
"","  32.2622e-11","2.4861e-001","9.6708e-007","2.8914e-001","-6.0896e-003"
"","  33.2398e-11","2.4861e-001","9.4596e-007","2.9709e-001","-5.6744e-003"
"","  34.2175e-11","2.4861e-001","9.2787e-007","3.0521e-001","-5.2576e-003"
"","  35.1951e-11","2.4861e-001","9.1165e-007","3.1347e-001","-4.8414e-003"
"","  36.1727e-11","2.4861e-001","8.9214e-007","3.2202e-001","-4.4213e-003"
"","  37.1504e-11","2.4861e-001","8.7616e-007","3.3083e-001","-3.9662e-003"
"","  38.1280e-11","2.4860e-001","8.6155e-007","3.4130e-001","-3.4405e-003"
"","  39.1057e-11","2.4860e-001","8.5108e-007","3.5359e-001","-2.9283e-003"
"","  40.0833e-11","2.4860e-001","8.4736e-007","3.6685e-001","-2.4160e-003"
"","  41.0609e-11","2.4860e-001","8.4830e-007","3.8194e-001","-1.8826e-003"
"","  42.0386e-11","2.4860e-001","8.5549e-007","3.9818e-001","-1.3769e-003"
"","  43.0162e-11","2.4860e-001","8.6423e-007","4.1487e-001","-8.9044e-004"
"","  43.9939e-11","2.4861e-001","8.7580e-007","4.3169e-001","-3.9636e-004"
"","  44.9715e-11","2.4861e-001","8.8789e-007","4.4886e-001","9.6230e-005"
"","  45.9491e-11","2.4861e-001","8.9781e-007","4.6658e-001","5.9545e-004"
"","  46.9268e-11","2.4861e-001","9.0740e-007","4.8572e-001","1.1582e-003"
"","  47.9044e-11","2.4861e-001","9.1678e-007","5.0580e-001","1.6640e-003"
"","  48.8821e-11","2.4875e-001","9.2797e-007","5.2614e-001","2.1600e-003"
"","  49.8597e-11","2.4952e-001","9.4077e-007","5.4708e-001","2.6636e-003"
"","  50.8374e-11","2.4988e-001","9.5381e-007","5.6809e-001","3.1099e-003"
"","  51.8150e-11","2.5001e-001","9.6818e-007","5.8885e-001","3.5442e-003"
"","  52.7926e-11","2.5007e-001","9.8163e-007","6.0957e-001","3.9229e-003"
"","  53.7703e-11","2.5012e-001","-2.7678e-006","6.3028e-001","4.3379e-003"
"","  54.7479e-11","2.5013e-001","-2.1169e-005","6.5106e-001","4.7561e-003"
