"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:41:15 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.B8 (at pin)"
"Probe 2: U15.K6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4852e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4852e-001","1.6135e-007","2.4275e-001","-9.7578e-003"
"","   1.9553e-11","2.4852e-001","2.9852e-007","2.4275e-001","-9.7614e-003"
"","   2.9329e-11","2.4852e-001","4.1247e-007","2.4274e-001","-9.7646e-003"
"","   3.9106e-11","2.4852e-001","5.0744e-007","2.4274e-001","-9.7675e-003"
"","   4.8882e-11","2.4852e-001","5.8539e-007","2.4274e-001","-9.7701e-003"
"","   5.8658e-11","2.4853e-001","6.5054e-007","2.4274e-001","-9.7723e-003"
"","   6.8435e-11","2.4854e-001","7.0094e-007","2.4274e-001","-9.7651e-003"
"","   7.8211e-11","2.4854e-001","7.4690e-007","2.4274e-001","-9.7515e-003"
"","   8.7988e-11","2.4854e-001","8.6170e-007","2.4380e-001","-9.7378e-003"
"","   9.7764e-11","2.4854e-001","9.2986e-007","2.4478e-001","-9.7225e-003"
"","  10.7541e-11","2.4854e-001","9.8597e-007","2.4505e-001","-9.6935e-003"
"","  11.7317e-11","2.4855e-001","9.9861e-007","2.4508e-001","-9.6621e-003"
"","  12.7093e-11","2.4855e-001","1.1029e-006","2.4502e-001","-9.6245e-003"
"","  13.6870e-11","2.4855e-001","1.1735e-006","2.4493e-001","-9.5689e-003"
"","  14.6646e-11","2.4855e-001","1.2062e-006","2.4484e-001","-9.5128e-003"
"","  15.6423e-11","2.4855e-001","1.2145e-006","2.4496e-001","-9.4571e-003"
"","  16.6199e-11","2.4855e-001","1.1987e-006","2.4534e-001","-9.3933e-003"
"","  17.5975e-11","2.4856e-001","1.1893e-006","2.4582e-001","-9.2607e-003"
"","  18.5752e-11","2.4856e-001","1.1819e-006","2.4639e-001","-9.2442e-003"
"","  19.5528e-11","2.4855e-001","1.1678e-006","2.4728e-001","-9.1882e-003"
"","  20.5305e-11","2.4855e-001","1.1596e-006","2.4841e-001","-9.0596e-003"
"","  21.5081e-11","2.4855e-001","1.1683e-006","2.4975e-001","-8.9141e-003"
"","  22.4858e-11","2.4855e-001","1.1576e-006","2.5161e-001","-8.7558e-003"
"","  23.4634e-11","2.4855e-001","1.1479e-006","2.5371e-001","-8.5516e-003"
"","  24.4410e-11","2.4855e-001","1.1283e-006","2.5590e-001","-8.3356e-003"
"","  25.4187e-11","2.4855e-001","1.0962e-006","2.5830e-001","-8.1296e-003"
"","  26.3963e-11","2.4855e-001","1.0663e-006","2.6164e-001","-7.9218e-003"
"","  27.3740e-11","2.4855e-001","1.0300e-006","2.6410e-001","-7.7019e-003"
"","  28.3516e-11","2.4855e-001","9.9986e-007","2.6668e-001","-7.4752e-003"
"","  29.3292e-11","2.4854e-001","9.8567e-007","2.7072e-001","-7.1808e-003"
"","  30.3069e-11","2.4854e-001","9.7610e-007","2.7591e-001","-6.8409e-003"
"","  31.2845e-11","2.4854e-001","9.7144e-007","2.8179e-001","-6.4951e-003"
"","  32.2622e-11","2.4854e-001","9.6056e-007","2.8899e-001","-6.0858e-003"
"","  33.2398e-11","2.4854e-001","9.5580e-007","2.9693e-001","-5.6707e-003"
"","  34.2175e-11","2.4854e-001","9.4390e-007","3.0505e-001","-5.2540e-003"
"","  35.1951e-11","2.4854e-001","9.3337e-007","3.1330e-001","-4.8380e-003"
"","  36.1727e-11","2.4854e-001","9.2207e-007","3.2185e-001","-4.4180e-003"
"","  37.1504e-11","2.4854e-001","9.1185e-007","3.3065e-001","-3.9629e-003"
"","  38.1280e-11","2.4854e-001","9.1033e-007","3.4112e-001","-3.4372e-003"
"","  39.1057e-11","2.4854e-001","9.1247e-007","3.5340e-001","-2.9252e-003"
"","  40.0833e-11","2.4854e-001","9.1990e-007","3.6666e-001","-2.4130e-003"
"","  41.0609e-11","2.4854e-001","9.2882e-007","3.8174e-001","-1.8797e-003"
"","  42.0386e-11","2.4854e-001","9.3889e-007","3.9798e-001","-1.3741e-003"
"","  43.0162e-11","2.4854e-001","9.4426e-007","4.1466e-001","-8.8769e-004"
"","  43.9939e-11","2.4854e-001","9.4829e-007","4.3147e-001","-3.9368e-004"
"","  44.9715e-11","2.4854e-001","9.5163e-007","4.4864e-001","9.8863e-005"
"","  45.9491e-11","2.4854e-001","9.5297e-007","4.6636e-001","5.9803e-004"
"","  46.9268e-11","2.4854e-001","9.5909e-007","4.8550e-001","1.1607e-003"
"","  47.9044e-11","2.4854e-001","9.6283e-007","5.0557e-001","1.6665e-003"
"","  48.8821e-11","2.4906e-001","9.6964e-007","5.2590e-001","2.1625e-003"
"","  49.8597e-11","2.4957e-001","9.7867e-007","5.4683e-001","2.6660e-003"
"","  50.8374e-11","2.4982e-001","9.8588e-007","5.6784e-001","3.1123e-003"
"","  51.8150e-11","2.4989e-001","9.9295e-007","5.8860e-001","3.5467e-003"
"","  52.7926e-11","2.5001e-001","-5.8725e-007","6.0931e-001","3.9253e-003"
"","  53.7703e-11","2.5009e-001","-2.0454e-005","6.3002e-001","4.3403e-003"
"","  54.7479e-11","2.5012e-001","-2.7762e-005","6.5080e-001","4.7585e-003"
"","  55.7256e-11","2.5022e-001","-2.7387e-005","6.7226e-001","5.1893e-003"
