"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:41:41 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.C5 (at pin)"
"Probe 2: U15.R6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4807e-001",DC,"2.4274e-001",DC
"","   0.9776e-11","2.4807e-001","1.3262e-007","2.4274e-001","-9.7542e-003"
"","   1.9553e-11","2.4807e-001","2.4961e-007","2.4274e-001","-9.7580e-003"
"","   2.9329e-11","2.4807e-001","3.5028e-007","2.4274e-001","-9.7613e-003"
"","   3.9106e-11","2.4807e-001","4.3713e-007","2.4274e-001","-9.7643e-003"
"","   4.8882e-11","2.4807e-001","5.1194e-007","2.4274e-001","-9.7670e-003"
"","   5.8658e-11","2.4808e-001","5.7535e-007","2.4274e-001","-9.7693e-003"
"","   6.8435e-11","2.4808e-001","6.2972e-007","2.4274e-001","-9.7622e-003"
"","   7.8211e-11","2.4809e-001","6.7402e-007","2.4274e-001","-9.7486e-003"
"","   8.7988e-11","2.4809e-001","6.9323e-007","2.4380e-001","-9.7350e-003"
"","   9.7764e-11","2.4809e-001","6.9466e-007","2.4477e-001","-9.7198e-003"
"","  10.7541e-11","2.4809e-001","8.0587e-007","2.4504e-001","-9.6908e-003"
"","  11.7317e-11","2.4809e-001","8.9879e-007","2.4507e-001","-9.6595e-003"
"","  12.7093e-11","2.4810e-001","1.0135e-006","2.4500e-001","-9.6219e-003"
"","  13.6870e-11","2.4810e-001","1.1148e-006","2.4491e-001","-9.5664e-003"
"","  14.6646e-11","2.4810e-001","1.1848e-006","2.4481e-001","-9.5103e-003"
"","  15.6423e-11","2.4810e-001","1.2750e-006","2.4493e-001","-9.4547e-003"
"","  16.6199e-11","2.4810e-001","1.2799e-006","2.4530e-001","-9.3909e-003"
"","  17.5975e-11","2.4811e-001","1.2696e-006","2.4578e-001","-9.2585e-003"
"","  18.5752e-11","2.4811e-001","1.2542e-006","2.4635e-001","-9.2421e-003"
"","  19.5528e-11","2.4811e-001","1.2352e-006","2.4724e-001","-9.1861e-003"
"","  20.5305e-11","2.4811e-001","1.2490e-006","2.4836e-001","-9.0575e-003"
"","  21.5081e-11","2.4811e-001","1.2404e-006","2.4970e-001","-8.9120e-003"
"","  22.4858e-11","2.4811e-001","1.2652e-006","2.5156e-001","-8.7538e-003"
"","  23.4634e-11","2.4810e-001","1.2709e-006","2.5366e-001","-8.5495e-003"
"","  24.4410e-11","2.4810e-001","1.2588e-006","2.5585e-001","-8.3335e-003"
"","  25.4187e-11","2.4810e-001","1.2533e-006","2.5825e-001","-8.1276e-003"
"","  26.3963e-11","2.4810e-001","1.2023e-006","2.6158e-001","-7.9198e-003"
"","  27.3740e-11","2.4810e-001","1.1558e-006","2.6404e-001","-7.6999e-003"
"","  28.3516e-11","2.4810e-001","1.1068e-006","2.6662e-001","-7.4733e-003"
"","  29.3292e-11","2.4810e-001","1.0649e-006","2.7065e-001","-7.1789e-003"
"","  30.3069e-11","2.4810e-001","1.0430e-006","2.7584e-001","-6.8391e-003"
"","  31.2845e-11","2.4809e-001","1.0148e-006","2.8172e-001","-6.4933e-003"
"","  32.2622e-11","2.4809e-001","1.0128e-006","2.8892e-001","-6.0841e-003"
"","  33.2398e-11","2.4809e-001","9.9821e-007","2.9686e-001","-5.6691e-003"
"","  34.2175e-11","2.4809e-001","9.8512e-007","3.0497e-001","-5.2524e-003"
"","  35.1951e-11","2.4809e-001","9.7356e-007","3.1323e-001","-4.8365e-003"
"","  36.1727e-11","2.4809e-001","9.4410e-007","3.2177e-001","-4.4165e-003"
"","  37.1504e-11","2.4809e-001","9.2584e-007","3.3058e-001","-3.9614e-003"
"","  38.1280e-11","2.4809e-001","8.9825e-007","3.4104e-001","-3.4358e-003"
"","  39.1057e-11","2.4809e-001","8.8401e-007","3.5332e-001","-2.9238e-003"
"","  40.0833e-11","2.4809e-001","8.8558e-007","3.6657e-001","-2.4117e-003"
"","  41.0609e-11","2.4809e-001","8.8309e-007","3.8165e-001","-1.8784e-003"
"","  42.0386e-11","2.4809e-001","8.9936e-007","3.9789e-001","-1.3729e-003"
"","  43.0162e-11","2.4809e-001","9.0788e-007","4.1457e-001","-8.8648e-004"
"","  43.9939e-11","2.4809e-001","9.1879e-007","4.3139e-001","-3.9250e-004"
"","  44.9715e-11","2.4809e-001","9.2643e-007","4.4855e-001","1.0002e-004"
"","  45.9491e-11","2.4875e-001","9.2342e-007","4.6627e-001","5.9917e-004"
"","  46.9268e-11","2.4927e-001","9.2620e-007","4.8540e-001","1.1618e-003"
"","  47.9044e-11","2.4949e-001","9.2264e-007","5.0547e-001","1.6675e-003"
"","  48.8821e-11","2.4954e-001","9.2827e-007","5.2580e-001","2.1635e-003"
"","  49.8597e-11","2.4966e-001","9.3738e-007","5.4673e-001","2.6670e-003"
"","  50.8374e-11","2.4973e-001","-1.4824e-005","5.6774e-001","3.1132e-003"
"","  51.8150e-11","2.4976e-001","-2.4932e-005","5.8849e-001","3.5475e-003"
"","  52.7926e-11","2.4988e-001","-2.6445e-005","6.0921e-001","3.9260e-003"
