"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:43:17 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.N5 (at pin)"
"Probe 2: U15.D11 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4784e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4784e-001","1.5255e-007","2.4275e-001","-9.7582e-003"
"","   1.9553e-11","2.4784e-001","2.8371e-007","2.4275e-001","-9.7618e-003"
"","   2.9329e-11","2.4784e-001","3.9389e-007","2.4274e-001","-9.7650e-003"
"","   3.9106e-11","2.4784e-001","4.8671e-007","2.4274e-001","-9.7679e-003"
"","   4.8882e-11","2.4784e-001","5.6477e-007","2.4274e-001","-9.7705e-003"
"","   5.8658e-11","2.4785e-001","6.2932e-007","2.4274e-001","-9.7726e-003"
"","   6.8435e-11","2.4785e-001","6.8288e-007","2.4274e-001","-9.7654e-003"
"","   7.8211e-11","2.4786e-001","7.2323e-007","2.4274e-001","-9.7518e-003"
"","   8.7988e-11","2.4786e-001","7.4486e-007","2.4380e-001","-9.7381e-003"
"","   9.7764e-11","2.4786e-001","7.5185e-007","2.4478e-001","-9.7228e-003"
"","  10.7541e-11","2.4786e-001","8.5005e-007","2.4506e-001","-9.6938e-003"
"","  11.7317e-11","2.4786e-001","9.2767e-007","2.4508e-001","-9.6624e-003"
"","  12.7093e-11","2.4787e-001","1.0378e-006","2.4502e-001","-9.6248e-003"
"","  13.6870e-11","2.4787e-001","1.1342e-006","2.4493e-001","-9.5692e-003"
"","  14.6646e-11","2.4787e-001","1.1964e-006","2.4485e-001","-9.5131e-003"
"","  15.6423e-11","2.4787e-001","1.2672e-006","2.4497e-001","-9.4573e-003"
"","  16.6199e-11","2.4787e-001","1.2617e-006","2.4534e-001","-9.3935e-003"
"","  17.5975e-11","2.4788e-001","1.2411e-006","2.4583e-001","-9.2610e-003"
"","  18.5752e-11","2.4788e-001","1.2190e-006","2.4640e-001","-9.2445e-003"
"","  19.5528e-11","2.4788e-001","1.1962e-006","2.4729e-001","-9.1884e-003"
"","  20.5305e-11","2.4788e-001","1.1974e-006","2.4841e-001","-9.0599e-003"
"","  21.5081e-11","2.4788e-001","1.1811e-006","2.4976e-001","-8.9143e-003"
"","  22.4858e-11","2.4787e-001","1.1980e-006","2.5162e-001","-8.7561e-003"
"","  23.4634e-11","2.4787e-001","1.1962e-006","2.5372e-001","-8.5519e-003"
"","  24.4410e-11","2.4787e-001","1.1831e-006","2.5591e-001","-8.3358e-003"
"","  25.4187e-11","2.4787e-001","1.1742e-006","2.5831e-001","-8.1298e-003"
"","  26.3963e-11","2.4787e-001","1.1275e-006","2.6164e-001","-7.9220e-003"
"","  27.3740e-11","2.4787e-001","1.0858e-006","2.6411e-001","-7.7021e-003"
"","  28.3516e-11","2.4787e-001","1.0420e-006","2.6669e-001","-7.4754e-003"
"","  29.3292e-11","2.4787e-001","1.0063e-006","2.7072e-001","-7.1810e-003"
"","  30.3069e-11","2.4787e-001","9.9310e-007","2.7592e-001","-6.8411e-003"
"","  31.2845e-11","2.4786e-001","9.7723e-007","2.8180e-001","-6.4953e-003"
"","  32.2622e-11","2.4786e-001","9.8013e-007","2.8900e-001","-6.0860e-003"
"","  33.2398e-11","2.4786e-001","9.7339e-007","2.9694e-001","-5.6709e-003"
"","  34.2175e-11","2.4786e-001","9.6871e-007","3.0505e-001","-5.2541e-003"
"","  35.1951e-11","2.4786e-001","9.6319e-007","3.1331e-001","-4.8382e-003"
"","  36.1727e-11","2.4786e-001","9.4520e-007","3.2186e-001","-4.4182e-003"
"","  37.1504e-11","2.4786e-001","9.3646e-007","3.3066e-001","-3.9631e-003"
"","  38.1280e-11","2.4786e-001","9.1816e-007","3.4113e-001","-3.4374e-003"
"","  39.1057e-11","2.4786e-001","9.1151e-007","3.5341e-001","-2.9254e-003"
"","  40.0833e-11","2.4786e-001","9.1727e-007","3.6667e-001","-2.4132e-003"
"","  41.0609e-11","2.4786e-001","9.2008e-007","3.8175e-001","-1.8798e-003"
"","  42.0386e-11","2.4786e-001","9.4058e-007","3.9800e-001","-1.3742e-003"
"","  43.0162e-11","2.4786e-001","9.5189e-007","4.1468e-001","-8.8783e-004"
"","  43.9939e-11","2.4813e-001","9.6067e-007","4.3150e-001","-3.9382e-004"
"","  44.9715e-11","2.4885e-001","9.6663e-007","4.4867e-001","9.8723e-005"
"","  45.9491e-11","2.4917e-001","9.6299e-007","4.6638e-001","5.9788e-004"
"","  46.9268e-11","2.4926e-001","9.6421e-007","4.8552e-001","1.1605e-003"
"","  47.9044e-11","2.4935e-001","9.6053e-007","5.0559e-001","1.6663e-003"
"","  48.8821e-11","2.4945e-001","-6.6512e-006","5.2593e-001","2.1623e-003"
"","  49.8597e-11","2.4948e-001","-2.4454e-005","5.4686e-001","2.6658e-003"
"","  50.8374e-11","2.4955e-001","-2.8985e-005","5.6786e-001","3.1119e-003"
"","  51.8150e-11","2.4974e-001","-2.6672e-005","5.8862e-001","3.5461e-003"
"","  52.7926e-11","2.5000e-001","-2.4745e-005","6.0934e-001","3.9246e-003"
"","  53.7703e-11","2.5014e-001","-2.3354e-005","6.3004e-001","4.3396e-003"
"","  54.7479e-11","2.5027e-001","-2.0300e-005","6.5082e-001","4.7578e-003"
"","  55.7256e-11","2.5096e-001","-1.8720e-005","6.7227e-001","5.1886e-003"
"","  56.7032e-11","2.5211e-001","-2.0751e-005","6.9344e-001","5.5359e-003"
"","  57.6808e-11","2.5338e-001","-2.4440e-005","7.1429e-001","5.8864e-003"
"","  58.6585e-11","2.5480e-001","-3.0349e-005","7.3504e-001","6.2260e-003"
"","  59.6361e-11","2.5636e-001","-4.1000e-005","7.5503e-001","6.5016e-003"
"","  60.6138e-11","2.5798e-001","-5.2340e-005","7.7443e-001","6.7506e-003"
"","  61.5914e-11","2.6002e-001","-6.8356e-005","7.9290e-001","6.9954e-003"
"","  62.5690e-11","2.6195e-001","-8.5876e-005","8.1130e-001","7.2462e-003"
"","  63.5467e-11","2.6381e-001","-1.0508e-004","8.2972e-001","7.5237e-003"
"","  64.5243e-11","2.6623e-001","-1.2404e-004","8.4815e-001","7.7770e-003"
"","  65.5020e-11","2.6957e-001","-1.4319e-004","8.6541e-001","7.9812e-003"
"","  66.4796e-11","2.7333e-001","-1.7396e-004","8.8209e-001","8.2209e-003"
"","  67.4573e-11","2.7781e-001","-1.9755e-004","8.9836e-001","8.4319e-003"
"","  68.4349e-11","2.8307e-001","-2.1673e-004","9.1338e-001","8.6241e-003"
"","  69.4125e-11","2.8881e-001","-2.5072e-004","9.2712e-001","8.8047e-003"
"","  70.3902e-11","2.9485e-001","-3.0293e-004","9.4016e-001","8.9983e-003"
"","  71.3678e-11","3.0106e-001","-3.5978e-004","9.5306e-001","9.1691e-003"
"","  72.3455e-11","3.0783e-001","-4.2588e-004","9.6630e-001","9.3290e-003"
"","  73.3231e-11","3.1555e-001","-5.0090e-004","9.7932e-001","9.4355e-003"
"","  74.3007e-11","3.2420e-001","-5.7358e-004","9.9149e-001","9.5118e-003"
"","  75.2784e-11","3.3322e-001","-6.4014e-004","1.0037e+000","9.6148e-003"
"","  76.2560e-11","3.4343e-001","-7.0664e-004","1.0156e+000","9.6874e-003"
"","  77.2337e-11","3.5487e-001","-7.6691e-004","1.0270e+000","9.7275e-003"
"","  78.2113e-11","3.6707e-001","-8.3670e-004","1.0377e+000","9.7885e-003"
"","  79.1890e-11","3.8014e-001","-9.2854e-004","1.0483e+000","9.8653e-003"
"","  80.1666e-11","3.9401e-001","-1.0247e-003","1.0584e+000","9.9674e-003"
"","  81.1442e-11","4.0858e-001","-1.1326e-003","1.0676e+000","1.0085e-002"
"","  82.1219e-11","4.2414e-001","-1.2549e-003","1.0759e+000","1.0153e-002"
"","  83.0995e-11","4.4047e-001","-1.3744e-003","1.0830e+000","1.0220e-002"
"","  84.0772e-11","4.5682e-001","-1.4840e-003","1.0899e+000","1.0308e-002"
"","  85.0548e-11","4.7382e-001","-1.5826e-003","1.0962e+000","1.0367e-002"
"","  86.0324e-11","4.9153e-001","-1.6730e-003","1.1017e+000","1.0411e-002"
"","  87.0101e-11","5.0946e-001","-1.7610e-003","1.1069e+000","1.0463e-002"
"","  87.9877e-11","5.2797e-001","-1.8540e-003","1.1122e+000","1.0544e-002"
"","  88.9654e-11","5.4734e-001","-1.9379e-003","1.1178e+000","1.0559e-002"
"","  89.9430e-11","5.6724e-001","-2.0155e-003","1.1235e+000","1.0583e-002"
"","  90.9207e-11","5.8779e-001","-2.0930e-003","1.1289e+000","1.0581e-002"
"","  91.8983e-11","6.0850e-001","-2.1583e-003","1.1339e+000","1.0602e-002"
"","  92.8759e-11","6.2902e-001","-2.2075e-003","1.1388e+000","1.0631e-002"
"","  93.8536e-11","6.4997e-001","-2.2451e-003","1.1433e+000","1.0643e-002"
"","  94.8312e-11","6.7113e-001","-2.2659e-003","1.1474e+000","1.0668e-002"
"","  95.8089e-11","6.9213e-001","-2.2783e-003","1.1512e+000","1.0716e-002"
"","  96.7865e-11","7.1308e-001","-2.2774e-003","1.1553e+000","1.0770e-002"
"","  97.7641e-11","7.3434e-001","-2.2614e-003","1.1585e+000","1.0833e-002"
