"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:44:28 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.N7 (at pin)"
"Probe 2: U15.F6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4788e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4788e-001","1.5372e-007","2.4275e-001","-9.7792e-003"
"","   1.9552e-11","2.4788e-001","2.8555e-007","2.4275e-001","-9.7820e-003"
"","   2.9328e-11","2.4788e-001","3.9663e-007","2.4275e-001","-9.7844e-003"
"","   3.9104e-11","2.4788e-001","4.9016e-007","2.4275e-001","-9.7866e-003"
"","   4.8880e-11","2.4788e-001","5.6826e-007","2.4275e-001","-9.7886e-003"
"","   5.8656e-11","2.4789e-001","6.3297e-007","2.4275e-001","-9.7903e-003"
"","   6.8433e-11","2.4790e-001","6.8851e-007","2.4275e-001","-9.7818e-003"
"","   7.8209e-11","2.4790e-001","7.3512e-007","2.4275e-001","-9.7676e-003"
"","   8.7985e-11","2.4791e-001","7.7278e-007","2.4370e-001","-9.7535e-003"
"","   9.7761e-11","2.4791e-001","8.1388e-007","2.4456e-001","-9.7370e-003"
"","  10.7537e-11","2.4791e-001","8.8859e-007","2.4493e-001","-9.7069e-003"
"","  11.7313e-11","2.4792e-001","9.4501e-007","2.4507e-001","-9.6753e-003"
"","  12.7089e-11","2.4792e-001","9.8606e-007","2.4509e-001","-9.6353e-003"
"","  13.6865e-11","2.4793e-001","1.0152e-006","2.4507e-001","-9.5794e-003"
"","  14.6641e-11","2.4793e-001","1.0243e-006","2.4502e-001","-9.5231e-003"
"","  15.6417e-11","2.4793e-001","1.0337e-006","2.4515e-001","-9.4671e-003"
"","  16.6193e-11","2.4794e-001","1.0240e-006","2.4549e-001","-9.4020e-003"
"","  17.5969e-11","2.4794e-001","9.7635e-007","2.4594e-001","-9.2557e-003"
"","  18.5745e-11","2.4794e-001","9.4247e-007","2.4650e-001","-9.2368e-003"
"","  19.5522e-11","2.4794e-001","9.2041e-007","2.4735e-001","-9.1829e-003"
"","  20.5298e-11","2.4794e-001","9.1136e-007","2.4837e-001","-9.0576e-003"
"","  21.5074e-11","2.4794e-001","9.0481e-007","2.4965e-001","-8.9154e-003"
"","  22.4850e-11","2.4794e-001","9.0049e-007","2.5140e-001","-8.7547e-003"
"","  23.4626e-11","2.4793e-001","8.9559e-007","2.5343e-001","-8.5521e-003"
