"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 02:44:55 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.P4 (at pin)"
"Probe 2: U15.D12 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4837e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4837e-001","1.5224e-007","2.4275e-001","-9.7615e-003"
"","   1.9552e-11","2.4837e-001","2.8284e-007","2.4275e-001","-9.7649e-003"
"","   2.9328e-11","2.4837e-001","3.9271e-007","2.4275e-001","-9.7680e-003"
"","   3.9104e-11","2.4838e-001","4.8543e-007","2.4275e-001","-9.7708e-003"
"","   4.8880e-11","2.4838e-001","5.6167e-007","2.4275e-001","-9.7733e-003"
"","   5.8656e-11","2.4839e-001","6.2507e-007","2.4275e-001","-9.7755e-003"
"","   6.8432e-11","2.4839e-001","6.8128e-007","2.4275e-001","-9.7691e-003"
"","   7.8208e-11","2.4839e-001","5.8716e-007","2.4275e-001","-9.7554e-003"
"","   8.7983e-11","2.4839e-001","6.9673e-007","2.4334e-001","-9.7416e-003"
"","   9.7759e-11","2.4840e-001","8.3393e-007","2.4449e-001","-9.7268e-003"
"","  10.7535e-11","2.4840e-001","1.0843e-006","2.4492e-001","-9.6985e-003"
"","  11.7311e-11","2.4840e-001","1.1569e-006","2.4504e-001","-9.6671e-003"
"","  12.7087e-11","2.4840e-001","1.2333e-006","2.4503e-001","-9.6309e-003"
"","  13.6863e-11","2.4841e-001","1.2613e-006","2.4497e-001","-9.5760e-003"
"","  14.6639e-11","2.4841e-001","1.2485e-006","2.4489e-001","-9.5197e-003"
"","  15.6415e-11","2.4841e-001","1.2351e-006","2.4493e-001","-9.4639e-003"
"","  16.6191e-11","2.4841e-001","1.1984e-006","2.4524e-001","-9.4009e-003"
"","  17.5967e-11","2.4841e-001","1.1820e-006","2.4569e-001","-9.2375e-003"
"","  18.5743e-11","2.4841e-001","1.2535e-006","2.4620e-001","-9.2346e-003"
"","  19.5519e-11","2.4841e-001","1.2691e-006","2.4698e-001","-9.1900e-003"
"","  20.5295e-11","2.4841e-001","1.2760e-006","2.4803e-001","-9.0718e-003"
"","  21.5071e-11","2.4841e-001","1.2433e-006","2.4926e-001","-8.9287e-003"
"","  22.4847e-11","2.4841e-001","1.2056e-006","2.5095e-001","-8.7746e-003"
"","  23.4623e-11","2.4841e-001","1.1373e-006","2.5295e-001","-8.5735e-003"
"","  24.4398e-11","2.4840e-001","1.0610e-006","2.5509e-001","-8.3556e-003"
"","  25.4174e-11","2.4840e-001","1.0225e-006","2.5739e-001","-8.1449e-003"
"","  26.3950e-11","2.4840e-001","1.0069e-006","2.6059e-001","-7.9359e-003"
"","  27.3726e-11","2.4840e-001","9.9392e-007","2.6335e-001","-7.7166e-003"
"","  28.3502e-11","2.4840e-001","1.0074e-006","2.6579e-001","-7.4875e-003"
"","  29.3278e-11","2.4840e-001","9.9969e-007","2.6925e-001","-7.1954e-003"
"","  30.3054e-11","2.4840e-001","9.7579e-007","2.7400e-001","-6.8559e-003"
"","  31.2830e-11","2.4840e-001","9.4238e-007","2.7949e-001","-6.5048e-003"
"","  32.2606e-11","2.4840e-001","9.0864e-007","2.8617e-001","-6.0956e-003"
"","  33.2382e-11","2.4840e-001","8.8224e-007","2.9383e-001","-5.6791e-003"
"","  34.2158e-11","2.4839e-001","8.7005e-007","3.0187e-001","-5.2601e-003"
"","  35.1934e-11","2.4839e-001","8.7867e-007","3.1006e-001","-4.8084e-003"
"","  36.1710e-11","2.4839e-001","8.9657e-007","3.1852e-001","-4.4227e-003"
