"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 08 February 2008   Time: 06:26:27 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A4 (at pin)"
"Probe 2: U15.M5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.1444e-001",DC,"2.0825e-001",DC
"","   0.9775e-11","2.1444e-001","3.1758e-008","2.0825e-001","-1.0198e-002"
"","   1.9551e-11","2.1444e-001","6.0218e-008","2.0825e-001","-1.0065e-002"
"","   2.9326e-11","2.1444e-001","8.3932e-008","2.0959e-001","-9.9399e-003"
"","   3.9102e-11","2.1443e-001","1.0282e-007","2.1832e-001","-9.8082e-003"
"","   4.8877e-11","2.1443e-001","1.1810e-007","2.2239e-001","-9.5990e-003"
"","   5.8653e-11","2.1444e-001","1.3117e-007","2.2277e-001","-9.4234e-003"
"","   6.8428e-11","2.1444e-001","3.8083e-007","2.2777e-001","-9.3176e-003"
"","   7.8204e-11","2.1444e-001","3.7608e-007","2.3469e-001","-9.0459e-003"
"","   8.7979e-11","2.1444e-001","1.8235e-007","2.4117e-001","-8.5001e-003"
"","   9.7755e-11","2.1445e-001","1.6923e-007","2.4604e-001","-8.3030e-003"
"","  10.7530e-11","2.1445e-001","1.8749e-007","2.5577e-001","-7.8475e-003"
"","  11.7306e-11","2.1444e-001","2.1518e-007","2.7000e-001","-7.3429e-003"
"","  12.7081e-11","2.1444e-001","2.3073e-007","2.7697e-001","-6.6833e-003"
"","  13.6857e-11","2.1444e-001","2.7901e-007","2.9199e-001","-5.9548e-003"
"","  14.6632e-11","2.1444e-001","2.1121e-007","3.1169e-001","-5.2909e-003"
"","  15.6408e-11","2.1445e-001","2.6103e-007","3.3185e-001","-4.4648e-003"
"","  16.6183e-11","2.1445e-001","2.0453e-007","3.5606e-001","-3.8346e-003"
"","  17.5959e-11","2.1444e-001","2.0228e-007","3.7986e-001","-3.4907e-003"
"","  18.5734e-11","2.1444e-001","1.9588e-007","4.0361e-001","-2.8897e-003"
"","  19.5510e-11","2.1444e-001","2.1383e-007","4.2521e-001","-2.4512e-003"
"","  20.5285e-11","2.1444e-001","2.2275e-007","4.4189e-001","-1.6848e-003"
"","  21.5061e-11","2.1444e-001","2.6042e-007","4.6608e-001","-8.0489e-004"
"","  22.4836e-11","2.1444e-001","2.3174e-007","4.8844e-001","-4.0999e-005"
"","  23.4612e-11","2.1444e-001","1.9341e-007","5.1855e-001","7.8342e-004"
"","  24.4387e-11","2.1444e-001","1.9728e-007","5.5144e-001","1.2725e-003"
"","  25.4163e-11","2.1444e-001","1.8692e-007","5.7896e-001","1.7469e-003"
"","  26.3938e-11","2.1444e-001","2.0506e-007","6.0575e-001","2.2803e-003"
"","  27.3714e-11","2.1444e-001","2.0091e-007","6.3054e-001","2.6876e-003"
"","  28.3489e-11","2.1444e-001","2.1427e-007","6.5456e-001","3.4649e-003"
"","  29.3265e-11","2.1444e-001","1.9833e-007","6.8281e-001","4.2012e-003"
"","  30.3040e-11","2.1444e-001","2.0739e-007","7.0777e-001","4.8071e-003"
"","  31.2816e-11","2.1444e-001","1.8489e-007","7.3772e-001","5.3627e-003"
"","  32.2591e-11","2.1444e-001","1.9168e-007","7.6691e-001","5.6574e-003"
"","  33.2367e-11","2.1444e-001","1.9199e-007","7.9194e-001","6.1092e-003"
"","  34.2142e-11","2.1444e-001","2.0207e-007","8.1508e-001","6.5441e-003"
"","  35.1918e-11","2.1444e-001","2.0748e-007","8.3659e-001","6.9340e-003"
"","  36.1693e-11","2.1444e-001","2.1402e-007","8.6063e-001","7.5407e-003"
"","  37.1469e-11","2.1444e-001","2.0682e-007","8.8657e-001","8.0488e-003"
"","  38.1244e-11","2.1444e-001","1.9827e-007","9.0841e-001","8.4510e-003"
"","  39.1020e-11","2.1444e-001","2.0278e-007","9.3388e-001","8.7376e-003"
"","  40.0795e-11","2.1444e-001","2.0115e-007","9.5652e-001","8.8686e-003"
"","  41.0571e-11","2.1444e-001","2.1024e-007","9.7559e-001","9.1913e-003"
"","  42.0346e-11","2.1444e-001","2.0794e-007","9.9280e-001","9.4217e-003"
"","  43.0122e-11","2.1444e-001","2.1339e-007","1.0087e+000","9.6394e-003"
"","  43.9897e-11","2.1446e-001","2.0773e-007","1.0269e+000","9.9486e-003"
"","  44.9673e-11","2.1610e-001","2.0982e-007","1.0443e+000","1.0167e-002"
"","  45.9448e-11","2.1882e-001","2.0327e-007","1.0581e+000","1.0330e-002"
"","  46.9224e-11","2.2180e-001","6.4571e-008","1.0736e+000","1.0402e-002"
