"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:43:51 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.B7 (at pin)"
"Probe 2: U15.F5 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4831e-001",DC,"2.4275e-001",DC
"","   0.9777e-11","2.4831e-001","1.5091e-007","2.4275e-001","-9.7628e-003"
"","   1.9554e-11","2.4831e-001","2.8254e-007","2.4275e-001","-9.7662e-003"
"","   2.9330e-11","2.4831e-001","3.9153e-007","2.4275e-001","-9.7692e-003"
"","   3.9107e-11","2.4831e-001","4.8450e-007","2.4275e-001","-9.7719e-003"
"","   4.8884e-11","2.4831e-001","5.6114e-007","2.4275e-001","-9.7744e-003"
"","   5.8661e-11","2.4832e-001","6.2763e-007","2.4275e-001","-9.7763e-003"
"","   6.8437e-11","2.4833e-001","6.8221e-007","2.4275e-001","-9.7672e-003"
"","   7.8214e-11","2.4833e-001","7.3492e-007","2.4275e-001","-9.7535e-003"
"","   8.7991e-11","2.4834e-001","8.2537e-007","2.4446e-001","-9.7397e-003"
"","   9.7768e-11","2.4834e-001","8.9158e-007","2.4540e-001","-9.7233e-003"
"","  10.7544e-11","2.4834e-001","9.3548e-007","2.4526e-001","-9.6934e-003"
"","  11.7321e-11","2.4834e-001","9.6969e-007","2.4513e-001","-9.6620e-003"
"","  12.7098e-11","2.4834e-001","9.9749e-007","2.4502e-001","-9.6224e-003"
"","  13.6875e-11","2.4834e-001","1.0676e-006","2.4484e-001","-9.5671e-003"
"","  14.6651e-11","2.4834e-001","1.1250e-006","2.4470e-001","-9.5108e-003"
"","  15.6428e-11","2.4834e-001","1.1639e-006","2.4508e-001","-9.4541e-003"
"","  16.6205e-11","2.4834e-001","1.1918e-006","2.4564e-001","-9.3881e-003"
"","  17.5982e-11","2.4834e-001","1.2036e-006","2.4619e-001","-9.3217e-003"
"","  18.5758e-11","2.4834e-001","1.2102e-006","2.4678e-001","-9.2616e-003"
"","  19.5535e-11","2.4834e-001","1.2133e-006","2.4789e-001","-9.1796e-003"
"","  20.5312e-11","2.4834e-001","1.2100e-006","2.4913e-001","-9.0435e-003"
"","  21.5089e-11","2.4834e-001","1.2156e-006","2.5052e-001","-8.8958e-003"
"","  22.4865e-11","2.4834e-001","1.2079e-006","2.5267e-001","-8.7316e-003"
"","  23.4642e-11","2.4834e-001","1.1904e-006","2.5492e-001","-8.5152e-003"
"","  24.4419e-11","2.4833e-001","1.1679e-006","2.5712e-001","-8.3259e-003"
"","  25.4196e-11","2.4833e-001","1.1430e-006","2.5964e-001","-8.1274e-003"
"","  26.3972e-11","2.4833e-001","1.1274e-006","2.6250e-001","-7.9202e-003"
"","  27.3749e-11","2.4833e-001","1.1096e-006","2.6496e-001","-7.7067e-003"
"","  28.3526e-11","2.4833e-001","1.0865e-006","2.6779e-001","-7.4965e-003"
"","  29.3303e-11","2.4833e-001","1.0644e-006","2.7299e-001","-7.1935e-003"
"","  30.3079e-11","2.4833e-001","1.0388e-006","2.7890e-001","-6.8649e-003"
"","  31.2856e-11","2.4833e-001","1.0154e-006","2.8517e-001","-6.5243e-003"
"","  32.2633e-11","2.4833e-001","9.9520e-007","2.9349e-001","-6.1183e-003"
"","  33.2410e-11","2.4833e-001","9.7589e-007","3.0125e-001","-5.7012e-003"
"","  34.2186e-11","2.4833e-001","9.6288e-007","3.0910e-001","-5.2924e-003"
"","  35.1963e-11","2.4833e-001","9.4848e-007","3.1725e-001","-4.8728e-003"
"","  36.1740e-11","2.4833e-001","9.3427e-007","3.2586e-001","-4.4276e-003"
"","  37.1517e-11","2.4833e-001","9.2232e-007","3.3422e-001","-3.9974e-003"
"","  38.1293e-11","2.4833e-001","9.1316e-007","3.4551e-001","-3.5316e-003"
"","  39.1070e-11","2.4833e-001","9.0860e-007","3.5880e-001","-3.0458e-003"
"","  40.0847e-11","2.4833e-001","9.0646e-007","3.7226e-001","-2.5643e-003"
"","  41.0624e-11","2.4833e-001","9.0438e-007","3.8842e-001","-2.0717e-003"
"","  42.0400e-11","2.4833e-001","9.0499e-007","4.0543e-001","-1.5702e-003"
"","  43.0177e-11","2.4833e-001","9.0587e-007","4.2195e-001","-1.0653e-003"
"","  43.9954e-11","2.4833e-001","9.0833e-007","4.3858e-001","-5.6103e-004"
"","  44.9731e-11","2.4833e-001","9.1319e-007","4.5671e-001","-6.8890e-005"
"","  45.9507e-11","2.4833e-001","9.2054e-007","4.7417e-001","4.3023e-004"
"","  46.9284e-11","2.4833e-001","9.2787e-007","4.9275e-001","9.1237e-004"
"","  47.9061e-11","2.4833e-001","9.3476e-007","5.1298e-001","1.3775e-003"
"","  48.8838e-11","2.4833e-001","9.4093e-007","5.3300e-001","1.8423e-003"
"","  49.8614e-11","2.4833e-001","9.4843e-007","5.5355e-001","2.2871e-003"
"","  50.8391e-11","2.4833e-001","9.5520e-007","5.7466e-001","2.7218e-003"
"","  51.8168e-11","2.4963e-001","9.6283e-007","5.9569e-001","3.1533e-003"
"","  52.7945e-11","2.4996e-001","9.7033e-007","6.1668e-001","3.5859e-003"
"","  53.7721e-11","2.5005e-001","9.7722e-007","6.3757e-001","3.9872e-003"
"","  54.7498e-11","2.5009e-001","4.6041e-007","6.5843e-001","4.4002e-003"
"","  55.7275e-11","2.5010e-001","-3.3071e-005","6.7919e-001","4.7932e-003"
"","  56.7052e-11","2.4997e-001","-3.5608e-005","6.9954e-001","5.1447e-003"
"","  57.6829e-11","2.4992e-001","-3.2133e-005","7.1986e-001","5.4939e-003"
"","  58.6605e-11","2.5006e-001","-2.7893e-005","7.3986e-001","5.8383e-003"
"","  59.6382e-11","2.4970e-001","-2.3438e-005","7.5946e-001","6.1321e-003"
"","  60.6159e-11","2.5021e-001","-1.5934e-005","7.7883e-001","6.3989e-003"
"","  61.5936e-11","2.5099e-001","-1.2342e-005","7.9811e-001","6.6655e-003"
"","  62.5712e-11","2.5203e-001","-1.6672e-005","8.1665e-001","6.9310e-003"
"","  63.5489e-11","2.5314e-001","-2.6388e-005","8.3526e-001","7.1983e-003"
"","  64.5266e-11","2.5481e-001","-3.1147e-005","8.5365e-001","7.4519e-003"
"","  65.5043e-11","2.5645e-001","-3.8599e-005","8.7042e-001","7.6929e-003"
"","  66.4819e-11","2.5793e-001","-5.1460e-005","8.8709e-001","7.9367e-003"
"","  67.4596e-11","2.5941e-001","-6.4542e-005","9.0365e-001","8.1785e-003"
