"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:44:53 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U63.A5 (at pin)"
"Probe 2: U15.L6 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4844e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4844e-001","1.6008e-007","2.4275e-001","-9.7591e-003"
"","   1.9550e-11","2.4844e-001","2.9661e-007","2.4275e-001","-9.7627e-003"
"","   2.9326e-11","2.4844e-001","4.1150e-007","2.4275e-001","-9.7659e-003"
"","   3.9101e-11","2.4844e-001","5.0640e-007","2.4275e-001","-9.7687e-003"
"","   4.8876e-11","2.4844e-001","5.8491e-007","2.4275e-001","-9.7713e-003"
"","   5.8651e-11","2.4844e-001","6.5029e-007","2.4275e-001","-9.7735e-003"
"","   6.8426e-11","2.4845e-001","7.0550e-007","2.4275e-001","-9.7641e-003"
"","   7.8201e-11","2.4846e-001","7.5058e-007","2.4275e-001","-9.7504e-003"
"","   8.7977e-11","2.4846e-001","7.8865e-007","2.4471e-001","-9.7367e-003"
"","   9.7752e-11","2.4847e-001","8.2778e-007","2.4538e-001","-9.7202e-003"
"","  10.7527e-11","2.4847e-001","8.6630e-007","2.4523e-001","-9.6887e-003"
"","  11.7302e-11","2.4847e-001","9.2671e-007","2.4510e-001","-9.6575e-003"
"","  12.7077e-11","2.4847e-001","9.7377e-007","2.4499e-001","-9.6165e-003"
"","  13.6853e-11","2.4847e-001","1.0032e-006","2.4435e-001","-9.5606e-003"
"","  14.6628e-11","2.4847e-001","1.0245e-006","2.4473e-001","-9.5045e-003"
"","  15.6403e-11","2.4847e-001","1.0822e-006","2.4509e-001","-9.4488e-003"
"","  16.6178e-11","2.4847e-001","1.1388e-006","2.4564e-001","-9.3827e-003"
"","  17.5953e-11","2.4847e-001","1.1729e-006","2.4618e-001","-9.3190e-003"
"","  18.5728e-11","2.4847e-001","1.1917e-006","2.4682e-001","-9.2557e-003"
"","  19.5504e-11","2.4847e-001","1.1990e-006","2.4797e-001","-9.1764e-003"
"","  20.5279e-11","2.4847e-001","1.1965e-006","2.4911e-001","-9.0335e-003"
