"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:59:06 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.P10 (at pin)"
"Probe 2: U15.G21 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4777e-001",DC,"2.4275e-001",DC
"","   0.9777e-11","2.4777e-001","5.8928e-007","2.4275e-001","-9.7718e-003"
"","   1.9554e-11","2.4777e-001","1.0893e-006","2.4275e-001","-9.7748e-003"
"","   2.9331e-11","2.4777e-001","1.5108e-006","2.4275e-001","-9.7775e-003"
"","   3.9108e-11","2.4777e-001","1.8644e-006","2.4275e-001","-9.7800e-003"
"","   4.8885e-11","2.4777e-001","2.1596e-006","2.4275e-001","-9.7822e-003"
"","   5.8662e-11","2.4778e-001","2.4079e-006","2.4275e-001","-9.7833e-003"
"","   6.8439e-11","2.4781e-001","2.6174e-006","2.4275e-001","-9.7749e-003"
"","   7.8216e-11","2.4784e-001","2.7932e-006","2.4275e-001","-9.7610e-003"
"","   8.7993e-11","2.4786e-001","2.9396e-006","2.4450e-001","-9.7471e-003"
"","   9.7770e-11","2.4788e-001","3.1944e-006","2.4540e-001","-9.7308e-003"
"","  10.7547e-11","2.4789e-001","3.2804e-006","2.4528e-001","-9.7015e-003"
"","  11.7324e-11","2.4789e-001","3.4529e-006","2.4517e-001","-9.6700e-003"
"","  12.7101e-11","2.4789e-001","3.5613e-006","2.4507e-001","-9.6302e-003"
"","  13.6878e-11","2.4790e-001","3.7229e-006","2.4428e-001","-9.5749e-003"
"","  14.6655e-11","2.4790e-001","3.8357e-006","2.4483e-001","-9.5185e-003"
"","  15.6432e-11","2.4791e-001","3.9129e-006","2.4519e-001","-9.4626e-003"
"","  16.6209e-11","2.4791e-001","4.1865e-006","2.4575e-001","-9.3970e-003"
"","  17.5986e-11","2.4791e-001","4.3820e-006","2.4629e-001","-9.3308e-003"
