"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:04:05 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.N11 (at pin)"
"Probe 2: U15.F21 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4775e-001",DC,"2.4275e-001",DC
"","   0.9777e-11","2.4775e-001","5.6416e-007","2.4275e-001","-9.7701e-003"
"","   1.9554e-11","2.4775e-001","1.0467e-006","2.4275e-001","-9.7732e-003"
"","   2.9331e-11","2.4775e-001","1.4567e-006","2.4275e-001","-9.7760e-003"
"","   3.9108e-11","2.4775e-001","1.8035e-006","2.4275e-001","-9.7785e-003"
"","   4.8885e-11","2.4775e-001","2.0955e-006","2.4275e-001","-9.7808e-003"
"","   5.8662e-11","2.4776e-001","2.3429e-006","2.4275e-001","-9.7819e-003"
"","   6.8439e-11","2.4779e-001","2.5534e-006","2.4275e-001","-9.7736e-003"
"","   7.8216e-11","2.4781e-001","2.7315e-006","2.4275e-001","-9.7597e-003"
"","   8.7993e-11","2.4783e-001","2.8811e-006","2.4450e-001","-9.7459e-003"
"","   9.7770e-11","2.4785e-001","3.0806e-006","2.4540e-001","-9.7296e-003"
"","  10.7547e-11","2.4786e-001","3.1801e-006","2.4527e-001","-9.7003e-003"
"","  11.7324e-11","2.4787e-001","3.3735e-006","2.4516e-001","-9.6688e-003"
"","  12.7101e-11","2.4787e-001","3.5826e-006","2.4506e-001","-9.6291e-003"
"","  13.6878e-11","2.4787e-001","3.7309e-006","2.4426e-001","-9.5738e-003"
"","  14.6655e-11","2.4788e-001","3.8601e-006","2.4482e-001","-9.5174e-003"
"","  15.6432e-11","2.4788e-001","3.9546e-006","2.4517e-001","-9.4615e-003"
"","  16.6209e-11","2.4788e-001","4.2168e-006","2.4574e-001","-9.3959e-003"
"","  17.5986e-11","2.4789e-001","4.4142e-006","2.4628e-001","-9.3298e-003"
"","  18.5763e-11","2.4789e-001","4.5397e-006","2.4687e-001","-9.2687e-003"
"","  19.5540e-11","2.4789e-001","4.6065e-006","2.4796e-001","-9.1877e-003"
"","  20.5317e-11","2.4789e-001","4.6346e-006","2.4910e-001","-9.0500e-003"
"","  21.5094e-11","2.4789e-001","4.6246e-006","2.5051e-001","-8.9024e-003"
"","  22.4871e-11","2.4789e-001","4.5955e-006","2.5266e-001","-8.6928e-003"
"","  23.4648e-11","2.4789e-001","4.6204e-006","2.5486e-001","-8.5293e-003"
"","  24.4425e-11","2.4789e-001","4.6129e-006","2.5698e-001","-8.3350e-003"
"","  25.4202e-11","2.4788e-001","4.5984e-006","2.5946e-001","-8.1370e-003"
"","  26.3979e-11","2.4788e-001","4.5454e-006","2.6216e-001","-7.9303e-003"
"","  27.3756e-11","2.4787e-001","4.5162e-006","2.6460e-001","-7.7163e-003"
"","  28.3533e-11","2.4787e-001","4.4832e-006","2.6766e-001","-7.4966e-003"
"","  29.3310e-11","2.4786e-001","4.4148e-006","2.7274e-001","-7.1931e-003"
"","  30.3087e-11","2.4786e-001","4.3340e-006","2.7853e-001","-6.8647e-003"
"","  31.2864e-11","2.4786e-001","4.2447e-006","2.8551e-001","-6.5273e-003"
"","  32.2641e-11","2.4785e-001","4.1862e-006","2.9293e-001","-6.1161e-003"
"","  33.2418e-11","2.4785e-001","4.1090e-006","3.0059e-001","-5.6939e-003"
"","  34.2195e-11","2.4784e-001","4.0294e-006","3.0805e-001","-5.2860e-003"
"","  35.1972e-11","2.4784e-001","3.9504e-006","3.1622e-001","-4.8624e-003"
"","  36.1749e-11","2.4784e-001","3.8652e-006","3.2440e-001","-4.4142e-003"
"","  37.1526e-11","2.4783e-001","3.7800e-006","3.3301e-001","-3.9830e-003"
"","  38.1303e-11","2.4783e-001","3.7011e-006","3.4448e-001","-3.5173e-003"
"","  39.1080e-11","2.4783e-001","3.6587e-006","3.5773e-001","-3.0269e-003"
"","  40.0857e-11","2.4783e-001","3.6081e-006","3.7110e-001","-2.5493e-003"
"","  41.0634e-11","2.4783e-001","3.5587e-006","3.8735e-001","-2.0529e-003"
"","  42.0411e-11","2.4782e-001","3.5082e-006","4.0421e-001","-1.5448e-003"
"","  43.0188e-11","2.4782e-001","3.4698e-006","4.1998e-001","-1.0174e-003"
"","  43.9965e-11","2.4782e-001","3.4375e-006","4.3669e-001","-5.1615e-004"
"","  44.9742e-11","2.4782e-001","3.4067e-006","4.5450e-001","-2.2116e-007"
"","  45.9519e-11","2.4782e-001","3.3881e-006","4.7146e-001","4.8795e-004"
"","  46.9296e-11","2.4848e-001","3.3750e-006","4.9024e-001","9.6876e-004"
"","  47.9074e-11","2.4932e-001","3.3744e-006","5.1062e-001","1.4320e-003"
"","  48.8851e-11","2.4955e-001","3.3743e-006","5.3033e-001","1.8990e-003"
"","  49.8628e-11","2.4964e-001","3.3835e-006","5.5086e-001","2.3405e-003"
"","  50.8405e-11","2.4967e-001","3.3986e-006","5.7207e-001","2.7800e-003"
"","  51.8181e-11","2.4965e-001","2.8602e-006","5.9309e-001","3.2520e-003"
"","  52.7959e-11","2.4960e-001","-2.4238e-005","6.1399e-001","3.6780e-003"
"","  53.7736e-11","2.4965e-001","-3.3285e-005","6.3521e-001","4.0883e-003"
"","  54.7513e-11","2.4987e-001","-3.2108e-005","6.5569e-001","4.5258e-003"
"","  55.7290e-11","2.5021e-001","-2.8341e-005","6.7623e-001","4.9123e-003"
"","  56.7067e-11","2.5062e-001","-2.3891e-005","6.9646e-001","5.2513e-003"
"","  57.6844e-11","2.5126e-001","-1.8709e-005","7.1691e-001","5.6090e-003"
"","  58.6621e-11","2.5143e-001","-1.4308e-005","7.3671e-001","5.9514e-003"
"","  59.6398e-11","2.5245e-001","-1.3867e-005","7.5633e-001","6.2388e-003"
"","  60.6175e-11","2.5406e-001","-1.7783e-005","7.7660e-001","6.5267e-003"
"","  61.5952e-11","2.5591e-001","-2.3905e-005","7.9571e-001","6.7877e-003"
"","  62.5729e-11","2.5794e-001","-3.1494e-005","8.1418e-001","7.0448e-003"
"","  63.5506e-11","2.6013e-001","-4.6017e-005","8.3344e-001","7.3212e-003"
"","  64.5283e-11","2.6232e-001","-6.4413e-005","8.5149e-001","7.5745e-003"
"","  65.5060e-11","2.6431e-001","-8.1308e-005","8.6786e-001","7.8150e-003"
"","  66.4837e-11","2.6644e-001","-1.0411e-004","8.8477e-001","8.0475e-003"
"","  67.4614e-11","2.6945e-001","-1.2741e-004","9.0126e-001","8.2910e-003"
"","  68.4391e-11","2.7326e-001","-1.5392e-004","9.1592e-001","8.5061e-003"
"","  69.4168e-11","2.7767e-001","-1.7783e-004","9.3018e-001","8.7023e-003"
"","  70.3945e-11","2.8293e-001","-1.9962e-004","9.4363e-001","8.9004e-003"
"","  71.3722e-11","2.8861e-001","-2.1876e-004","9.5662e-001","9.0701e-003"
"","  72.3499e-11","2.9453e-001","-2.4314e-004","9.7047e-001","9.2005e-003"
"","  73.3276e-11","3.0082e-001","-2.9242e-004","9.8387e-001","9.3326e-003"
"","  74.3053e-11","3.0739e-001","-3.5025e-004","9.9643e-001","9.4551e-003"
"","  75.2830e-11","3.1417e-001","-4.2443e-004","1.0088e+000","9.5457e-003"
"","  76.2607e-11","3.2240e-001","-4.9936e-004","1.0212e+000","9.6365e-003"
"","  77.2384e-11","3.3211e-001","-5.7362e-004","1.0327e+000","9.7331e-003"
"","  78.2161e-11","3.4222e-001","-6.4173e-004","1.0437e+000","9.8030e-003"
"","  79.1938e-11","3.5339e-001","-7.0597e-004","1.0545e+000","9.8695e-003"
"","  80.1715e-11","3.6579e-001","-7.6441e-004","1.0642e+000","9.9644e-003"
"","  81.1492e-11","3.7823e-001","-8.1764e-004","1.0723e+000","1.0045e-002"
"","  82.1269e-11","3.9130e-001","-9.0134e-004","1.0803e+000","1.0110e-002"
"","  83.1046e-11","4.0551e-001","-9.9846e-004","1.0878e+000","1.0179e-002"
"","  84.0823e-11","4.2027e-001","-1.0999e-003","1.0942e+000","1.0241e-002"
"","  85.0600e-11","4.3586e-001","-1.2287e-003","1.1007e+000","1.0309e-002"
"","  86.0377e-11","4.5276e-001","-1.3567e-003","1.1071e+000","1.0377e-002"
"","  87.0154e-11","4.6992e-001","-1.4684e-003","1.1127e+000","1.0427e-002"
"","  87.9931e-11","4.8671e-001","-1.5696e-003","1.1178e+000","1.0478e-002"
"","  88.9708e-11","5.0422e-001","-1.6689e-003","1.1235e+000","1.0528e-002"
"","  89.9485e-11","5.2207e-001","-1.7488e-003","1.1290e+000","1.0585e-002"
"","  90.9262e-11","5.3970e-001","-1.8330e-003","1.1341e+000","1.0625e-002"
"","  91.9039e-11","5.5821e-001","-1.9153e-003","1.1391e+000","1.0653e-002"
