"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:20:10 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.C3 (at pin)"
"Probe 2: U15.F18 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4719e-001",DC,"2.4275e-001",DC
"","   0.9777e-11","2.4719e-001","6.1308e-007","2.4275e-001","-9.7647e-003"
"","   1.9555e-11","2.4719e-001","1.1270e-006","2.4275e-001","-9.7680e-003"
"","   2.9332e-11","2.4719e-001","1.5564e-006","2.4275e-001","-9.7710e-003"
"","   3.9109e-11","2.4719e-001","1.9152e-006","2.4275e-001","-9.7737e-003"
"","   4.8887e-11","2.4720e-001","2.2135e-006","2.4275e-001","-9.7761e-003"
"","   5.8664e-11","2.4723e-001","2.4626e-006","2.4275e-001","-9.7779e-003"
"","   6.8441e-11","2.4726e-001","2.6694e-006","2.4275e-001","-9.7701e-003"
"","   7.8218e-11","2.4728e-001","2.8099e-006","2.4275e-001","-9.7563e-003"
"","   8.7996e-11","2.4729e-001","2.9640e-006","2.4338e-001","-9.7426e-003"
"","   9.7773e-11","2.4730e-001","3.2528e-006","2.4452e-001","-9.7268e-003"
"","  10.7550e-11","2.4730e-001","3.4819e-006","2.4494e-001","-9.6975e-003"
"","  11.7328e-11","2.4731e-001","3.6486e-006","2.4506e-001","-9.6661e-003"
"","  12.7105e-11","2.4731e-001","3.8432e-006","2.4506e-001","-9.6274e-003"
"","  13.6882e-11","2.4731e-001","4.1430e-006","2.4500e-001","-9.5722e-003"
"","  14.6660e-11","2.4732e-001","4.3361e-006","2.4492e-001","-9.5159e-003"
"","  15.6437e-11","2.4733e-001","4.4609e-006","2.4498e-001","-9.4599e-003"
"","  16.6214e-11","2.4733e-001","4.5159e-006","2.4529e-001","-9.3955e-003"
"","  17.5992e-11","2.4733e-001","4.5300e-006","2.4574e-001","-9.2770e-003"
"","  18.5769e-11","2.4733e-001","4.5361e-006","2.4626e-001","-9.2200e-003"
"","  19.5546e-11","2.4733e-001","4.5121e-006","2.4705e-001","-9.1772e-003"
"","  20.5323e-11","2.4733e-001","4.4631e-006","2.4810e-001","-9.0557e-003"
"","  21.5101e-11","2.4733e-001","4.4218e-006","2.4935e-001","-8.9136e-003"
"","  22.4878e-11","2.4732e-001","4.4096e-006","2.5105e-001","-8.7549e-003"
"","  23.4655e-11","2.4732e-001","4.3540e-006","2.5306e-001","-8.5535e-003"
"","  24.4433e-11","2.4731e-001","4.2783e-006","2.5520e-001","-8.3406e-003"
"","  25.4210e-11","2.4731e-001","4.2157e-006","2.5751e-001","-8.1283e-003"
"","  26.3987e-11","2.4730e-001","4.1431e-006","2.6028e-001","-7.9168e-003"
"","  27.3765e-11","2.4730e-001","4.0546e-006","2.6347e-001","-7.6998e-003"
"","  28.3542e-11","2.4729e-001","3.9643e-006","2.6602e-001","-7.4701e-003"
"","  29.3319e-11","2.4729e-001","3.8852e-006","2.6949e-001","-7.1663e-003"
"","  30.3097e-11","2.4729e-001","3.8536e-006","2.7400e-001","-6.8328e-003"
"","  31.2874e-11","2.4728e-001","3.8240e-006","2.7931e-001","-6.4760e-003"
"","  32.2651e-11","2.4728e-001","3.7829e-006","2.8601e-001","-6.0592e-003"
"","  33.2429e-11","2.4728e-001","3.7394e-006","2.9369e-001","-5.6420e-003"
"","  34.2206e-11","2.4727e-001","3.7078e-006","3.0183e-001","-5.2286e-003"
"","  35.1983e-11","2.4727e-001","3.6773e-006","3.1014e-001","-4.7975e-003"
"","  36.1760e-11","2.4727e-001","3.6436e-006","3.1867e-001","-4.3581e-003"
"","  37.1538e-11","2.4727e-001","3.6150e-006","3.2736e-001","-3.9498e-003"
"","  38.1315e-11","2.4727e-001","3.6044e-006","3.3722e-001","-3.4227e-003"
"","  39.1092e-11","2.4727e-001","3.6047e-006","3.4889e-001","-2.8689e-003"
"","  40.0870e-11","2.4729e-001","3.6021e-006","3.6163e-001","-2.3532e-003"
"","  41.0647e-11","2.4761e-001","3.5981e-006","3.7606e-001","-1.7971e-003"
"","  42.0424e-11","2.4806e-001","3.6059e-006","3.9181e-001","-1.2757e-003"
"","  43.0202e-11","2.4843e-001","3.6193e-006","4.0800e-001","-7.8269e-004"
"","  43.9979e-11","2.4869e-001","3.6259e-006","4.2437e-001","-2.9933e-004"
"","  44.9756e-11","2.4882e-001","6.6480e-007","4.4173e-001","1.8822e-004"
"","  45.9534e-11","2.4889e-001","-1.1266e-005","4.5870e-001","6.7609e-004"
"","  46.9311e-11","2.4892e-001","-2.0709e-005","4.7672e-001","1.2280e-003"
"","  47.9088e-11","2.4898e-001","-2.5494e-005","4.9643e-001","1.7722e-003"
"","  48.8865e-11","2.4913e-001","-2.6102e-005","5.1665e-001","2.2718e-003"
"","  49.8643e-11","2.4919e-001","-2.3941e-005","5.3748e-001","2.8058e-003"
"","  50.8420e-11","2.4932e-001","-2.0573e-005","5.5833e-001","3.2852e-003"
"","  51.8197e-11","2.4973e-001","-1.7499e-005","5.7873e-001","3.7163e-003"
"","  52.7975e-11","2.5044e-001","-1.6845e-005","5.9879e-001","4.1331e-003"
"","  53.7752e-11","2.5147e-001","-1.9201e-005","6.1861e-001","4.5608e-003"
"","  54.7529e-11","2.5277e-001","-2.4612e-005","6.3832e-001","4.9427e-003"
"","  55.7307e-11","2.5424e-001","-3.1736e-005","6.5853e-001","5.3907e-003"
"","  56.7084e-11","2.5580e-001","-4.1115e-005","6.7941e-001","5.8148e-003"
"","  57.6861e-11","2.5742e-001","-5.3615e-005","7.0004e-001","6.1574e-003"
"","  58.6639e-11","2.5927e-001","-7.0199e-005","7.2060e-001","6.5106e-003"
"","  59.6416e-11","2.6124e-001","-8.9593e-005","7.4056e-001","6.8058e-003"
"","  60.6193e-11","2.6327e-001","-1.1028e-004","7.5943e-001","7.0670e-003"
"","  61.5970e-11","2.6575e-001","-1.3148e-004","7.7737e-001","7.3190e-003"
"","  62.5748e-11","2.6881e-001","-1.5483e-004","7.9498e-001","7.6012e-003"
"","  63.5525e-11","2.7237e-001","-1.8311e-004","8.1182e-001","7.8905e-003"
"","  64.5302e-11","2.7668e-001","-2.0752e-004","8.2898e-001","8.1895e-003"
"","  65.5080e-11","2.8173e-001","-2.3463e-004","8.4626e-001","8.4533e-003"
"","  66.4857e-11","2.8739e-001","-2.7452e-004","8.6274e-001","8.6778e-003"
"","  67.4634e-11","2.9343e-001","-3.2266e-004","8.7871e-001","8.9238e-003"
"","  68.4412e-11","2.9989e-001","-3.7962e-004","8.9357e-001","9.1398e-003"
"","  69.4189e-11","3.0687e-001","-4.4645e-004","9.0689e-001","9.3373e-003"
"","  70.3966e-11","3.1447e-001","-5.1859e-004","9.1937e-001","9.5531e-003"
"","  71.3744e-11","3.2284e-001","-5.9094e-004","9.3167e-001","9.7745e-003"
"","  72.3521e-11","3.3212e-001","-6.6084e-004","9.4427e-001","9.9372e-003"
"","  73.3298e-11","3.4247e-001","-7.2574e-004","9.5722e-001","1.0128e-002"
"","  74.3075e-11","3.5396e-001","-7.9204e-004","9.7009e-001","1.0259e-002"
"","  75.2853e-11","3.6645e-001","-8.7188e-004","9.8235e-001","1.0335e-002"
"","  76.2630e-11","3.7991e-001","-9.6209e-004","9.9448e-001","1.0419e-002"
"","  77.2407e-11","3.9428e-001","-1.0632e-003","1.0062e+000","1.0483e-002"
"","  78.2185e-11","4.0927e-001","-1.1773e-003","1.0172e+000","1.0548e-002"
"","  79.1962e-11","4.2497e-001","-1.2958e-003","1.0280e+000","1.0623e-002"
"","  80.1739e-11","4.4146e-001","-1.4093e-003","1.0386e+000","1.0751e-002"
"","  81.1517e-11","4.5851e-001","-1.5188e-003","1.0481e+000","1.0885e-002"
"","  82.1294e-11","4.7619e-001","-1.6157e-003","1.0573e+000","1.0990e-002"
"","  83.1071e-11","4.9458e-001","-1.7037e-003","1.0658e+000","1.1050e-002"
"","  84.0849e-11","5.1360e-001","-1.7978e-003","1.0731e+000","1.1087e-002"
"","  85.0626e-11","5.3329e-001","-1.8899e-003","1.0796e+000","1.1149e-002"
"","  86.0403e-11","5.5360e-001","-1.9758e-003","1.0855e+000","1.1191e-002"
"","  87.0181e-11","5.7455e-001","-2.0602e-003","1.0909e+000","1.1221e-002"
"","  87.9958e-11","5.9587e-001","-2.1346e-003","1.0963e+000","1.1277e-002"
"","  88.9735e-11","6.1741e-001","-2.1913e-003","1.1020e+000","1.1324e-002"
"","  89.9512e-11","6.3930e-001","-2.2341e-003","1.1082e+000","1.1299e-002"
"","  90.9290e-11","6.6149e-001","-2.2615e-003","1.1146e+000","1.1314e-002"
"","  91.9067e-11","6.8402e-001","-2.2758e-003","1.1204e+000","1.1291e-002"
"","  92.8844e-11","7.0681e-001","-2.2844e-003","1.1251e+000","1.1252e-002"
"","  93.8622e-11","7.2967e-001","-2.2834e-003","1.1293e+000","1.1246e-002"
"","  94.8399e-11","7.5252e-001","-2.2712e-003","1.1331e+000","1.1254e-002"
"","  95.8176e-11","7.7517e-001","-2.2547e-003","1.1363e+000","1.1274e-002"
"","  96.7954e-11","7.9759e-001","-2.2293e-003","1.1395e+000","1.1300e-002"
"","  97.7731e-11","8.1977e-001","-2.1868e-003","1.1425e+000","1.1352e-002"
"","  98.7508e-11","8.4151e-001","-2.1333e-003","1.1446e+000","1.1387e-002"
