"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:21:02 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.D2 (at pin)"
"Probe 2: U15.D21 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4695e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4695e-001","5.8293e-007","2.4275e-001","-9.7708e-003"
"","   1.9550e-11","2.4695e-001","1.0762e-006","2.4275e-001","-9.7738e-003"
"","   2.9326e-11","2.4695e-001","1.4920e-006","2.4275e-001","-9.7766e-003"
"","   3.9101e-11","2.4695e-001","1.8423e-006","2.4275e-001","-9.7791e-003"
"","   4.8876e-11","2.4695e-001","2.1375e-006","2.4275e-001","-9.7813e-003"
"","   5.8651e-11","2.4695e-001","2.3863e-006","2.4275e-001","-9.7833e-003"
"","   6.8426e-11","2.4697e-001","2.5651e-006","2.4275e-001","-9.7781e-003"
"","   7.8202e-11","2.4699e-001","2.7467e-006","2.4275e-001","-9.7641e-003"
"","   8.7977e-11","2.4701e-001","2.9231e-006","2.4603e-001","-9.7502e-003"
"","   9.7752e-11","2.4702e-001","3.0241e-006","2.4587e-001","-9.7358e-003"
"","  10.7527e-11","2.4703e-001","3.1333e-006","2.4549e-001","-9.7085e-003"
"","  11.7302e-11","2.4704e-001","3.2273e-006","2.4560e-001","-9.6769e-003"
"","  12.7078e-11","2.4704e-001","3.7123e-006","2.4538e-001","-9.6421e-003"
"","  13.6853e-11","2.4705e-001","4.0813e-006","2.4537e-001","-9.5878e-003"
"","  14.6628e-11","2.4706e-001","4.3404e-006","2.4522e-001","-9.5314e-003"
"","  15.6403e-11","2.4707e-001","4.5174e-006","2.4554e-001","-9.4754e-003"
"","  16.6179e-11","2.4707e-001","4.6164e-006","2.4620e-001","-9.4137e-003"
"","  17.5954e-11","2.4708e-001","4.7659e-006","2.4687e-001","-9.3874e-003"
"","  18.5729e-11","2.4709e-001","4.8361e-006","2.4756e-001","-9.3127e-003"
"","  19.5504e-11","2.4710e-001","4.7641e-006","2.4887e-001","-9.2247e-003"
"","  20.5279e-11","2.4710e-001","4.6633e-006","2.5038e-001","-9.1105e-003"
"","  21.5055e-11","2.4711e-001","4.5546e-006","2.5204e-001","-8.9560e-003"
"","  22.4830e-11","2.4710e-001","4.4701e-006","2.5464e-001","-8.8064e-003"
"","  23.4605e-11","2.4710e-001","4.3765e-006","2.5732e-001","-8.6043e-003"
"","  24.4380e-11","2.4710e-001","4.4317e-006","2.5998e-001","-8.4058e-003"
"","  25.4155e-11","2.4710e-001","4.3741e-006","2.6293e-001","-8.2111e-003"
"","  26.3931e-11","2.4710e-001","4.2626e-006","2.6526e-001","-8.0134e-003"
"","  27.3706e-11","2.4710e-001","4.1508e-006","2.6876e-001","-7.8034e-003"
"","  28.3481e-11","2.4709e-001","4.0619e-006","2.7260e-001","-7.6053e-003"
"","  29.3256e-11","2.4708e-001","3.9912e-006","2.7837e-001","-7.3425e-003"
"","  30.3031e-11","2.4708e-001","3.9084e-006","2.8379e-001","-7.0295e-003"
"","  31.2807e-11","2.4707e-001","3.7106e-006","2.9159e-001","-6.7255e-003"
"","  32.2582e-11","2.4706e-001","3.5108e-006","3.0143e-001","-6.3495e-003"
"","  33.2357e-11","2.4706e-001","3.3724e-006","3.1125e-001","-5.9509e-003"
"","  34.2132e-11","2.4705e-001","3.4047e-006","3.2082e-001","-5.5620e-003"
"","  35.1907e-11","2.4705e-001","3.4680e-006","3.3061e-001","-5.1490e-003"
"","  36.1683e-11","2.4704e-001","3.5198e-006","3.4084e-001","-4.7454e-003"
"","  37.1458e-11","2.4704e-001","3.5733e-006","3.5058e-001","-4.3409e-003"
"","  38.1233e-11","2.4703e-001","3.6868e-006","3.6327e-001","-3.9378e-003"
"","  39.1008e-11","2.4703e-001","3.7056e-006","3.7840e-001","-3.4084e-003"
"","  40.0784e-11","2.4714e-001","3.6903e-006","3.9344e-001","-3.0107e-003"
"","  41.0559e-11","2.4735e-001","3.7229e-006","4.1184e-001","-2.6087e-003"
"","  42.0334e-11","2.4759e-001","3.7209e-006","4.3127e-001","-2.1869e-003"
"","  43.0109e-11","2.4779e-001","3.6864e-006","4.5034e-001","-1.7569e-003"
"","  43.9884e-11","2.4793e-001","3.6907e-006","4.7047e-001","-1.3280e-003"
"","  44.9660e-11","2.4803e-001","3.6185e-006","4.8970e-001","-8.9928e-004"
"","  45.9435e-11","2.4815e-001","8.1566e-007","5.0965e-001","-4.5437e-004"
"","  46.9210e-11","2.4836e-001","-4.3519e-006","5.2998e-001","-3.9578e-005"
"","  47.8985e-11","2.4857e-001","-9.3921e-006","5.5467e-001","3.4544e-004"
"","  48.8760e-11","2.4874e-001","-1.2916e-005","5.7604e-001","7.3252e-004"
"","  49.8536e-11","2.4891e-001","-1.4194e-005","5.9778e-001","1.0787e-003"
"","  50.8311e-11","2.4914e-001","-1.4211e-005","6.1927e-001","1.4108e-003"
"","  51.8086e-11","2.4942e-001","-1.4606e-005","6.4047e-001","1.7468e-003"
"","  52.7861e-11","2.4983e-001","-1.7305e-005","6.6240e-001","2.0631e-003"
"","  53.7636e-11","2.5044e-001","-1.9823e-005","6.8359e-001","2.4030e-003"
"","  54.7412e-11","2.5120e-001","-2.0906e-005","7.0557e-001","2.7268e-003"
"","  55.7187e-11","2.5215e-001","-2.1783e-005","7.2706e-001","3.0415e-003"
"","  56.6962e-11","2.5327e-001","-2.3875e-005","7.4808e-001","3.2583e-003"
"","  57.6737e-11","2.5454e-001","-2.9314e-005","7.6908e-001","3.5404e-003"
"","  58.6512e-11","2.5590e-001","-3.8944e-005","7.8905e-001","3.8160e-003"
"","  59.6288e-11","2.5746e-001","-5.1807e-005","8.0706e-001","4.1149e-003"
"","  60.6063e-11","2.5934e-001","-6.5009e-005","8.2463e-001","4.4005e-003"
