"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:22:10 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.F3 (at pin)"
"Probe 2: U15.E21 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4673e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4673e-001","6.3667e-007","2.4275e-001","-9.7762e-003"
"","   1.9553e-11","2.4673e-001","1.1686e-006","2.4275e-001","-9.7791e-003"
"","   2.9329e-11","2.4673e-001","1.6077e-006","2.4275e-001","-9.7816e-003"
"","   3.9106e-11","2.4673e-001","1.9713e-006","2.4275e-001","-9.7839e-003"
"","   4.8882e-11","2.4673e-001","2.2732e-006","2.4275e-001","-9.7860e-003"
"","   5.8658e-11","2.4675e-001","2.5204e-006","2.4275e-001","-9.7877e-003"
"","   6.8435e-11","2.4678e-001","2.7262e-006","2.4275e-001","-9.7801e-003"
"","   7.8211e-11","2.4680e-001","2.9056e-006","2.4275e-001","-9.7660e-003"
"","   8.7988e-11","2.4681e-001","3.0446e-006","2.4381e-001","-9.7520e-003"
"","   9.7764e-11","2.4681e-001","3.1208e-006","2.4481e-001","-9.7363e-003"
"","  10.7541e-11","2.4682e-001","3.2780e-006","2.4511e-001","-9.7070e-003"
"","  11.7317e-11","2.4683e-001","3.5587e-006","2.4516e-001","-9.6754e-003"
"","  12.7093e-11","2.4683e-001","3.7566e-006","2.4513e-001","-9.6375e-003"
"","  13.6870e-11","2.4684e-001","4.1728e-006","2.4506e-001","-9.5817e-003"
"","  14.6646e-11","2.4685e-001","4.4704e-006","2.4499e-001","-9.5253e-003"
"","  15.6423e-11","2.4685e-001","4.6376e-006","2.4513e-001","-9.4694e-003"
"","  16.6199e-11","2.4686e-001","4.7343e-006","2.4552e-001","-9.4054e-003"
"","  17.5975e-11","2.4686e-001","4.6593e-006","2.4602e-001","-9.2722e-003"
"","  18.5752e-11","2.4687e-001","4.5703e-006","2.4661e-001","-9.2551e-003"
"","  19.5528e-11","2.4687e-001","4.4906e-006","2.4751e-001","-9.1989e-003"
"","  20.5305e-11","2.4687e-001","4.4155e-006","2.4865e-001","-9.0704e-003"
"","  21.5081e-11","2.4687e-001","4.3703e-006","2.5000e-001","-8.9248e-003"
"","  22.4858e-11","2.4686e-001","4.3188e-006","2.5187e-001","-8.7666e-003"
"","  23.4634e-11","2.4686e-001","4.2793e-006","2.5399e-001","-8.5623e-003"
"","  24.4410e-11","2.4686e-001","4.2944e-006","2.5618e-001","-8.3461e-003"
"","  25.4187e-11","2.4685e-001","4.2407e-006","2.5859e-001","-8.1400e-003"
"","  26.3963e-11","2.4685e-001","4.2086e-006","2.6194e-001","-7.9321e-003"
"","  27.3740e-11","2.4684e-001","4.1192e-006","2.6442e-001","-7.7119e-003"
"","  28.3516e-11","2.4684e-001","3.9750e-006","2.6701e-001","-7.4851e-003"
"","  29.3292e-11","2.4684e-001","3.8486e-006","2.7105e-001","-7.1904e-003"
"","  30.3069e-11","2.4683e-001","3.6979e-006","2.7625e-001","-6.8502e-003"
"","  31.2845e-11","2.4683e-001","3.6050e-006","2.8214e-001","-6.5041e-003"
"","  32.2622e-11","2.4683e-001","3.6120e-006","2.8934e-001","-6.0945e-003"
"","  33.2398e-11","2.4682e-001","3.6213e-006","2.9730e-001","-5.6792e-003"
"","  34.2175e-11","2.4682e-001","3.6436e-006","3.0542e-001","-5.2621e-003"
"","  35.1951e-11","2.4681e-001","3.6504e-006","3.1370e-001","-4.8456e-003"
"","  36.1727e-11","2.4686e-001","3.6361e-006","3.2227e-001","-4.4255e-003"
"","  37.1504e-11","2.4771e-001","3.6390e-006","3.3109e-001","-3.9704e-003"
"","  38.1280e-11","2.4812e-001","3.6139e-006","3.4158e-001","-3.4445e-003"
"","  39.1057e-11","2.4826e-001","3.5961e-006","3.5389e-001","-2.9323e-003"
"","  40.0833e-11","2.4833e-001","3.5757e-006","3.6716e-001","-2.4199e-003"
"","  41.0609e-11","2.4846e-001","3.5457e-006","3.8227e-001","-1.8863e-003"
"","  42.0386e-11","2.4851e-001","-1.5066e-005","3.9853e-001","-1.3806e-003"
"","  43.0162e-11","2.4856e-001","-2.8126e-005","4.1523e-001","-8.9445e-004"
"","  43.9939e-11","2.4873e-001","-2.9227e-005","4.3206e-001","-4.0084e-004"
"","  44.9715e-11","2.4900e-001","-2.5387e-005","4.4925e-001","9.1266e-005"
"","  45.9491e-11","2.4931e-001","-2.4211e-005","4.6697e-001","5.9006e-004"
"","  46.9268e-11","2.4957e-001","-2.1514e-005","4.8612e-001","1.1524e-003"
"","  47.9044e-11","2.4984e-001","-1.8049e-005","5.0621e-001","1.6579e-003"
"","  48.8821e-11","2.5066e-001","-1.7912e-005","5.2655e-001","2.1536e-003"
"","  49.8597e-11","2.5209e-001","-2.1160e-005","5.4749e-001","2.6570e-003"
"","  50.8374e-11","2.5361e-001","-2.5627e-005","5.6850e-001","3.1030e-003"
"","  51.8150e-11","2.5517e-001","-3.1258e-005","5.8926e-001","3.5373e-003"
"","  52.7926e-11","2.5684e-001","-4.5398e-005","6.0997e-001","3.9158e-003"
"","  53.7703e-11","2.5887e-001","-5.8885e-005","6.3067e-001","4.3306e-003"
"","  54.7479e-11","2.6094e-001","-7.7153e-005","6.5144e-001","4.7488e-003"
"","  55.7256e-11","2.6273e-001","-9.9336e-005","6.7289e-001","5.1797e-003"
"","  56.7032e-11","2.6499e-001","-1.2061e-004","6.9405e-001","5.5269e-003"
"","  57.6808e-11","2.6814e-001","-1.3956e-004","7.1490e-001","5.8775e-003"
"","  58.6585e-11","2.7178e-001","-1.5991e-004","7.3565e-001","6.2171e-003"
"","  59.6361e-11","2.7612e-001","-1.9499e-004","7.5563e-001","6.4928e-003"
"","  60.6138e-11","2.8118e-001","-2.1241e-004","7.7504e-001","6.7419e-003"
"","  61.5914e-11","2.8682e-001","-2.3185e-004","7.9351e-001","6.9869e-003"
"","  62.5690e-11","2.9284e-001","-2.7507e-004","8.1181e-001","7.2379e-003"
"","  63.5467e-11","2.9925e-001","-3.3307e-004","8.3007e-001","7.5158e-003"
"","  64.5243e-11","3.0574e-001","-3.9373e-004","8.4838e-001","7.7694e-003"
"","  65.5020e-11","3.1301e-001","-4.6934e-004","8.6559e-001","7.9737e-003"
"","  66.4796e-11","3.2181e-001","-5.4900e-004","8.8228e-001","8.2134e-003"
"","  67.4573e-11","3.3119e-001","-6.2183e-004","8.9858e-001","8.4244e-003"
"","  68.4349e-11","3.4099e-001","-6.8875e-004","9.1364e-001","8.6166e-003"
"","  69.4125e-11","3.5221e-001","-7.5315e-004","9.2739e-001","8.7972e-003"
"","  70.3902e-11","3.6430e-001","-8.1358e-004","9.4040e-001","8.9907e-003"
"","  71.3678e-11","3.7702e-001","-8.9054e-004","9.5325e-001","9.1680e-003"
"","  72.3455e-11","3.9040e-001","-9.8875e-004","9.6639e-001","9.3362e-003"
