"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:22:38 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.G2 (at pin)"
"Probe 2: U15.D22 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4677e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4677e-001","6.1629e-007","2.4275e-001","-9.7706e-003"
"","   1.9550e-11","2.4677e-001","1.1354e-006","2.4275e-001","-9.7736e-003"
"","   2.9326e-11","2.4677e-001","1.5717e-006","2.4275e-001","-9.7764e-003"
"","   3.9101e-11","2.4677e-001","1.9317e-006","2.4275e-001","-9.7789e-003"
"","   4.8876e-11","2.4677e-001","2.2301e-006","2.4275e-001","-9.7811e-003"
"","   5.8651e-11","2.4677e-001","2.4810e-006","2.4275e-001","-9.7830e-003"
"","   6.8426e-11","2.4677e-001","2.6891e-006","2.4275e-001","-9.7734e-003"
"","   7.8201e-11","2.4681e-001","2.8599e-006","2.4275e-001","-9.7594e-003"
"","   8.7977e-11","2.4683e-001","3.0042e-006","2.4471e-001","-9.7455e-003"
"","   9.7752e-11","2.4686e-001","3.1245e-006","2.4540e-001","-9.7288e-003"
"","  10.7527e-11","2.4687e-001","3.2175e-006","2.4527e-001","-9.6971e-003"
"","  11.7302e-11","2.4688e-001","3.2902e-006","2.4516e-001","-9.6657e-003"
"","  12.7077e-11","2.4689e-001","3.3630e-006","2.4506e-001","-9.6245e-003"
"","  13.6853e-11","2.4689e-001","3.4606e-006","2.4444e-001","-9.5685e-003"
"","  14.6628e-11","2.4690e-001","3.6571e-006","2.4482e-001","-9.5123e-003"
"","  15.6403e-11","2.4690e-001","3.7981e-006","2.4520e-001","-9.4564e-003"
"","  16.6178e-11","2.4690e-001","3.8917e-006","2.4576e-001","-9.3901e-003"
"","  17.5953e-11","2.4690e-001","3.9558e-006","2.4630e-001","-9.3264e-003"
"","  18.5728e-11","2.4690e-001","4.1490e-006","2.4695e-001","-9.2630e-003"
"","  19.5504e-11","2.4691e-001","4.3611e-006","2.4811e-001","-9.1837e-003"
"","  20.5279e-11","2.4691e-001","4.4903e-006","2.4926e-001","-9.0407e-003"
"","  21.5054e-11","2.4691e-001","4.5543e-006","2.5077e-001","-8.8931e-003"
"","  22.4829e-11","2.4691e-001","4.5762e-006","2.5292e-001","-8.6929e-003"
