"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:23:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.L3 (at pin)"
"Probe 2: U15.E23 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4698e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4698e-001","6.4627e-007","2.4275e-001","-9.7722e-003"
"","   1.9552e-11","2.4698e-001","1.1829e-006","2.4275e-001","-9.7752e-003"
"","   2.9328e-11","2.4698e-001","1.6251e-006","2.4275e-001","-9.7779e-003"
"","   3.9104e-11","2.4698e-001","1.9908e-006","2.4275e-001","-9.7803e-003"
"","   4.8880e-11","2.4698e-001","2.2921e-006","2.4275e-001","-9.7825e-003"
"","   5.8656e-11","2.4700e-001","2.5391e-006","2.4275e-001","-9.7845e-003"
"","   6.8432e-11","2.4702e-001","2.7522e-006","2.4275e-001","-9.7778e-003"
"","   7.8208e-11","2.4703e-001","2.9205e-006","2.4275e-001","-9.7638e-003"
"","   8.7983e-11","2.4705e-001","3.0682e-006","2.4335e-001","-9.7499e-003"
"","   9.7759e-11","2.4705e-001","3.1817e-006","2.4450e-001","-9.7349e-003"
"","  10.7535e-11","2.4706e-001","3.4976e-006","2.4494e-001","-9.7064e-003"
"","  11.7311e-11","2.4707e-001","3.8860e-006","2.4508e-001","-9.6748e-003"
"","  12.7087e-11","2.4708e-001","4.2765e-006","2.4509e-001","-9.6385e-003"
"","  13.6863e-11","2.4709e-001","4.5129e-006","2.4504e-001","-9.5834e-003"
"","  14.6639e-11","2.4709e-001","4.6506e-006","2.4497e-001","-9.5270e-003"
"","  15.6415e-11","2.4710e-001","4.7091e-006","2.4503e-001","-9.4711e-003"
"","  16.6191e-11","2.4711e-001","4.6278e-006","2.4535e-001","-9.4080e-003"
"","  17.5967e-11","2.4711e-001","4.5345e-006","2.4580e-001","-9.2442e-003"
"","  18.5743e-11","2.4712e-001","4.4530e-006","2.4633e-001","-9.2408e-003"
"","  19.5519e-11","2.4711e-001","4.3708e-006","2.4712e-001","-9.1961e-003"
"","  20.5295e-11","2.4711e-001","4.3341e-006","2.4817e-001","-9.0778e-003"
"","  21.5071e-11","2.4711e-001","4.3216e-006","2.4940e-001","-8.9348e-003"
"","  22.4847e-11","2.4710e-001","4.3310e-006","2.5110e-001","-8.7807e-003"
"","  23.4623e-11","2.4710e-001","4.2994e-006","2.5311e-001","-8.5796e-003"
"","  24.4398e-11","2.4710e-001","4.2091e-006","2.5526e-001","-8.3616e-003"
"","  25.4174e-11","2.4709e-001","4.0849e-006","2.5756e-001","-8.1509e-003"
"","  26.3950e-11","2.4709e-001","3.9236e-006","2.6076e-001","-7.9418e-003"
"","  27.3726e-11","2.4709e-001","3.7657e-006","2.6354e-001","-7.7224e-003"
"","  28.3502e-11","2.4708e-001","3.6296e-006","2.6598e-001","-7.4932e-003"
"","  29.3278e-11","2.4708e-001","3.5482e-006","2.6945e-001","-7.2010e-003"
"","  30.3054e-11","2.4707e-001","3.5281e-006","2.7420e-001","-6.8613e-003"
"","  31.2830e-11","2.4707e-001","3.5709e-006","2.7969e-001","-6.5101e-003"
"","  32.2606e-11","2.4706e-001","3.6245e-006","2.8638e-001","-6.1006e-003"
"","  33.2382e-11","2.4706e-001","3.6564e-006","2.9404e-001","-5.6840e-003"
"","  34.2158e-11","2.4706e-001","3.6566e-006","3.0209e-001","-5.2648e-003"
"","  35.1934e-11","2.4706e-001","3.6284e-006","3.1028e-001","-4.8128e-003"
"","  36.1710e-11","2.4706e-001","3.5888e-006","3.1876e-001","-4.4270e-003"
"","  37.1486e-11","2.4706e-001","3.5605e-006","3.2749e-001","-3.9882e-003"
"","  38.1262e-11","2.4756e-001","3.5403e-006","3.3736e-001","-3.4482e-003"
"","  39.1038e-11","2.4811e-001","3.5520e-006","3.4914e-001","-2.9153e-003"
"","  40.0813e-11","2.4835e-001","3.5892e-006","3.6199e-001","-2.3994e-003"
"","  41.0589e-11","2.4846e-001","3.6595e-006","3.7648e-001","-1.8454e-003"
"","  42.0365e-11","2.4852e-001","3.7342e-006","3.9234e-001","-1.3221e-003"
"","  43.0141e-11","2.4864e-001","-8.7666e-006","4.0876e-001","-8.3223e-004"
"","  43.9917e-11","2.4870e-001","-2.4568e-005","4.2579e-001","-3.4049e-004"
"","  44.9693e-11","2.4882e-001","-2.7391e-005","4.4272e-001","1.5168e-004"
"","  45.9469e-11","2.4904e-001","-2.5839e-005","4.6001e-001","6.4188e-004"
"","  46.9245e-11","2.4932e-001","-2.2462e-005","4.7863e-001","1.2197e-003"
"","  47.9021e-11","2.4946e-001","-2.1270e-005","4.9864e-001","1.7531e-003"
"","  48.8797e-11","2.4967e-001","-1.8824e-005","5.1895e-001","2.2522e-003"
"","  49.8573e-11","2.5051e-001","-1.8004e-005","5.3988e-001","2.7824e-003"
"","  50.8349e-11","2.5151e-001","-2.0662e-005","5.6108e-001","3.2426e-003"
"","  51.8125e-11","2.5279e-001","-2.4581e-005","5.8201e-001","3.6620e-003"
"","  52.7901e-11","2.5420e-001","-3.0431e-005","6.0271e-001","4.0663e-003"
"","  53.7677e-11","2.5573e-001","-4.2455e-005","6.2337e-001","4.4618e-003"
"","  54.7453e-11","2.5739e-001","-5.7431e-005","6.4397e-001","4.8752e-003"
"","  55.7228e-11","2.5961e-001","-6.9915e-005","6.6524e-001","5.3414e-003"
"","  56.7004e-11","2.6151e-001","-8.6973e-005","6.8671e-001","5.7050e-003"
"","  57.6780e-11","2.6341e-001","-1.0733e-004","7.0774e-001","6.0472e-003"
"","  58.6556e-11","2.6591e-001","-1.2741e-004","7.2879e-001","6.3971e-003"
"","  59.6332e-11","2.6915e-001","-1.4851e-004","7.4920e-001","6.6718e-003"
"","  60.6108e-11","2.7304e-001","-1.8517e-004","7.6876e-001","6.9029e-003"
"","  61.5884e-11","2.7763e-001","-2.0939e-004","7.8773e-001","7.1370e-003"
"","  62.5660e-11","2.8280e-001","-2.2687e-004","8.0591e-001","7.3820e-003"
"","  63.5436e-11","2.8843e-001","-2.6249e-004","8.2406e-001","7.6441e-003"
"","  64.5212e-11","2.9439e-001","-3.1505e-004","8.4267e-001","7.9272e-003"
"","  65.4988e-11","3.0045e-001","-3.7347e-004","8.6044e-001","8.1331e-003"
"","  66.4764e-11","3.0722e-001","-4.4309e-004","8.7713e-001","8.3509e-003"
"","  67.4540e-11","3.1522e-001","-5.1872e-004","8.9345e-001","8.5698e-003"
"","  68.4316e-11","3.2392e-001","-5.9266e-004","9.0873e-001","8.7458e-003"
"","  69.4092e-11","3.3315e-001","-6.5988e-004","9.2254e-001","8.8992e-003"
"","  70.3868e-11","3.4365e-001","-7.2629e-004","9.3548e-001","9.0687e-003"
"","  71.3644e-11","3.5500e-001","-7.8877e-004","9.4820e-001","9.2415e-003"
"","  72.3419e-11","3.6710e-001","-8.6335e-004","9.6110e-001","9.4073e-003"
"","  73.3195e-11","3.8017e-001","-9.5620e-004","9.7427e-001","9.5477e-003"
"","  74.2971e-11","3.9376e-001","-1.0567e-003","9.8667e-001","9.5956e-003"
"","  75.2747e-11","4.0808e-001","-1.1733e-003","9.9858e-001","9.6896e-003"
"","  76.2523e-11","4.2370e-001","-1.2948e-003","1.0105e+000","9.7716e-003"
"","  77.2299e-11","4.4008e-001","-1.4112e-003","1.0217e+000","9.7932e-003"
"","  78.2075e-11","4.5662e-001","-1.5237e-003","1.0321e+000","9.8316e-003"
"","  79.1851e-11","4.7394e-001","-1.6142e-003","1.0423e+000","9.9001e-003"
"","  80.1627e-11","4.9159e-001","-1.6966e-003","1.0521e+000","1.0004e-002"
"","  81.1403e-11","5.0957e-001","-1.7884e-003","1.0613e+000","1.0129e-002"
"","  82.1179e-11","5.2819e-001","-1.8851e-003","1.0698e+000","1.0220e-002"
"","  83.0955e-11","5.4729e-001","-1.9717e-003","1.0769e+000","1.0266e-002"
"","  84.0731e-11","5.6720e-001","-2.0569e-003","1.0833e+000","1.0360e-002"
"","  85.0507e-11","5.8793e-001","-2.1327e-003","1.0894e+000","1.0426e-002"
"","  86.0283e-11","6.0864e-001","-2.1912e-003","1.0947e+000","1.0470e-002"
"","  87.0059e-11","6.2926e-001","-2.2340e-003","1.0993e+000","1.0551e-002"
"","  87.9834e-11","6.5046e-001","-2.2611e-003","1.1038e+000","1.0600e-002"
