"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:24:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.M3 (at pin)"
"Probe 2: U15.F23 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4704e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4704e-001","6.1581e-007","2.4275e-001","-9.7705e-003"
"","   1.9552e-11","2.4704e-001","1.1323e-006","2.4275e-001","-9.7736e-003"
"","   2.9328e-11","2.4704e-001","1.5621e-006","2.4275e-001","-9.7764e-003"
"","   3.9104e-11","2.4705e-001","1.9211e-006","2.4275e-001","-9.7789e-003"
"","   4.8880e-11","2.4706e-001","2.2185e-006","2.4275e-001","-9.7811e-003"
"","   5.8656e-11","2.4708e-001","2.4687e-006","2.4275e-001","-9.7831e-003"
"","   6.8432e-11","2.4710e-001","2.6772e-006","2.4275e-001","-9.7764e-003"
"","   7.8208e-11","2.4711e-001","2.8490e-006","2.4275e-001","-9.7625e-003"
"","   8.7983e-11","2.4712e-001","2.9477e-006","2.4334e-001","-9.7486e-003"
"","   9.7759e-11","2.4713e-001","3.2848e-006","2.4450e-001","-9.7337e-003"
"","  10.7535e-11","2.4713e-001","3.6926e-006","2.4494e-001","-9.7052e-003"
"","  11.7311e-11","2.4714e-001","4.1308e-006","2.4507e-001","-9.6736e-003"
"","  12.7087e-11","2.4715e-001","4.4140e-006","2.4508e-001","-9.6374e-003"
"","  13.6863e-11","2.4716e-001","4.5878e-006","2.4503e-001","-9.5823e-003"
"","  14.6639e-11","2.4717e-001","4.6832e-006","2.4496e-001","-9.5259e-003"
"","  15.6415e-11","2.4718e-001","4.6828e-006","2.4502e-001","-9.4700e-003"
"","  16.6191e-11","2.4718e-001","4.6005e-006","2.4533e-001","-9.4069e-003"
"","  17.5967e-11","2.4718e-001","4.5161e-006","2.4578e-001","-9.2432e-003"
