"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:13:27 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.K10 (at pin)"
"Probe 2: U15.F20 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4769e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4769e-001","6.1242e-007","2.4275e-001","-9.7736e-003"
"","   1.9551e-11","2.4769e-001","1.1256e-006","2.4275e-001","-9.7765e-003"
"","   2.9326e-11","2.4769e-001","1.5540e-006","2.4275e-001","-9.7792e-003"
"","   3.9101e-11","2.4770e-001","1.9116e-006","2.4275e-001","-9.7816e-003"
"","   4.8877e-11","2.4770e-001","2.2100e-006","2.4275e-001","-9.7837e-003"
"","   5.8652e-11","2.4769e-001","2.4592e-006","2.4275e-001","-9.7856e-003"
"","   6.8427e-11","2.4772e-001","2.6660e-006","2.4275e-001","-9.7804e-003"
"","   7.8202e-11","2.4774e-001","2.8404e-006","2.4275e-001","-9.7664e-003"
"","   8.7978e-11","2.4775e-001","2.9852e-006","2.4286e-001","-9.7524e-003"
"","   9.7753e-11","2.4776e-001","3.0128e-006","2.4430e-001","-9.7379e-003"
"","  10.7528e-11","2.4777e-001","3.1369e-006","2.4487e-001","-9.7105e-003"
"","  11.7304e-11","2.4778e-001","3.2499e-006","2.4506e-001","-9.6789e-003"
"","  12.7079e-11","2.4779e-001","3.6446e-006","2.4509e-001","-9.6440e-003"
"","  13.6854e-11","2.4779e-001","4.0080e-006","2.4505e-001","-9.5897e-003"
"","  14.6630e-11","2.4780e-001","4.4148e-006","2.4499e-001","-9.5333e-003"
"","  15.6405e-11","2.4781e-001","4.6415e-006","2.4499e-001","-9.4772e-003"
"","  16.6180e-11","2.4781e-001","4.7680e-006","2.4526e-001","-9.4155e-003"
"","  17.5956e-11","2.4782e-001","4.8383e-006","2.4569e-001","-9.2182e-003"
"","  18.5731e-11","2.4782e-001","4.8380e-006","2.4619e-001","-9.2347e-003"
"","  19.5506e-11","2.4783e-001","4.7040e-006","2.4690e-001","-9.2001e-003"
"","  20.5281e-11","2.4783e-001","4.6055e-006","2.4790e-001","-9.0908e-003"
"","  21.5057e-11","2.4783e-001","4.4932e-006","2.4908e-001","-8.9491e-003"
"","  22.4832e-11","2.4783e-001","4.4119e-006","2.5065e-001","-8.7988e-003"
"","  23.4607e-11","2.4783e-001","4.3389e-006","2.5261e-001","-8.6008e-003"
"","  24.4383e-11","2.4782e-001","4.4201e-006","2.5473e-001","-8.3840e-003"
"","  25.4158e-11","2.4782e-001","4.4508e-006","2.5698e-001","-8.1695e-003"
"","  26.3933e-11","2.4781e-001","4.5173e-006","2.5974e-001","-7.9603e-003"
"","  27.3709e-11","2.4781e-001","4.5019e-006","2.6304e-001","-7.7428e-003"
"","  28.3484e-11","2.4781e-001","4.4197e-006","2.6547e-001","-7.5124e-003"
"","  29.3259e-11","2.4780e-001","4.2666e-006","2.6849e-001","-7.2271e-003"
"","  30.3035e-11","2.4780e-001","4.9268e-006","2.7297e-001","-6.8904e-003"
"","  31.2810e-11","2.4780e-001","3.9157e-006","2.7824e-001","-6.5374e-003"
"","  32.2585e-11","2.4780e-001","3.7458e-006","2.8460e-001","-6.1302e-003"
"","  33.2361e-11","2.4779e-001","3.5863e-006","2.9206e-001","-5.7123e-003"
"","  34.2136e-11","2.4779e-001","3.5953e-006","3.0008e-001","-5.2943e-003"
"","  35.1911e-11","2.4778e-001","3.5497e-006","3.0824e-001","-4.7778e-003"
"","  36.1686e-11","2.4778e-001","3.5463e-006","3.1665e-001","-4.4495e-003"
"","  37.1462e-11","2.4777e-001","3.5418e-006","3.2530e-001","-4.0306e-003"
"","  38.1237e-11","2.4777e-001","3.5728e-006","3.3472e-001","-3.4921e-003"
"","  39.1012e-11","2.4777e-001","3.5818e-006","3.4610e-001","-2.9427e-003"
"","  40.0788e-11","2.4777e-001","3.5642e-006","3.5872e-001","-2.4297e-003"
"","  41.0563e-11","2.4777e-001","3.4750e-006","3.7274e-001","-1.8669e-003"
"","  42.0338e-11","2.4777e-001","3.4192e-006","3.8839e-001","-1.3324e-003"
"","  43.0114e-11","2.4799e-001","3.3165e-006","4.0470e-001","-8.3714e-004"
"","  43.9889e-11","2.4866e-001","3.2391e-006","4.2156e-001","-3.4977e-004"
"","  44.9664e-11","2.4897e-001","3.2581e-006","4.3870e-001","1.4254e-004"
"","  45.9440e-11","2.4913e-001","3.3043e-006","4.5572e-001","6.3042e-004"
"","  46.9215e-11","2.4920e-001","3.4420e-006","4.7375e-001","1.2046e-003"
"","  47.8990e-11","2.4926e-001","3.4512e-006","4.9364e-001","1.7564e-003"
"","  48.8765e-11","2.4935e-001","8.7000e-007","5.1397e-001","2.2576e-003"
"","  49.8541e-11","2.4946e-001","-1.9215e-005","5.3477e-001","2.8016e-003"
"","  50.8316e-11","2.4967e-001","-2.5867e-005","5.5606e-001","3.2746e-003"
"","  51.8091e-11","2.4994e-001","-2.5805e-005","5.7714e-001","3.7001e-003"
"","  52.7867e-11","2.5025e-001","-2.3368e-005","5.9785e-001","4.1650e-003"
"","  53.7642e-11","2.5063e-001","-2.0040e-005","6.1847e-001","4.4868e-003"
"","  54.7417e-11","2.5120e-001","-1.9424e-005","6.3903e-001","4.8888e-003"
"","  55.7193e-11","2.5151e-001","-1.8037e-005","6.5999e-001","5.3734e-003"
"","  56.6968e-11","2.5253e-001","-2.0279e-005","6.8160e-001","5.7639e-003"
"","  57.6743e-11","2.5393e-001","-2.4009e-005","7.0281e-001","6.0914e-003"
"","  58.6519e-11","2.5546e-001","-2.8221e-005","7.2390e-001","6.4543e-003"
"","  59.6294e-11","2.5713e-001","-3.3107e-005","7.4459e-001","6.7387e-003"
"","  60.6069e-11","2.5915e-001","-4.2876e-005","7.6439e-001","6.9620e-003"
"","  61.5844e-11","2.6129e-001","-5.9795e-005","7.8357e-001","7.1868e-003"
"","  62.5620e-11","2.6308e-001","-8.0270e-005","8.0173e-001","7.4279e-003"
"","  63.5395e-11","2.6536e-001","-1.0249e-004","8.1953e-001","7.6777e-003"
"","  64.5170e-11","2.6842e-001","-1.2215e-004","8.3793e-001","7.9803e-003"
"","  65.4946e-11","2.7201e-001","-1.4155e-004","8.5620e-001","8.1971e-003"
"","  66.4721e-11","2.7624e-001","-1.6826e-004","8.7315e-001","8.3941e-003"
"","  67.4496e-11","2.8101e-001","-1.9919e-004","8.8963e-001","8.6309e-003"
"","  68.4272e-11","2.8618e-001","-2.1532e-004","9.0533e-001","8.8020e-003"
"","  69.4047e-11","2.9162e-001","-2.4071e-004","9.1940e-001","8.9497e-003"
"","  70.3822e-11","2.9751e-001","-2.8542e-004","9.3233e-001","9.1480e-003"
"","  71.3598e-11","3.0375e-001","-3.3786e-004","9.4487e-001","9.2616e-003"
"","  72.3373e-11","3.1072e-001","-4.0254e-004","9.5754e-001","9.4275e-003"
"","  73.3148e-11","3.1868e-001","-4.7714e-004","9.7059e-001","9.6155e-003"
"","  74.2924e-11","3.2793e-001","-5.5145e-004","9.8335e-001","9.6590e-003"
"","  75.2699e-11","3.3793e-001","-6.2171e-004","9.9527e-001","9.7146e-003"
"","  76.2474e-11","3.4854e-001","-6.8778e-004","1.0072e+000","9.8085e-003"
"","  77.2249e-11","3.5975e-001","-7.4872e-004","1.0186e+000","9.8255e-003"
"","  78.2025e-11","3.7159e-001","-8.1686e-004","1.0292e+000","9.8390e-003"
"","  79.1800e-11","3.8374e-001","-9.0924e-004","1.0397e+000","9.8991e-003"
"","  80.1575e-11","3.9649e-001","-1.0043e-003","1.0495e+000","1.0003e-002"
"","  81.1351e-11","4.1046e-001","-1.1060e-003","1.0588e+000","1.0123e-002"
"","  82.1126e-11","4.2575e-001","-1.2222e-003","1.0681e+000","1.0255e-002"
"","  83.0901e-11","4.4160e-001","-1.3372e-003","1.0762e+000","1.0292e-002"
"","  84.0677e-11","4.5793e-001","-1.4521e-003","1.0828e+000","1.0356e-002"
"","  85.0452e-11","4.7420e-001","-1.5590e-003","1.0892e+000","1.0449e-002"
"","  86.0227e-11","4.9072e-001","-1.6519e-003","1.0950e+000","1.0483e-002"
"","  87.0003e-11","5.0756e-001","-1.7475e-003","1.0999e+000","1.0517e-002"
"","  87.9778e-11","5.2448e-001","-1.8526e-003","1.1046e+000","1.0593e-002"
"","  88.9553e-11","5.4192e-001","-1.9427e-003","1.1098e+000","1.0609e-002"
"","  89.9328e-11","5.6022e-001","-2.0235e-003","1.1154e+000","1.0646e-002"
