"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:16:07 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.J11 (at pin)"
"Probe 2: U15.E19 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4788e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4788e-001","5.9082e-007","2.4275e-001","-9.7701e-003"
"","   1.9553e-11","2.4788e-001","1.0916e-006","2.4275e-001","-9.7732e-003"
"","   2.9329e-11","2.4788e-001","1.5113e-006","2.4275e-001","-9.7760e-003"
"","   3.9106e-11","2.4788e-001","1.8639e-006","2.4275e-001","-9.7785e-003"
"","   4.8882e-11","2.4788e-001","2.1609e-006","2.4275e-001","-9.7807e-003"
"","   5.8658e-11","2.4789e-001","2.4083e-006","2.4275e-001","-9.7826e-003"
"","   6.8435e-11","2.4792e-001","2.6171e-006","2.4275e-001","-9.7751e-003"
"","   7.8211e-11","2.4794e-001","2.7821e-006","2.4275e-001","-9.7612e-003"
"","   8.7988e-11","2.4795e-001","2.9280e-006","2.4549e-001","-9.7473e-003"
"","   9.7764e-11","2.4796e-001","3.0035e-006","2.4535e-001","-9.7317e-003"
"","  10.7541e-11","2.4797e-001","3.1141e-006","2.4523e-001","-9.7025e-003"
"","  11.7317e-11","2.4797e-001","3.3297e-006","2.4512e-001","-9.6710e-003"
"","  12.7093e-11","2.4798e-001","3.6545e-006","2.4503e-001","-9.6332e-003"
"","  13.6870e-11","2.4799e-001","3.8986e-006","2.4442e-001","-9.5775e-003"
"","  14.6646e-11","2.4800e-001","4.3016e-006","2.4483e-001","-9.5212e-003"
"","  15.6423e-11","2.4800e-001","4.5746e-006","2.4530e-001","-9.4653e-003"
"","  16.6199e-11","2.4800e-001","4.7239e-006","2.4587e-001","-9.4014e-003"
"","  17.5975e-11","2.4801e-001","4.7710e-006","2.4636e-001","-9.3453e-003"
"","  18.5752e-11","2.4802e-001","4.7075e-006","2.4712e-001","-9.2734e-003"
"","  19.5528e-11","2.4802e-001","4.6384e-006","2.4827e-001","-9.1970e-003"
"","  20.5305e-11","2.4802e-001","4.5810e-006","2.4938e-001","-9.0616e-003"
"","  21.5081e-11","2.4802e-001","4.5122e-006","2.5097e-001","-8.9048e-003"
"","  22.4858e-11","2.4802e-001","4.4602e-006","2.5323e-001","-8.7360e-003"
"","  23.4634e-11","2.4801e-001","4.4853e-006","2.5535e-001","-8.5544e-003"
