"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:16:40 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.G11 (at pin)"
"Probe 2: U15.F16 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4791e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4791e-001","5.3854e-007","2.4275e-001","-9.7698e-003"
"","   1.9553e-11","2.4791e-001","1.0027e-006","2.4275e-001","-9.7729e-003"
"","   2.9329e-11","2.4791e-001","1.3982e-006","2.4275e-001","-9.7757e-003"
"","   3.9106e-11","2.4791e-001","1.7362e-006","2.4275e-001","-9.7782e-003"
"","   4.8882e-11","2.4791e-001","2.0256e-006","2.4275e-001","-9.7805e-003"
"","   5.8658e-11","2.4791e-001","2.2715e-006","2.4275e-001","-9.7823e-003"
"","   6.8435e-11","2.4794e-001","2.4814e-006","2.4275e-001","-9.7748e-003"
"","   7.8211e-11","2.4796e-001","2.6604e-006","2.4275e-001","-9.7609e-003"
"","   8.7988e-11","2.4798e-001","2.8143e-006","2.4381e-001","-9.7470e-003"
"","   9.7764e-11","2.4799e-001","2.9450e-006","2.4480e-001","-9.7315e-003"
"","  10.7541e-11","2.4799e-001","3.0246e-006","2.4509e-001","-9.7023e-003"
"","  11.7317e-11","2.4800e-001","3.1264e-006","2.4514e-001","-9.6708e-003"
"","  12.7093e-11","2.4801e-001","3.4281e-006","2.4509e-001","-9.6330e-003"
"","  13.6870e-11","2.4802e-001","3.7137e-006","2.4502e-001","-9.5772e-003"
"","  14.6646e-11","2.4802e-001","4.0241e-006","2.4494e-001","-9.5210e-003"
"","  15.6423e-11","2.4803e-001","4.3944e-006","2.4507e-001","-9.4651e-003"
"","  16.6199e-11","2.4803e-001","4.6460e-006","2.4546e-001","-9.4011e-003"
"","  17.5975e-11","2.4804e-001","4.7926e-006","2.4595e-001","-9.2682e-003"
"","  18.5752e-11","2.4804e-001","4.8266e-006","2.4653e-001","-9.2513e-003"
"","  19.5528e-11","2.4805e-001","4.7828e-006","2.4743e-001","-9.1952e-003"
"","  20.5305e-11","2.4805e-001","4.7332e-006","2.4856e-001","-9.0666e-003"
"","  21.5081e-11","2.4806e-001","4.6873e-006","2.4991e-001","-8.9211e-003"
"","  22.4858e-11","2.4806e-001","4.6308e-006","2.5178e-001","-8.7628e-003"
