"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:17:07 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.E10 (at pin)"
"Probe 2: U15.D17 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4772e-001",DC,"2.4275e-001",DC
"","   0.9778e-11","2.4772e-001","5.8764e-007","2.4275e-001","-9.7737e-003"
"","   1.9557e-11","2.4772e-001","1.0925e-006","2.4275e-001","-9.7767e-003"
"","   2.9335e-11","2.4772e-001","1.5090e-006","2.4275e-001","-9.7793e-003"
"","   3.9114e-11","2.4772e-001","1.8651e-006","2.4275e-001","-9.7817e-003"
"","   4.8892e-11","2.4772e-001","2.1591e-006","2.4275e-001","-9.7838e-003"
"","   5.8670e-11","2.4772e-001","2.4095e-006","2.4275e-001","-9.7854e-003"
"","   6.8449e-11","2.4775e-001","2.6166e-006","2.4275e-001","-9.7760e-003"
"","   7.8227e-11","2.4778e-001","2.7936e-006","2.4275e-001","-9.7621e-003"
"","   8.8006e-11","2.4780e-001","2.9402e-006","2.4446e-001","-9.7481e-003"
"","   9.7784e-11","2.4782e-001","3.0640e-006","2.4540e-001","-9.7315e-003"
"","  10.7562e-11","2.4783e-001","3.2094e-006","2.4528e-001","-9.7014e-003"
"","  11.7341e-11","2.4785e-001","3.3406e-006","2.4518e-001","-9.6698e-003"
"","  12.7119e-11","2.4786e-001","3.5798e-006","2.4508e-001","-9.6300e-003"
"","  13.6898e-11","2.4786e-001","3.7027e-006","2.4499e-001","-9.5746e-003"
"","  14.6676e-11","2.4787e-001","3.8309e-006","2.4491e-001","-9.5181e-003"
"","  15.6454e-11","2.4787e-001","3.9178e-006","2.4570e-001","-9.4613e-003"
"","  16.6233e-11","2.4787e-001","3.9714e-006","2.4623e-001","-9.3951e-003"
"","  17.6011e-11","2.4788e-001","4.0050e-006","2.4677e-001","-9.3284e-003"
"","  18.5790e-11","2.4788e-001","4.0884e-006","2.4735e-001","-9.2677e-003"
"","  19.5568e-11","2.4788e-001","4.1874e-006","2.4844e-001","-9.1856e-003"
"","  20.5346e-11","2.4788e-001","4.2472e-006","2.4968e-001","-9.0494e-003"
"","  21.5125e-11","2.4788e-001","4.2740e-006","2.5111e-001","-8.9016e-003"
"","  22.4903e-11","2.4787e-001","4.2863e-006","2.5333e-001","-8.7372e-003"
"","  23.4682e-11","2.4787e-001","4.3037e-006","2.5570e-001","-8.5333e-003"
"","  24.4460e-11","2.4787e-001","4.3654e-006","2.5804e-001","-8.3572e-003"
"","  25.4238e-11","2.4787e-001","4.3750e-006","2.6074e-001","-8.1575e-003"
"","  26.4017e-11","2.4787e-001","4.3665e-006","2.6382e-001","-7.9476e-003"
"","  27.3795e-11","2.4786e-001","4.3363e-006","2.6661e-001","-7.7318e-003"
"","  28.3574e-11","2.4786e-001","4.2961e-006","2.6979e-001","-7.5198e-003"
"","  29.3352e-11","2.4786e-001","4.2579e-006","2.7541e-001","-7.2144e-003"
"","  30.3130e-11","2.4786e-001","4.2289e-006","2.8174e-001","-6.8864e-003"
"","  31.2909e-11","2.4785e-001","4.1875e-006","2.8848e-001","-6.5473e-003"
"","  32.2687e-11","2.4785e-001","4.1353e-006","2.9689e-001","-6.1453e-003"
"","  33.2466e-11","2.4784e-001","4.0789e-006","3.0520e-001","-5.7340e-003"
"","  34.2244e-11","2.4784e-001","4.0251e-006","3.1359e-001","-5.3317e-003"
"","  35.2022e-11","2.4784e-001","3.9774e-006","3.2260e-001","-4.9217e-003"
"","  36.1801e-11","2.4783e-001","3.9377e-006","3.3234e-001","-4.4904e-003"
"","  37.1579e-11","2.4783e-001","3.8950e-006","3.4205e-001","-4.0745e-003"
"","  38.1358e-11","2.4783e-001","3.8495e-006","3.5469e-001","-3.6262e-003"
"","  39.1136e-11","2.4783e-001","3.8013e-006","3.6952e-001","-3.1583e-003"
"","  40.0914e-11","2.4782e-001","3.7560e-006","3.8438e-001","-2.6959e-003"
"","  41.0693e-11","2.4782e-001","3.7156e-006","4.0201e-001","-2.2193e-003"
"","  42.0471e-11","2.4782e-001","3.6933e-006","4.2051e-001","-1.7396e-003"
"","  43.0250e-11","2.4885e-001","3.6671e-006","4.3873e-001","-1.2578e-003"
"","  44.0028e-11","2.4956e-001","3.6392e-006","4.5715e-001","-7.8546e-004"
"","  44.9807e-11","2.4954e-001","3.6127e-006","4.7741e-001","-3.3790e-004"
"","  45.9585e-11","2.4955e-001","3.5910e-006","4.9735e-001","1.0535e-004"
