"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:17:51 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.D11 (at pin)"
"Probe 2: U15.C17 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4785e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4785e-001","5.5666e-007","2.4275e-001","-9.7713e-003"
"","   1.9553e-11","2.4785e-001","1.0337e-006","2.4275e-001","-9.7743e-003"
"","   2.9329e-11","2.4785e-001","1.4379e-006","2.4275e-001","-9.7771e-003"
"","   3.9106e-11","2.4785e-001","1.7812e-006","2.4275e-001","-9.7795e-003"
"","   4.8882e-11","2.4785e-001","2.0736e-006","2.4275e-001","-9.7817e-003"
"","   5.8658e-11","2.4785e-001","2.3198e-006","2.4275e-001","-9.7836e-003"
"","   6.8435e-11","2.4788e-001","2.5298e-006","2.4275e-001","-9.7760e-003"
"","   7.8211e-11","2.4791e-001","2.7109e-006","2.4275e-001","-9.7621e-003"
"","   8.7988e-11","2.4792e-001","2.8631e-006","2.4381e-001","-9.7482e-003"
"","   9.7764e-11","2.4793e-001","3.0398e-006","2.4480e-001","-9.7326e-003"
"","  10.7541e-11","2.4793e-001","3.1449e-006","2.4509e-001","-9.7034e-003"
"","  11.7317e-11","2.4794e-001","3.3586e-006","2.4514e-001","-9.6719e-003"
"","  12.7093e-11","2.4795e-001","3.6058e-006","2.4510e-001","-9.6340e-003"
"","  13.6870e-11","2.4796e-001","3.8634e-006","2.4503e-001","-9.5783e-003"
"","  14.6646e-11","2.4796e-001","4.2747e-006","2.4495e-001","-9.5220e-003"
"","  15.6423e-11","2.4797e-001","4.5535e-006","2.4509e-001","-9.4661e-003"
"","  16.6199e-11","2.4797e-001","4.7261e-006","2.4547e-001","-9.4021e-003"
"","  17.5975e-11","2.4798e-001","4.7885e-006","2.4597e-001","-9.2691e-003"
"","  18.5752e-11","2.4798e-001","4.7441e-006","2.4655e-001","-9.2522e-003"
"","  19.5528e-11","2.4799e-001","4.6901e-006","2.4745e-001","-9.1961e-003"
"","  20.5305e-11","2.4799e-001","4.6393e-006","2.4858e-001","-9.0675e-003"
"","  21.5081e-11","2.4799e-001","4.5942e-006","2.4994e-001","-8.9219e-003"
