"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:19:02 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.C11 (at pin)"
"Probe 2: U15.B17 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4793e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4793e-001","5.5014e-007","2.4275e-001","-9.7711e-003"
"","   1.9550e-11","2.4793e-001","1.0206e-006","2.4275e-001","-9.7742e-003"
"","   2.9326e-11","2.4793e-001","1.4212e-006","2.4275e-001","-9.7769e-003"
"","   3.9101e-11","2.4794e-001","1.7622e-006","2.4275e-001","-9.7794e-003"
"","   4.8876e-11","2.4794e-001","2.0526e-006","2.4275e-001","-9.7816e-003"
"","   5.8651e-11","2.4794e-001","2.2998e-006","2.4275e-001","-9.7836e-003"
"","   6.8426e-11","2.4796e-001","2.5090e-006","2.4275e-001","-9.7784e-003"
"","   7.8202e-11","2.4800e-001","2.6979e-006","2.4275e-001","-9.7644e-003"
"","   8.7977e-11","2.4800e-001","2.8497e-006","2.4603e-001","-9.7505e-003"
"","   9.7752e-11","2.4801e-001","2.9088e-006","2.4587e-001","-9.7360e-003"
"","  10.7527e-11","2.4801e-001","3.0281e-006","2.4573e-001","-9.7087e-003"
"","  11.7302e-11","2.4802e-001","2.7402e-006","2.4560e-001","-9.6771e-003"
"","  12.7077e-11","2.4803e-001","3.5222e-006","2.4548e-001","-9.6423e-003"
"","  13.6853e-11","2.4805e-001","3.7410e-006","2.4538e-001","-9.5880e-003"
"","  14.6628e-11","2.4805e-001","4.1032e-006","2.4528e-001","-9.5316e-003"
"","  15.6403e-11","2.4803e-001","4.2983e-006","2.4555e-001","-9.4756e-003"
"","  16.6178e-11","2.4805e-001","4.8347e-006","2.4621e-001","-9.4139e-003"
