"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:19:36 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.B3 (at pin)"
"Probe 2: U15.A16 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4790e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4790e-001","6.4563e-007","2.4275e-001","-9.7724e-003"
"","   1.9553e-11","2.4790e-001","1.1833e-006","2.4275e-001","-9.7754e-003"
"","   2.9329e-11","2.4790e-001","1.6258e-006","2.4275e-001","-9.7781e-003"
"","   3.9106e-11","2.4789e-001","1.9911e-006","2.4275e-001","-9.7805e-003"
"","   4.8882e-11","2.4789e-001","2.2934e-006","2.4275e-001","-9.7827e-003"
"","   5.8658e-11","2.4791e-001","2.5402e-006","2.4275e-001","-9.7845e-003"
"","   6.8435e-11","2.4794e-001","2.7450e-006","2.4275e-001","-9.7770e-003"
"","   7.8211e-11","2.4796e-001","2.9138e-006","2.4275e-001","-9.7630e-003"
"","   8.7988e-11","2.4797e-001","3.0528e-006","2.4381e-001","-9.7490e-003"
"","   9.7764e-11","2.4798e-001","3.4176e-006","2.4480e-001","-9.7335e-003"
"","  10.7541e-11","2.4799e-001","3.5228e-006","2.4510e-001","-9.7042e-003"
"","  11.7317e-11","2.4799e-001","3.5294e-006","2.4515e-001","-9.6726e-003"
"","  12.7093e-11","2.4800e-001","3.7293e-006","2.4510e-001","-9.6348e-003"
"","  13.6870e-11","2.4801e-001","4.1057e-006","2.4503e-001","-9.5790e-003"
"","  14.6646e-11","2.4802e-001","4.4125e-006","2.4496e-001","-9.5227e-003"
"","  15.6423e-11","2.4802e-001","4.6012e-006","2.4510e-001","-9.4668e-003"
"","  16.6199e-11","2.4802e-001","4.6788e-006","2.4549e-001","-9.4029e-003"
"","  17.5975e-11","2.4802e-001","4.6045e-006","2.4598e-001","-9.2698e-003"
"","  18.5752e-11","2.4802e-001","4.5135e-006","2.4656e-001","-9.2528e-003"
"","  19.5528e-11","2.4803e-001","4.4251e-006","2.4747e-001","-9.1967e-003"
"","  20.5305e-11","2.4803e-001","4.4000e-006","2.4860e-001","-9.0681e-003"
"","  21.5081e-11","2.4803e-001","4.4076e-006","2.4995e-001","-8.9226e-003"
"","  22.4858e-11","2.4802e-001","4.4322e-006","2.5182e-001","-8.7643e-003"
"","  23.4634e-11","2.4801e-001","4.3878e-006","2.5393e-001","-8.5600e-003"
"","  24.4410e-11","2.4801e-001","4.3364e-006","2.5613e-001","-8.3439e-003"
"","  25.4187e-11","2.4801e-001","4.2979e-006","2.5853e-001","-8.1378e-003"
"","  26.3963e-11","2.4801e-001","4.2514e-006","2.6188e-001","-7.9299e-003"
"","  27.3740e-11","2.4800e-001","4.1847e-006","2.6435e-001","-7.7098e-003"
"","  28.3516e-11","2.4800e-001","4.0825e-006","2.6694e-001","-7.4830e-003"
"","  29.3292e-11","2.4800e-001","3.9514e-006","2.7098e-001","-7.1884e-003"
"","  30.3069e-11","2.4799e-001","3.8151e-006","2.7618e-001","-6.8483e-003"
"","  31.2845e-11","2.4799e-001","3.7037e-006","2.8206e-001","-6.5022e-003"
"","  32.2622e-11","2.4799e-001","3.6304e-006","2.8927e-001","-6.0927e-003"
"","  33.2398e-11","2.4798e-001","3.6140e-006","2.9722e-001","-5.6774e-003"
"","  34.2175e-11","2.4798e-001","3.6209e-006","3.0534e-001","-5.2604e-003"
"","  35.1951e-11","2.4798e-001","3.6137e-006","3.1360e-001","-4.8440e-003"
"","  36.1727e-11","2.4798e-001","3.5793e-006","3.2216e-001","-4.4240e-003"
"","  37.1504e-11","2.4797e-001","3.5405e-006","3.3097e-001","-3.9688e-003"
"","  38.1280e-11","2.4798e-001","3.4985e-006","3.4144e-001","-3.4430e-003"
"","  39.1057e-11","2.4798e-001","3.4633e-006","3.5373e-001","-2.9308e-003"
"","  40.0833e-11","2.4798e-001","3.4469e-006","3.6700e-001","-2.4184e-003"
"","  41.0609e-11","2.4798e-001","3.4350e-006","3.8209e-001","-1.8849e-003"
"","  42.0386e-11","2.4798e-001","3.4329e-006","3.9835e-001","-1.3792e-003"
"","  43.0162e-11","2.4798e-001","3.4467e-006","4.1505e-001","-8.9263e-004"
"","  43.9939e-11","2.4798e-001","3.4715e-006","4.3189e-001","-3.9849e-004"
"","  44.9715e-11","2.4876e-001","3.5079e-006","4.4908e-001","9.4139e-005"
"","  45.9491e-11","2.4917e-001","3.5535e-006","4.6681e-001","5.9339e-004"
"","  46.9268e-11","2.4933e-001","3.5911e-006","4.8596e-001","1.1563e-003"
"","  47.9044e-11","2.4941e-001","3.6151e-006","5.0605e-001","1.6622e-003"
"","  48.8821e-11","2.4955e-001","3.6244e-006","5.2640e-001","2.1582e-003"
"","  49.8597e-11","2.4961e-001","-1.2115e-005","5.4734e-001","2.6617e-003"
"","  50.8374e-11","2.4965e-001","-2.5455e-005","5.6836e-001","3.1075e-003"
"","  51.8150e-11","2.4979e-001","-2.7423e-005","5.8912e-001","3.5414e-003"
"","  52.7926e-11","2.4997e-001","-2.4527e-005","6.0984e-001","3.9195e-003"
"","  53.7703e-11","2.5023e-001","-2.3443e-005","6.3056e-001","4.3339e-003"
"","  54.7479e-11","2.5048e-001","-2.1089e-005","6.5134e-001","4.7518e-003"
"","  55.7256e-11","2.5069e-001","-1.7753e-005","6.7280e-001","5.1823e-003"
"","  56.7032e-11","2.5144e-001","-1.7254e-005","6.9398e-001","5.5293e-003"
"","  57.6808e-11","2.5274e-001","-1.7974e-005","7.1483e-001","5.8795e-003"
"","  58.6585e-11","2.5417e-001","-2.1062e-005","7.3559e-001","6.2189e-003"
"","  59.6361e-11","2.5564e-001","-2.5998e-005","7.5557e-001","6.4944e-003"
"","  60.6138e-11","2.5721e-001","-3.8796e-005","7.7497e-001","6.7432e-003"
"","  61.5914e-11","2.5908e-001","-5.2292e-005","7.9343e-001","6.9880e-003"
"","  62.5690e-11","2.6110e-001","-6.9826e-005","8.1183e-001","7.2387e-003"
"","  63.5467e-11","2.6288e-001","-9.1405e-005","8.3024e-001","7.5162e-003"
"","  64.5243e-11","2.6498e-001","-1.1205e-004","8.4866e-001","7.7694e-003"
"","  65.5020e-11","2.6786e-001","-1.3025e-004","8.6592e-001","7.9734e-003"
"","  66.4796e-11","2.7119e-001","-1.4957e-004","8.8259e-001","8.2130e-003"
"","  67.4573e-11","2.7511e-001","-1.8230e-004","8.9885e-001","8.4239e-003"
"","  68.4349e-11","2.7973e-001","-2.0078e-004","9.1387e-001","8.6160e-003"
"","  69.4125e-11","2.8493e-001","-2.1944e-004","9.2761e-001","8.7966e-003"
"","  70.3902e-11","2.9054e-001","-2.5823e-004","9.4065e-001","8.9901e-003"
"","  71.3678e-11","2.9658e-001","-3.1134e-004","9.5355e-001","9.1610e-003"
"","  72.3455e-11","3.0269e-001","-3.6613e-004","9.6678e-001","9.3209e-003"
"","  73.3231e-11","3.0941e-001","-4.3502e-004","9.7981e-001","9.4275e-003"
"","  74.3007e-11","3.1750e-001","-5.0925e-004","9.9197e-001","9.5039e-003"
"","  75.2784e-11","3.2619e-001","-5.7815e-004","1.0041e+000","9.6070e-003"
"","  76.2560e-11","3.3526e-001","-6.4298e-004","1.0161e+000","9.6795e-003"
"","  77.2337e-11","3.4564e-001","-7.0503e-004","1.0276e+000","9.7196e-003"
"","  78.2113e-11","3.5696e-001","-7.6160e-004","1.0383e+000","9.7806e-003"
"","  79.1890e-11","3.6887e-001","-8.3161e-004","1.0489e+000","9.8575e-003"
"","  80.1666e-11","3.8142e-001","-9.2084e-004","1.0589e+000","9.9595e-003"
"","  81.1442e-11","3.9492e-001","-1.0120e-003","1.0681e+000","1.0077e-002"
"","  82.1219e-11","4.0914e-001","-1.1179e-003","1.0763e+000","1.0145e-002"
"","  83.0995e-11","4.2444e-001","-1.2349e-003","1.0834e+000","1.0212e-002"
"","  84.0772e-11","4.4019e-001","-1.3493e-003","1.0903e+000","1.0300e-002"
"","  85.0548e-11","4.5596e-001","-1.4500e-003","1.0966e+000","1.0359e-002"
"","  86.0324e-11","4.7237e-001","-1.5440e-003","1.1021e+000","1.0400e-002"
"","  87.0101e-11","4.8926e-001","-1.6279e-003","1.1073e+000","1.0449e-002"
"","  87.9877e-11","5.0638e-001","-1.7137e-003","1.1126e+000","1.0531e-002"
"","  88.9654e-11","5.2400e-001","-1.7942e-003","1.1182e+000","1.0549e-002"
"","  89.9430e-11","5.4230e-001","-1.8647e-003","1.1240e+000","1.0575e-002"
"","  90.9207e-11","5.6135e-001","-1.9326e-003","1.1294e+000","1.0575e-002"
"","  91.8983e-11","5.8095e-001","-1.9950e-003","1.1343e+000","1.0596e-002"
"","  92.8759e-11","6.0055e-001","-2.0492e-003","1.1392e+000","1.0625e-002"
"","  93.8536e-11","6.2030e-001","-2.0904e-003","1.1437e+000","1.0636e-002"
"","  94.8312e-11","6.4040e-001","-2.1212e-003","1.1477e+000","1.0661e-002"
"","  95.8089e-11","6.6055e-001","-2.1364e-003","1.1515e+000","1.0709e-002"
"","  96.7865e-11","6.8059e-001","-2.1469e-003","1.1555e+000","1.0763e-002"
"","  97.7641e-11","7.0061e-001","-2.1405e-003","1.1588e+000","1.0825e-002"
"","  98.7418e-11","7.2084e-001","-2.1216e-003","1.1615e+000","1.0857e-002"
"","  99.7194e-11","7.4132e-001","-2.0957e-003","1.1637e+000","1.0868e-002"
""," 100.6971e-11","7.6177e-001","-2.0606e-003","1.1656e+000","1.0896e-002"
""," 101.6747e-11","7.8166e-001","-2.0153e-003","1.1671e+000","1.0923e-002"
""," 102.6524e-11","8.0148e-001","-1.9565e-003","1.1683e+000","1.0950e-002"
""," 103.6300e-11","8.2121e-001","-1.8970e-003","1.1693e+000","1.0980e-002"
""," 104.6076e-11","8.4011e-001","-1.8359e-003","1.1705e+000","1.1020e-002"
""," 105.5853e-11","8.5827e-001","-1.7748e-003","1.1719e+000","1.1046e-002"
""," 106.5629e-11","8.7605e-001","-1.6977e-003","1.1733e+000","1.1051e-002"
""," 107.5406e-11","8.9369e-001","-1.6175e-003","1.1743e+000","1.1064e-002"
""," 108.5182e-11","9.1109e-001","-1.5373e-003","1.1745e+000","1.1089e-002"
""," 109.4958e-11","9.2787e-001","-1.4493e-003","1.1743e+000","1.1136e-002"
""," 110.4735e-11","9.4384e-001","-1.3493e-003","1.1740e+000","1.1195e-002"
""," 111.4511e-11","9.5990e-001","-1.2489e-003","1.1734e+000","1.1269e-002"
""," 112.4288e-11","9.7575e-001","-1.1581e-003","1.1727e+000","1.1364e-002"
""," 113.4064e-11","9.9084e-001","-1.0812e-003","1.1719e+000","1.1446e-002"
""," 114.3840e-11","1.0053e+000","-1.0122e-003","1.1709e+000","1.1515e-002"
""," 115.3617e-11","1.0197e+000","-9.4084e-004","1.1695e+000","1.1571e-002"
""," 116.3393e-11","1.0331e+000","-8.8276e-004","1.1678e+000","1.1625e-002"
""," 117.3170e-11","1.0455e+000","-8.3540e-004","1.1660e+000","1.1711e-002"
