"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 01:54:25 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.H1 (at pin)"
"Probe 2: U15.D20 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","1.4970e+000",DC,"1.4970e+000",DC
"","   0.9779e-11","1.4970e+000","-1.3653e-008","1.4970e+000","1.3170e-004"
"","   1.9559e-11","1.4970e+000","-1.2553e-008","1.4970e+000","1.1101e-004"
"","   2.9338e-11","1.4970e+000","-1.1589e-008","1.4970e+000","9.1628e-005"
"","   3.9118e-11","1.4970e+000","-1.0724e-008","1.4970e+000","7.6544e-005"
"","   4.8897e-11","1.4970e+000","-1.4302e-008","1.4970e+000","6.7518e-005"
"","   5.8676e-11","1.4970e+000","-1.5714e-008","1.4970e+000","5.9432e-005"
"","   6.8456e-11","1.4970e+000","-1.4393e-008","1.4970e+000","5.4712e-005"
"","   7.8235e-11","1.4970e+000","-1.3209e-008","1.4970e+000","6.0635e-005"
"","   8.8014e-11","1.4970e+000","-1.2129e-008","1.4968e+000","6.8991e-005"
"","   9.7794e-11","1.4970e+000","-6.4617e-008","1.4960e+000","7.6942e-005"
"","  10.7573e-11","1.4970e+000","-5.8798e-008","1.4952e+000","8.4013e-005"
"","  11.7353e-11","1.4970e+000","-5.3667e-008","1.4945e+000","9.0327e-005"
"","  12.7132e-11","1.4970e+000","-4.7543e-008","1.4940e+000","9.5545e-005"
"","  13.6911e-11","1.4970e+000","-4.2679e-008","1.4936e+000","9.9260e-005"
"","  14.6691e-11","1.4970e+000","-3.9039e-008","1.4933e+000","1.0213e-004"
"","  15.6470e-11","1.4970e+000","-3.4202e-008","1.4932e+000","1.0441e-004"
"","  16.6250e-11","1.4970e+000","-3.4575e-008","1.4933e+000","1.0612e-004"
"","  17.6029e-11","1.4970e+000","-3.0834e-008","1.4935e+000","1.0990e-004"
"","  18.5808e-11","1.4970e+000","-3.5673e-008","1.4937e+000","1.1544e-004"
"","  19.5588e-11","1.4970e+000","-3.6761e-008","1.4939e+000","1.1982e-004"
"","  20.5367e-11","1.4970e+000","-2.8793e-008","1.4940e+000","1.2109e-004"
"","  21.5146e-11","1.4970e+000","-2.2325e-008","1.4942e+000","1.2081e-004"
"","  22.4926e-11","1.4970e+000","-1.7617e-008","1.4943e+000","1.1991e-004"
"","  23.4705e-11","1.4970e+000","-1.5441e-008","1.4945e+000","1.1872e-004"
"","  24.4485e-11","1.4970e+000","-1.1699e-008","1.4947e+000","1.2179e-004"
"","  25.4264e-11","1.4970e+000","-1.2526e-009","1.4948e+000","1.2469e-004"
"","  26.4043e-11","1.4970e+000","-1.6332e-009","1.4950e+000","1.2644e-004"
"","  27.3823e-11","1.4970e+000","-1.8417e-009","1.4951e+000","1.2617e-004"
"","  28.3602e-11","1.4970e+000","-5.9520e-009","1.4952e+000","1.1473e-004"
"","  29.3381e-11","1.4970e+000","-3.6322e-009","1.4952e+000","3.4052e-005"
