"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Etienne Bauermeister"
"Created on: 18 February 2008   Time: 02:00:33 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A6 (at pin)"
"Probe 2: U15.E14 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","1.2551e+000",DC,"1.2631e+000",DC
"","   0.9776e-11","1.2551e+000","1.7775e-008","1.2631e+000","9.8117e-003"
"","   1.9552e-11","1.2551e+000","4.3460e-008","1.2631e+000","9.7937e-003"
"","   2.9329e-11","1.2551e+000","6.4333e-008","1.2631e+000","9.7763e-003"
"","   3.9105e-11","1.2551e+000","7.6836e-008","1.2631e+000","9.7618e-003"
"","   4.8881e-11","1.2551e+000","9.1935e-008","1.2631e+000","9.7535e-003"
"","   5.8657e-11","1.2551e+000","4.0876e-007","1.2631e+000","9.7461e-003"
"","   6.8433e-11","1.2551e+000","3.9953e-007","1.2631e+000","9.7401e-003"
"","   7.8210e-11","1.2551e+000","3.7670e-007","1.2631e+000","9.7460e-003"
"","   8.7986e-11","1.2551e+000","2.5822e-007","1.2627e+000","9.7545e-003"
"","   9.7762e-11","1.2551e+000","1.3489e-007","1.2612e+000","9.7537e-003"
"","  10.7538e-11","1.2551e+000","1.6033e-007","1.2601e+000","9.7329e-003"
"","  11.7314e-11","1.2551e+000","1.8217e-007","1.2593e+000","9.7111e-003"
"","  12.7091e-11","1.2551e+000","2.2052e-007","1.2586e+000","9.6856e-003"
"","  13.6867e-11","1.2551e+000","2.0978e-007","1.2580e+000","9.6055e-003"
"","  14.6643e-11","1.2551e+000","2.0217e-007","1.2576e+000","9.5164e-003"
"","  15.6419e-11","1.2551e+000","2.1072e-007","1.2573e+000","9.4211e-003"
"","  16.6195e-11","1.2551e+000","1.9906e-007","1.2572e+000","9.3102e-003"
"","  17.5971e-11","1.2551e+000","1.9039e-007","1.2573e+000","9.1840e-003"
