"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Etienne Bauermeister"
"Created on: 18 February 2008   Time: 02:00:11 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.B6 (at pin)"
"Probe 2: U15.D14 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.5025e-001",DC,"2.4274e-001",DC
"","   0.9775e-11","2.5025e-001","1.5181e-007","2.4274e-001","-9.7269e-003"
"","   1.9551e-11","2.5025e-001","2.8188e-007","2.4274e-001","-9.7318e-003"
"","   2.9326e-11","2.5025e-001","3.9152e-007","2.4274e-001","-9.7361e-003"
"","   3.9101e-11","2.5025e-001","5.1508e-007","2.4274e-001","-9.7400e-003"
"","   4.8877e-11","2.5026e-001","6.2888e-007","2.4274e-001","-9.7435e-003"
"","   5.8652e-11","2.5026e-001","7.0204e-007","2.4274e-001","-9.7466e-003"
"","   6.8428e-11","2.5026e-001","7.3849e-007","2.4274e-001","-9.7424e-003"
"","   7.8203e-11","2.5027e-001","9.2672e-007","2.4274e-001","-9.7294e-003"
"","   8.7978e-11","2.5027e-001","1.0681e-006","2.4286e-001","-9.7163e-003"
"","   9.7754e-11","2.5027e-001","1.1447e-006","2.4432e-001","-9.7026e-003"
"","  10.7529e-11","2.5028e-001","1.1912e-006","2.4482e-001","-9.6760e-003"
"","  11.7304e-11","2.5028e-001","1.2476e-006","2.4491e-001","-9.6450e-003"
"","  12.7080e-11","2.5028e-001","1.2389e-006","2.4486e-001","-9.6108e-003"
"","  13.6855e-11","2.5028e-001","1.2277e-006","2.4475e-001","-9.5570e-003"
"","  14.6630e-11","2.5028e-001","1.3045e-006","2.4463e-001","-9.5012e-003"
"","  15.6406e-11","2.5028e-001","1.3227e-006","2.4458e-001","-9.4457e-003"
"","  16.6181e-11","2.5028e-001","1.2729e-006","2.4482e-001","-9.3845e-003"
"","  17.5956e-11","2.5028e-001","1.2075e-006","2.4522e-001","-9.1878e-003"
"","  18.5732e-11","2.5028e-001","1.1690e-006","2.4570e-001","-9.2105e-003"
"","  19.5507e-11","2.5028e-001","1.0971e-006","2.4639e-001","-9.1760e-003"
"","  20.5283e-11","2.5028e-001","1.0369e-006","2.4738e-001","-9.0651e-003"
"","  21.5058e-11","2.5028e-001","1.0431e-006","2.4855e-001","-8.9225e-003"
"","  22.4833e-11","2.5028e-001","1.0238e-006","2.5012e-001","-8.7713e-003"
"","  23.4609e-11","2.5028e-001","9.4007e-007","2.5209e-001","-8.5730e-003"
"","  24.4384e-11","2.5028e-001","8.7700e-007","2.5421e-001","-8.3569e-003"
"","  25.4159e-11","2.5028e-001","8.5604e-007","2.5645e-001","-8.1433e-003"
"","  26.3935e-11","2.5028e-001","8.2436e-007","2.5919e-001","-7.9350e-003"
"","  27.3710e-11","2.5027e-001","8.0833e-007","2.6247e-001","-7.7185e-003"
"","  28.3485e-11","2.5027e-001","8.2696e-007","2.6483e-001","-7.4895e-003"
"","  29.3261e-11","2.5027e-001","8.7420e-007","2.6789e-001","-7.2051e-003"
"","  30.3036e-11","2.5027e-001","8.2956e-007","2.7245e-001","-6.8702e-003"
"","  31.2812e-11","2.5027e-001","8.2361e-007","2.7780e-001","-6.5193e-003"
"","  32.2587e-11","2.5027e-001","8.6616e-007","2.8425e-001","-6.1137e-003"
"","  33.2362e-11","2.5027e-001","8.8160e-007","2.9179e-001","-5.6973e-003"
"","  34.2138e-11","2.5027e-001","9.0792e-007","2.9984e-001","-5.2809e-003"
"","  35.1913e-11","2.5028e-001","9.4868e-007","3.0801e-001","-4.7609e-003"
"","  36.1688e-11","2.5028e-001","1.0064e-006","3.1642e-001","-4.4405e-003"
"","  37.1464e-11","2.5028e-001","9.7114e-007","3.2507e-001","-4.0201e-003"
"","  38.1239e-11","2.5028e-001","9.7941e-007","3.3451e-001","-3.4841e-003"
"","  39.1014e-11","2.5028e-001","1.0248e-006","3.4598e-001","-2.9385e-003"
"","  40.0790e-11","2.5028e-001","1.0405e-006","3.5867e-001","-2.4300e-003"
"","  41.0565e-11","2.5028e-001","1.0473e-006","3.7278e-001","-1.8721e-003"
"","  42.0341e-11","2.5028e-001","1.0678e-006","3.8851e-001","-1.3425e-003"
"","  43.0116e-11","2.5028e-001","1.0995e-006","4.0487e-001","-8.4980e-004"
"","  43.9891e-11","2.5028e-001","1.0254e-006","4.2170e-001","-3.6379e-004"
"","  44.9667e-11","2.5028e-001","1.0212e-006","4.3887e-001","1.2770e-004"
"","  45.9442e-11","2.5028e-001","1.0425e-006","4.5589e-001","6.1489e-004"
"","  46.9217e-11","2.5028e-001","1.0349e-006","4.7397e-001","1.1844e-003"
"","  47.8993e-11","2.5028e-001","1.0188e-006","4.9392e-001","1.7305e-003"
"","  48.8768e-11","2.5028e-001","1.0190e-006","5.1425e-001","2.2261e-003"
"","  49.8543e-11","2.5028e-001","1.0304e-006","5.3505e-001","2.7642e-003"
"","  50.8319e-11","2.5028e-001","9.4692e-007","5.5633e-001","3.2332e-003"
"","  51.8094e-11","2.5028e-001","9.5206e-007","5.7739e-001","3.6563e-003"
"","  52.7870e-11","2.5028e-001","9.7272e-007","5.9807e-001","4.1318e-003"
"","  53.7645e-11","2.5028e-001","9.6445e-007","6.1869e-001","4.4434e-003"
"","  54.7420e-11","2.5028e-001","9.5055e-007","6.3925e-001","4.8467e-003"
"","  55.7196e-11","2.5028e-001","9.4940e-007","6.6021e-001","5.3260e-003"
"","  56.6971e-11","2.5028e-001","9.5151e-007","6.8182e-001","5.7136e-003"
"","  57.6746e-11","2.5028e-001","9.0531e-007","7.0298e-001","6.0384e-003"
"","  58.6522e-11","2.5028e-001","9.2589e-007","7.2403e-001","6.3995e-003"
"","  59.6297e-11","2.5028e-001","9.5883e-007","7.4469e-001","6.6839e-003"
"","  60.6072e-11","2.5054e-001","9.6307e-007","7.6444e-001","6.9099e-003"
"","  61.5848e-11","2.5090e-001","9.5006e-007","7.8356e-001","7.1372e-003"
"","  62.5623e-11","2.5118e-001","9.5955e-007","8.0177e-001","7.3808e-003"
"","  63.5398e-11","2.5135e-001","-1.0174e-006","8.1963e-001","7.6324e-003"
"","  64.5174e-11","2.5145e-001","-1.0197e-005","8.3807e-001","7.9320e-003"
"","  65.4949e-11","2.5149e-001","-1.7609e-005","8.5635e-001","8.1481e-003"
"","  66.4725e-11","2.5147e-001","-2.1136e-005","8.7325e-001","8.3454e-003"
"","  67.4500e-11","2.5146e-001","-2.1547e-005","8.8972e-001","8.5831e-003"
"","  68.4275e-11","2.5149e-001","-1.9977e-005","9.0541e-001","8.7569e-003"
"","  69.4051e-11","2.5160e-001","-1.7100e-005","9.1946e-001","8.9087e-003"
"","  70.3826e-11","2.5183e-001","-1.4147e-005","9.3239e-001","9.1264e-003"
"","  71.3601e-11","2.5223e-001","-1.8891e-005","9.4497e-001","9.2275e-003"
"","  72.3377e-11","2.5279e-001","-2.2535e-005","9.5771e-001","9.3929e-003"
"","  73.3152e-11","2.5353e-001","-2.3808e-005","9.7081e-001","9.5769e-003"
"","  74.2927e-11","2.5447e-001","-2.5432e-005","9.8358e-001","9.6230e-003"
"","  75.2703e-11","2.5553e-001","-2.9538e-005","9.9550e-001","9.6802e-003"
"","  76.2478e-11","2.5671e-001","-3.6569e-005","1.0075e+000","9.7768e-003"
"","  77.2254e-11","2.5805e-001","-4.7661e-005","1.0191e+000","9.7993e-003"
"","  78.2029e-11","2.5973e-001","-6.8089e-005","1.0298e+000","9.8188e-003"
"","  79.1804e-11","2.6141e-001","-8.8225e-005","1.0404e+000","9.8825e-003"
"","  80.1580e-11","2.6308e-001","-1.0608e-004","1.0503e+000","9.9881e-003"
"","  81.1355e-11","2.6506e-001","-1.2717e-004","1.0596e+000","1.0107e-002"
"","  82.1130e-11","2.6747e-001","-1.5311e-004","1.0688e+000","1.0236e-002"
"","  83.0906e-11","2.7039e-001","-1.7502e-004","1.0768e+000","1.0273e-002"
"","  84.0681e-11","2.7396e-001","-1.9880e-004","1.0834e+000","1.0338e-002"
"","  85.0456e-11","2.7815e-001","-2.3542e-004","1.0898e+000","1.0428e-002"
"","  86.0232e-11","2.8282e-001","-2.7665e-004","1.0957e+000","1.0458e-002"
"","  87.0007e-11","2.8786e-001","-3.2206e-004","1.1007e+000","1.0490e-002"
"","  87.9783e-11","2.9319e-001","-3.7707e-004","1.1057e+000","1.0582e-002"
"","  88.9558e-11","2.9877e-001","-4.4125e-004","1.1111e+000","1.0582e-002"
"","  89.9333e-11","3.0493e-001","-4.9972e-004","1.1171e+000","1.0617e-002"
"","  90.9109e-11","3.1189e-001","-5.5516e-004","1.1235e+000","1.0658e-002"
"","  91.8884e-11","3.1963e-001","-6.1522e-004","1.1293e+000","1.0603e-002"
"","  92.8659e-11","3.2833e-001","-6.7500e-004","1.1343e+000","1.0620e-002"
"","  93.8435e-11","3.3804e-001","-7.4157e-004","1.1395e+000","1.0660e-002"
