"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 12 February 2008   Time: 05:44:56 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A8 (at pin)"
"Probe 2: U15.C15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4783e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4783e-001","1.6047e-007","2.4275e-001","-9.7735e-003"
"","   1.9551e-11","2.4783e-001","2.9679e-007","2.4275e-001","-9.7765e-003"
"","   2.9326e-11","2.4783e-001","4.1020e-007","2.4275e-001","-9.7792e-003"
"","   3.9102e-11","2.4784e-001","5.0377e-007","2.4275e-001","-9.7815e-003"
"","   4.8877e-11","2.4784e-001","5.8082e-007","2.4275e-001","-9.7837e-003"
"","   5.8653e-11","2.4785e-001","6.4498e-007","2.4275e-001","-9.7856e-003"
"","   6.8428e-11","2.4785e-001","7.1286e-007","2.4275e-001","-9.7785e-003"
"","   7.8204e-11","2.4785e-001","8.0918e-007","2.4275e-001","-9.7645e-003"
"","   8.7979e-11","2.4785e-001","9.3794e-007","2.4349e-001","-9.7505e-003"
"","   9.7755e-11","2.4786e-001","1.0586e-006","2.4468e-001","-9.7352e-003"
"","  10.7530e-11","2.4786e-001","1.1452e-006","2.4507e-001","-9.7065e-003"
"","  11.7306e-11","2.4786e-001","1.1893e-006","2.4515e-001","-9.6749e-003"
"","  12.7081e-11","2.4787e-001","1.1953e-006","2.4512e-001","-9.6382e-003"
"","  13.6857e-11","2.4787e-001","1.1879e-006","2.4505e-001","-9.5827e-003"
"","  14.6632e-11","2.4786e-001","1.1821e-006","2.4498e-001","-9.5263e-003"
"","  15.6408e-11","2.4786e-001","1.1948e-006","2.4506e-001","-9.4703e-003"
"","  16.6183e-11","2.4786e-001","1.2089e-006","2.4541e-001","-9.4068e-003"
"","  17.5959e-11","2.4786e-001","1.2203e-006","2.4590e-001","-9.2470e-003"
"","  18.5734e-11","2.4786e-001","1.1997e-006","2.4645e-001","-9.2473e-003"
"","  19.5510e-11","2.4786e-001","1.1616e-006","2.4729e-001","-9.1986e-003"
"","  20.5285e-11","2.4786e-001","1.1151e-006","2.4839e-001","-9.0757e-003"
"","  21.5061e-11","2.4786e-001","1.0701e-006","2.4968e-001","-8.9309e-003"
"","  22.4836e-11","2.4786e-001","1.0422e-006","2.5145e-001","-8.7748e-003"
"","  23.4612e-11","2.4785e-001","1.0278e-006","2.5353e-001","-8.5733e-003"
"","  24.4387e-11","2.4785e-001","1.0146e-006","2.5572e-001","-8.3573e-003"
"","  25.4163e-11","2.4785e-001","1.0007e-006","2.5807e-001","-8.1482e-003"
"","  26.3938e-11","2.4785e-001","9.8062e-007","2.6129e-001","-7.9401e-003"
"","  27.3714e-11","2.4785e-001","9.5308e-007","2.6405e-001","-7.7227e-003"
"","  28.3489e-11","2.4785e-001","9.2917e-007","2.6649e-001","-7.4946e-003"
"","  29.3265e-11","2.4785e-001","9.1460e-007","2.7015e-001","-7.2021e-003"
"","  30.3040e-11","2.4785e-001","9.1280e-007","2.7517e-001","-6.8658e-003"
"","  31.2816e-11","2.4785e-001","9.1883e-007","2.8086e-001","-6.5181e-003"
"","  32.2591e-11","2.4785e-001","9.2738e-007","2.8781e-001","-6.1092e-003"
"","  33.2367e-11","2.4785e-001","9.3209e-007","2.9566e-001","-5.6940e-003"
"","  34.2142e-11","2.4785e-001","9.3136e-007","3.0379e-001","-5.2773e-003"
"","  35.1918e-11","2.4785e-001","9.2983e-007","3.1203e-001","-4.8201e-003"
"","  36.1693e-11","2.4785e-001","9.3158e-007","3.2053e-001","-4.4384e-003"
"","  37.1469e-11","2.4785e-001","9.3861e-007","3.2927e-001","-3.9996e-003"
"","  38.1244e-11","2.4785e-001","9.5029e-007","3.3932e-001","-3.4665e-003"
"","  39.1020e-11","2.4785e-001","9.6360e-007","3.5137e-001","-2.9433e-003"
"","  40.0795e-11","2.4785e-001","9.7460e-007","3.6440e-001","-2.4387e-003"
"","  41.0571e-11","2.4785e-001","9.8145e-007","3.7919e-001","-1.8950e-003"
"","  42.0346e-11","2.4785e-001","9.8359e-007","3.9531e-001","-1.3793e-003"
"","  43.0122e-11","2.4785e-001","9.8455e-007","4.1187e-001","-8.9171e-004"
"","  43.9897e-11","2.4808e-001","9.8643e-007","4.2896e-001","-4.0066e-004"
"","  44.9673e-11","2.4881e-001","9.9133e-007","4.4601e-001","9.1275e-005"
"","  45.9448e-11","2.4915e-001","9.9680e-007","4.6342e-001","5.8160e-004"
"","  46.9224e-11","2.4926e-001","-1.1881e-006","4.8219e-001","1.1462e-003"
"","  47.8999e-11","2.4941e-001","-2.3169e-005","5.0233e-001","1.6667e-003"
"","  48.8775e-11","2.4950e-001","-3.0003e-005","5.2262e-001","2.1545e-003"
"","  49.8550e-11","2.4953e-001","-2.8882e-005","5.4352e-001","2.6727e-003"
"","  50.8326e-11","2.4913e-001","-2.7698e-005","5.6468e-001","3.1262e-003"
"","  51.8101e-11","2.4916e-001","-2.5901e-005","5.8555e-001","3.5430e-003"
"","  52.7877e-11","2.4966e-001","-2.2643e-005","6.0625e-001","3.9555e-003"
"","  53.7652e-11","2.5019e-001","-2.3356e-005","6.2693e-001","4.3463e-003"
"","  54.7428e-11","2.5078e-001","-2.3422e-005","6.4757e-001","4.7526e-003"
"","  55.7203e-11","2.5156e-001","-2.7039e-005","6.6885e-001","5.2058e-003"
"","  56.6979e-11","2.5236e-001","-3.1785e-005","6.9025e-001","5.5667e-003"
"","  57.6754e-11","2.5346e-001","-3.6609e-005","7.1112e-001","5.9034e-003"
"","  58.6530e-11","2.5481e-001","-4.4935e-005","7.3201e-001","6.2544e-003"
"","  59.6305e-11","2.5625e-001","-5.5139e-005","7.5225e-001","6.5344e-003"
"","  60.6081e-11","2.5788e-001","-7.1907e-005","7.7168e-001","6.7743e-003"
"","  61.5856e-11","2.5991e-001","-9.4337e-005","7.9058e-001","7.0152e-003"
"","  62.5632e-11","2.6190e-001","-1.1897e-004","8.0876e-001","7.2656e-003"
"","  63.5407e-11","2.6361e-001","-1.4250e-004","8.2693e-001","7.5256e-003"
"","  64.5183e-11","2.6576e-001","-1.7283e-004","8.4550e-001","7.8039e-003"
"","  65.4958e-11","2.6883e-001","-2.0350e-004","8.6316e-001","8.0134e-003"
"","  66.4734e-11","2.7250e-001","-2.2081e-004","8.7981e-001","8.2315e-003"
"","  67.4509e-11","2.7690e-001","-2.4628e-004","8.9623e-001","8.4602e-003"
"","  68.4285e-11","2.8195e-001","-2.9353e-004","9.1154e-001","8.6457e-003"
"","  69.4060e-11","2.8786e-001","-3.4583e-004","9.2538e-001","8.8142e-003"
"","  70.3836e-11","2.9408e-001","-4.0707e-004","9.3837e-001","8.9981e-003"
"","  71.3611e-11","3.0011e-001","-4.7969e-004","9.5119e-001","9.1684e-003"
"","  72.3387e-11","3.0636e-001","-5.4750e-004","9.6419e-001","9.3251e-003"
"","  73.3162e-11","3.1341e-001","-6.1278e-004","9.7738e-001","9.4681e-003"
"","  74.2938e-11","3.2167e-001","-6.7541e-004","9.8979e-001","9.5264e-003"
"","  75.2713e-11","3.3100e-001","-7.3274e-004","1.0018e+000","9.6164e-003"
"","  76.2489e-11","3.4168e-001","-7.9566e-004","1.0139e+000","9.7032e-003"
"","  77.2264e-11","3.5367e-001","-8.8333e-004","1.0254e+000","9.7369e-003"
"","  78.2040e-11","3.6653e-001","-9.7535e-004","1.0360e+000","9.7829e-003"
"","  79.1815e-11","3.8002e-001","-1.0728e-003","1.0465e+000","9.8559e-003"
"","  80.1591e-11","3.9348e-001","-1.1813e-003","1.0565e+000","9.9594e-003"
"","  81.1366e-11","4.0741e-001","-1.2841e-003","1.0658e+000","1.0073e-002"
"","  82.1142e-11","4.2247e-001","-1.3778e-003","1.0746e+000","1.0168e-002"
