"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:56:25 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A3 (at pin)"
"Probe 2: U15.B16 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4786e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4786e-001","1.5428e-007","2.4275e-001","-9.7732e-003"
"","   1.9551e-11","2.4786e-001","2.8639e-007","2.4275e-001","-9.7762e-003"
"","   2.9326e-11","2.4786e-001","3.9714e-007","2.4275e-001","-9.7789e-003"
"","   3.9102e-11","2.4786e-001","4.8920e-007","2.4275e-001","-9.7813e-003"
"","   4.8877e-11","2.4787e-001","5.6671e-007","2.4275e-001","-9.7834e-003"
"","   5.8653e-11","2.4788e-001","6.3335e-007","2.4275e-001","-9.7854e-003"
"","   6.8428e-11","2.4788e-001","8.9276e-007","2.4275e-001","-9.7783e-003"
"","   7.8204e-11","2.4788e-001","9.7202e-007","2.4275e-001","-9.7643e-003"
"","   8.7979e-11","2.4788e-001","9.0406e-007","2.4349e-001","-9.7503e-003"
"","   9.7755e-11","2.4789e-001","1.0259e-006","2.4468e-001","-9.7350e-003"
"","  10.7530e-11","2.4789e-001","1.0821e-006","2.4507e-001","-9.7063e-003"
"","  11.7306e-11","2.4789e-001","1.1491e-006","2.4515e-001","-9.6747e-003"
"","  12.7081e-11","2.4789e-001","1.1742e-006","2.4512e-001","-9.6380e-003"
"","  13.6857e-11","2.4789e-001","1.2075e-006","2.4505e-001","-9.5825e-003"
"","  14.6632e-11","2.4789e-001","1.1829e-006","2.4498e-001","-9.5261e-003"
"","  15.6408e-11","2.4789e-001","1.2143e-006","2.4505e-001","-9.4701e-003"
"","  16.6183e-11","2.4789e-001","1.2031e-006","2.4541e-001","-9.4066e-003"
"","  17.5959e-11","2.4789e-001","1.1705e-006","2.4589e-001","-9.2468e-003"
"","  18.5734e-11","2.4789e-001","1.1567e-006","2.4644e-001","-9.2471e-003"
"","  19.5510e-11","2.4789e-001","1.1368e-006","2.4728e-001","-9.1984e-003"
"","  20.5285e-11","2.4789e-001","1.1157e-006","2.4839e-001","-9.0755e-003"
"","  21.5061e-11","2.4789e-001","1.0949e-006","2.4967e-001","-8.9307e-003"
"","  22.4836e-11","2.4789e-001","1.0669e-006","2.5145e-001","-8.7746e-003"
"","  23.4612e-11","2.4788e-001","1.0215e-006","2.5353e-001","-8.5731e-003"
"","  24.4387e-11","2.4788e-001","1.0050e-006","2.5572e-001","-8.3571e-003"
"","  25.4163e-11","2.4788e-001","9.8069e-007","2.5806e-001","-8.1481e-003"
"","  26.3938e-11","2.4788e-001","9.6703e-007","2.6129e-001","-7.9399e-003"
"","  27.3714e-11","2.4788e-001","9.4711e-007","2.6404e-001","-7.7226e-003"
"","  28.3489e-11","2.4788e-001","9.4045e-007","2.6648e-001","-7.4944e-003"
"","  29.3265e-11","2.4788e-001","9.2987e-007","2.7015e-001","-7.2020e-003"
"","  30.3040e-11","2.4788e-001","9.2222e-007","2.7517e-001","-6.8657e-003"
"","  31.2816e-11","2.4788e-001","9.1945e-007","2.8086e-001","-6.5180e-003"
"","  32.2591e-11","2.4788e-001","9.1819e-007","2.8781e-001","-6.1090e-003"
"","  33.2367e-11","2.4788e-001","9.1886e-007","2.9565e-001","-5.6938e-003"
"","  34.2142e-11","2.4788e-001","9.2458e-007","3.0379e-001","-5.2772e-003"
"","  35.1918e-11","2.4788e-001","9.3497e-007","3.1202e-001","-4.8200e-003"
"","  36.1693e-11","2.4788e-001","9.3951e-007","3.2052e-001","-4.4383e-003"
"","  37.1469e-11","2.4788e-001","9.4653e-007","3.2926e-001","-3.9995e-003"
"","  38.1244e-11","2.4788e-001","9.5081e-007","3.3931e-001","-3.4664e-003"
"","  39.1020e-11","2.4788e-001","9.5874e-007","3.5136e-001","-2.9432e-003"
