"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:56:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A9 (at pin)"
"Probe 2: U15.C14 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4781e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4781e-001","1.5428e-007","2.4275e-001","-9.7735e-003"
"","   1.9551e-11","2.4781e-001","2.8640e-007","2.4275e-001","-9.7764e-003"
"","   2.9326e-11","2.4781e-001","3.9715e-007","2.4275e-001","-9.7791e-003"
"","   3.9102e-11","2.4782e-001","4.8922e-007","2.4275e-001","-9.7815e-003"
"","   4.8877e-11","2.4782e-001","5.6567e-007","2.4275e-001","-9.7836e-003"
"","   5.8653e-11","2.4783e-001","6.2989e-007","2.4275e-001","-9.7856e-003"
"","   6.8428e-11","2.4783e-001","7.1224e-007","2.4275e-001","-9.7785e-003"
"","   7.8204e-11","2.4783e-001","8.1114e-007","2.4275e-001","-9.7645e-003"
"","   8.7979e-11","2.4783e-001","9.2535e-007","2.4349e-001","-9.7505e-003"
"","   9.7755e-11","2.4784e-001","1.0519e-006","2.4468e-001","-9.7352e-003"
"","  10.7530e-11","2.4784e-001","1.1369e-006","2.4507e-001","-9.7064e-003"
"","  11.7306e-11","2.4784e-001","1.1860e-006","2.4515e-001","-9.6748e-003"
"","  12.7081e-11","2.4785e-001","1.1967e-006","2.4512e-001","-9.6382e-003"
"","  13.6857e-11","2.4785e-001","1.1968e-006","2.4505e-001","-9.5826e-003"
"","  14.6632e-11","2.4785e-001","1.1929e-006","2.4498e-001","-9.5263e-003"
"","  15.6408e-11","2.4784e-001","1.2101e-006","2.4505e-001","-9.4703e-003"
"","  16.6183e-11","2.4784e-001","1.2196e-006","2.4541e-001","-9.4068e-003"
"","  17.5959e-11","2.4784e-001","1.2301e-006","2.4590e-001","-9.2469e-003"
"","  18.5734e-11","2.4784e-001","1.2105e-006","2.4645e-001","-9.2473e-003"
"","  19.5510e-11","2.4784e-001","1.1743e-006","2.4729e-001","-9.1986e-003"
"","  20.5285e-11","2.4784e-001","1.1294e-006","2.4839e-001","-9.0757e-003"
"","  21.5061e-11","2.4784e-001","1.0853e-006","2.4968e-001","-8.9308e-003"
"","  22.4836e-11","2.4784e-001","1.0549e-006","2.5145e-001","-8.7747e-003"
"","  23.4612e-11","2.4784e-001","1.0376e-006","2.5353e-001","-8.5732e-003"
"","  24.4387e-11","2.4783e-001","1.0206e-006","2.5572e-001","-8.3572e-003"
"","  25.4163e-11","2.4783e-001","1.0042e-006","2.5807e-001","-8.1482e-003"
"","  26.3938e-11","2.4783e-001","9.8371e-007","2.6129e-001","-7.9401e-003"
"","  27.3714e-11","2.4783e-001","9.5470e-007","2.6404e-001","-7.7227e-003"
"","  28.3489e-11","2.4783e-001","9.3102e-007","2.6648e-001","-7.4945e-003"
"","  29.3265e-11","2.4783e-001","9.1447e-007","2.7015e-001","-7.2021e-003"
"","  30.3040e-11","2.4783e-001","9.1132e-007","2.7517e-001","-6.8658e-003"
"","  31.2816e-11","2.4783e-001","9.1523e-007","2.8086e-001","-6.5181e-003"
"","  32.2591e-11","2.4783e-001","9.2138e-007","2.8781e-001","-6.1091e-003"
"","  33.2367e-11","2.4783e-001","9.2437e-007","2.9566e-001","-5.6939e-003"
"","  34.2142e-11","2.4783e-001","9.2554e-007","3.0379e-001","-5.2773e-003"
"","  35.1918e-11","2.4783e-001","9.2477e-007","3.1202e-001","-4.8201e-003"
"","  36.1693e-11","2.4783e-001","9.2629e-007","3.2053e-001","-4.4384e-003"
"","  37.1469e-11","2.4783e-001","9.3331e-007","3.2927e-001","-3.9996e-003"
"","  38.1244e-11","2.4783e-001","9.4468e-007","3.3932e-001","-3.4665e-003"
"","  39.1020e-11","2.4783e-001","9.5761e-007","3.5137e-001","-2.9433e-003"
"","  40.0795e-11","2.4783e-001","9.6986e-007","3.6440e-001","-2.4387e-003"
"","  41.0571e-11","2.4783e-001","9.7740e-007","3.7919e-001","-1.8950e-003"
"","  42.0346e-11","2.4783e-001","9.8082e-007","3.9530e-001","-1.3793e-003"
"","  43.0122e-11","2.4783e-001","9.8300e-007","4.1186e-001","-8.9169e-004"
"","  43.9897e-11","2.4820e-001","9.8562e-007","4.2895e-001","-4.0064e-004"
"","  44.9673e-11","2.4887e-001","9.9091e-007","4.4601e-001","9.1295e-005"
"","  45.9448e-11","2.4918e-001","9.9679e-007","4.6341e-001","5.8163e-004"
"","  46.9224e-11","2.4928e-001","-3.8669e-006","4.8219e-001","1.1462e-003"
"","  47.8999e-11","2.4942e-001","-2.4275e-005","5.0233e-001","1.6667e-003"
"","  48.8775e-11","2.4951e-001","-2.9826e-005","5.2261e-001","2.1545e-003"
"","  49.8550e-11","2.4951e-001","-2.8116e-005","5.4352e-001","2.6727e-003"
"","  50.8326e-11","2.4911e-001","-2.7347e-005","5.6468e-001","3.1262e-003"
"","  51.8101e-11","2.4921e-001","-2.5373e-005","5.8555e-001","3.5430e-003"
"","  52.7877e-11","2.4974e-001","-2.2258e-005","6.0624e-001","3.9555e-003"
"","  53.7652e-11","2.5026e-001","-2.4011e-005","6.2693e-001","4.3463e-003"
"","  54.7428e-11","2.5087e-001","-2.4674e-005","6.4757e-001","4.7526e-003"
"","  55.7203e-11","2.5167e-001","-2.8619e-005","6.6885e-001","5.2058e-003"
"","  56.6979e-11","2.5248e-001","-3.2636e-005","6.9025e-001","5.5667e-003"
"","  57.6754e-11","2.5364e-001","-3.7664e-005","7.1111e-001","5.9034e-003"
"","  58.6530e-11","2.5503e-001","-4.6096e-005","7.3201e-001","6.2544e-003"
"","  59.6305e-11","2.5653e-001","-5.6792e-005","7.5225e-001","6.5344e-003"
"","  60.6081e-11","2.5821e-001","-7.4428e-005","7.7168e-001","6.7743e-003"
"","  61.5856e-11","2.6035e-001","-9.7245e-005","7.9057e-001","7.0152e-003"
"","  62.5632e-11","2.6228e-001","-1.2140e-004","8.0875e-001","7.2656e-003"
"","  63.5407e-11","2.6400e-001","-1.4497e-004","8.2693e-001","7.5257e-003"
"","  64.5183e-11","2.6631e-001","-1.7755e-004","8.4550e-001","7.8039e-003"
"","  65.4958e-11","2.6951e-001","-2.0527e-004","8.6316e-001","8.0134e-003"
"","  66.4734e-11","2.7331e-001","-2.2277e-004","8.7981e-001","8.2315e-003"
"","  67.4509e-11","2.7782e-001","-2.5146e-004","8.9623e-001","8.4602e-003"
"","  68.4285e-11","2.8306e-001","-3.0061e-004","9.1154e-001","8.6457e-003"
"","  69.4060e-11","2.8907e-001","-3.5323e-004","9.2538e-001","8.8142e-003"
"","  70.3836e-11","2.9532e-001","-4.1647e-004","9.3837e-001","8.9981e-003"
"","  71.3611e-11","3.0138e-001","-4.8910e-004","9.5119e-001","9.1685e-003"
"","  72.3387e-11","3.0775e-001","-5.5608e-004","9.6418e-001","9.3251e-003"
"","  73.3162e-11","3.1502e-001","-6.2108e-004","9.7738e-001","9.4681e-003"
"","  74.2938e-11","3.2349e-001","-6.8408e-004","9.8979e-001","9.5264e-003"
"","  75.2713e-11","3.3305e-001","-7.4199e-004","1.0018e+000","9.6165e-003"
"","  76.2489e-11","3.4400e-001","-8.0912e-004","1.0139e+000","9.7032e-003"
"","  77.2264e-11","3.5617e-001","-8.9957e-004","1.0253e+000","9.7369e-003"
"","  78.2040e-11","3.6917e-001","-9.9202e-004","1.0360e+000","9.7830e-003"
"","  79.1815e-11","3.8276e-001","-1.0917e-003","1.0465e+000","9.8560e-003"
"","  80.1591e-11","3.9629e-001","-1.2001e-003","1.0565e+000","9.9595e-003"
"","  81.1366e-11","4.1040e-001","-1.3017e-003","1.0658e+000","1.0073e-002"
"","  82.1142e-11","4.2572e-001","-1.3962e-003","1.0746e+000","1.0168e-002"
"","  83.0917e-11","4.4211e-001","-1.4837e-003","1.0819e+000","1.0218e-002"
"","  84.0693e-11","4.5912e-001","-1.5633e-003","1.0886e+000","1.0301e-002"
"","  85.0468e-11","4.7717e-001","-1.6477e-003","1.0950e+000","1.0371e-002"
"","  86.0244e-11","4.9584e-001","-1.7448e-003","1.1005e+000","1.0413e-002"
"","  87.0019e-11","5.1489e-001","-1.8246e-003","1.1054e+000","1.0464e-002"
"","  87.9795e-11","5.3416e-001","-1.8933e-003","1.1105e+000","1.0529e-002"
"","  88.9570e-11","5.5332e-001","-1.9532e-003","1.1160e+000","1.0561e-002"
"","  89.9346e-11","5.7311e-001","-1.9932e-003","1.1218e+000","1.0585e-002"
