"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:02:00 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.P7 (at pin)"
"Probe 2: U15.A29 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4782e-001",DC,"2.4275e-001",DC
"","   0.9779e-11","2.4782e-001","1.5380e-007","2.4275e-001","-9.7804e-003"
"","   1.9557e-11","2.4782e-001","2.8574e-007","2.4275e-001","-9.7831e-003"
"","   2.9336e-11","2.4782e-001","3.9678e-007","2.4275e-001","-9.7855e-003"
"","   3.9114e-11","2.4782e-001","4.8912e-007","2.4275e-001","-9.7876e-003"
"","   4.8893e-11","2.4783e-001","5.6768e-007","2.4275e-001","-9.7896e-003"
"","   5.8671e-11","2.4784e-001","6.3357e-007","2.4275e-001","-9.7910e-003"
"","   6.8450e-11","2.4784e-001","7.0308e-007","2.4275e-001","-9.7825e-003"
"","   7.8228e-11","2.4785e-001","7.9638e-007","2.4275e-001","-9.7684e-003"
"","   8.8007e-11","2.4785e-001","8.7121e-007","2.4551e-001","-9.7542e-003"
"","   9.7785e-11","2.4785e-001","9.2205e-007","2.4539e-001","-9.7374e-003"
"","  10.7564e-11","2.4786e-001","9.5991e-007","2.4528e-001","-9.7073e-003"
"","  11.7342e-11","2.4787e-001","9.8726e-007","2.4519e-001","-9.6757e-003"
"","  12.7121e-11","2.4787e-001","1.0046e-006","2.4510e-001","-9.6361e-003"
"","  13.6899e-11","2.4787e-001","9.8719e-007","2.4502e-001","-9.5793e-003"
"","  14.6678e-11","2.4787e-001","9.5362e-007","2.4497e-001","-9.5230e-003"
"","  15.6456e-11","2.4787e-001","9.2702e-007","2.4587e-001","-9.4668e-003"
"","  16.6235e-11","2.4787e-001","9.0714e-007","2.4641e-001","-9.4019e-003"
"","  17.6013e-11","2.4787e-001","9.0190e-007","2.4695e-001","-9.3458e-003"
"","  18.5792e-11","2.4786e-001","9.8774e-007","2.4762e-001","-9.2739e-003"
"","  19.5570e-11","2.4786e-001","1.0472e-006","2.4882e-001","-9.1923e-003"
"","  20.5349e-11","2.4786e-001","1.0744e-006","2.5006e-001","-9.0545e-003"
"","  21.5127e-11","2.4786e-001","1.0914e-006","2.5168e-001","-8.9070e-003"
"","  22.4906e-11","2.4786e-001","1.1116e-006","2.5403e-001","-8.7459e-003"
"","  23.4684e-11","2.4786e-001","1.1299e-006","2.5638e-001","-8.5400e-003"
"","  24.4463e-11","2.4786e-001","1.1558e-006","2.5874e-001","-8.3670e-003"
"","  25.4241e-11","2.4786e-001","1.1903e-006","2.6151e-001","-8.1657e-003"
"","  26.4020e-11","2.4786e-001","1.2042e-006","2.6431e-001","-7.9569e-003"
"","  27.3798e-11","2.4786e-001","1.2068e-006","2.6741e-001","-7.7417e-003"
"","  28.3577e-11","2.4786e-001","1.1959e-006","2.7107e-001","-7.5246e-003"
"","  29.3356e-11","2.4786e-001","1.1755e-006","2.7708e-001","-7.2268e-003"
"","  30.3134e-11","2.4786e-001","1.1495e-006","2.8338e-001","-6.9018e-003"
"","  31.2913e-11","2.4786e-001","1.1056e-006","2.9034e-001","-6.5706e-003"
"","  32.2691e-11","2.4785e-001","1.0654e-006","2.9908e-001","-6.1656e-003"
