"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:02:37 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.P8 (at pin)"
"Probe 2: U15.B26 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4780e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4780e-001","1.5453e-007","2.4275e-001","-9.7727e-003"
"","   1.9551e-11","2.4780e-001","2.8649e-007","2.4275e-001","-9.7757e-003"
"","   2.9326e-11","2.4780e-001","3.9740e-007","2.4275e-001","-9.7784e-003"
"","   3.9102e-11","2.4780e-001","4.9220e-007","2.4275e-001","-9.7808e-003"
"","   4.8877e-11","2.4780e-001","5.7036e-007","2.4275e-001","-9.7830e-003"
"","   5.8653e-11","2.4781e-001","6.3599e-007","2.4275e-001","-9.7849e-003"
"","   6.8428e-11","2.4781e-001","8.6645e-007","2.4275e-001","-9.7796e-003"
"","   7.8204e-11","2.4781e-001","1.0098e-006","2.4275e-001","-9.7656e-003"
"","   8.7979e-11","2.4782e-001","1.0540e-006","2.4284e-001","-9.7516e-003"
"","   9.7755e-11","2.4782e-001","1.1184e-006","2.4413e-001","-9.7371e-003"
"","  10.7530e-11","2.4783e-001","1.1673e-006","2.4472e-001","-9.7096e-003"
"","  11.7305e-11","2.4783e-001","1.1875e-006","2.4496e-001","-9.6780e-003"
"","  12.7081e-11","2.4783e-001","1.2495e-006","2.4504e-001","-9.6431e-003"
"","  13.6856e-11","2.4783e-001","1.2658e-006","2.4503e-001","-9.5887e-003"
"","  14.6632e-11","2.4783e-001","1.2472e-006","2.4498e-001","-9.5322e-003"
"","  15.6407e-11","2.4783e-001","1.1866e-006","2.4498e-001","-9.4762e-003"
"","  16.6183e-11","2.4783e-001","1.1586e-006","2.4522e-001","-9.4144e-003"
"","  17.5958e-11","2.4783e-001","1.1239e-006","2.4561e-001","-9.2130e-003"
"","  18.5734e-11","2.4783e-001","1.0955e-006","2.4609e-001","-9.2234e-003"
"","  19.5509e-11","2.4782e-001","1.0809e-006","2.4676e-001","-9.1911e-003"
"","  20.5285e-11","2.4782e-001","1.0357e-006","2.4771e-001","-9.0848e-003"
"","  21.5060e-11","2.4782e-001","9.8493e-007","2.4884e-001","-8.9458e-003"
"","  22.4835e-11","2.4782e-001","9.6382e-007","2.5034e-001","-8.7969e-003"
"","  23.4611e-11","2.4782e-001","9.4808e-007","2.5222e-001","-8.5996e-003"
"","  24.4386e-11","2.4782e-001","9.4334e-007","2.5429e-001","-8.3834e-003"
"","  25.4162e-11","2.4782e-001","9.4239e-007","2.5649e-001","-8.1670e-003"
"","  26.3937e-11","2.4782e-001","9.2146e-007","2.5910e-001","-7.9558e-003"
"","  27.3713e-11","2.4782e-001","9.1666e-007","2.6244e-001","-7.7373e-003"
"","  28.3488e-11","2.4782e-001","9.2237e-007","2.6498e-001","-7.5053e-003"
"","  29.3264e-11","2.4782e-001","9.2926e-007","2.6795e-001","-7.2164e-003"
"","  30.3039e-11","2.4782e-001","9.4203e-007","2.7220e-001","-6.8783e-003"
"","  31.2814e-11","2.4782e-001","9.4943e-007","2.7724e-001","-6.5217e-003"
"","  32.2590e-11","2.4782e-001","9.4839e-007","2.8334e-001","-6.1101e-003"
"","  33.2365e-11","2.4782e-001","9.5900e-007","2.9054e-001","-5.6898e-003"
"","  34.2141e-11","2.4782e-001","9.6835e-007","2.9838e-001","-5.2710e-003"
"","  35.1916e-11","2.4782e-001","9.7570e-007","3.0646e-001","-4.7349e-003"
"","  36.1692e-11","2.4782e-001","9.8458e-007","3.1481e-001","-4.4102e-003"
"","  37.1467e-11","2.4782e-001","9.8731e-007","3.2342e-001","-4.0040e-003"
"","  38.1243e-11","2.4782e-001","9.8759e-007","3.3273e-001","-3.4689e-003"
"","  39.1018e-11","2.4782e-001","9.8585e-007","3.4386e-001","-2.9095e-003"
"","  40.0794e-11","2.4782e-001","9.8781e-007","3.5625e-001","-2.3882e-003"
