"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:05:26 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.R7 (at pin)"
"Probe 2: U15.B30 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4786e-001",DC,"2.4275e-001",DC
"","   0.9776e-11","2.4786e-001","1.5380e-007","2.4275e-001","-9.7796e-003"
"","   1.9552e-11","2.4786e-001","2.8569e-007","2.4275e-001","-9.7824e-003"
"","   2.9328e-11","2.4786e-001","3.9665e-007","2.4275e-001","-9.7848e-003"
"","   3.9104e-11","2.4786e-001","4.8894e-007","2.4275e-001","-9.7870e-003"
"","   4.8880e-11","2.4787e-001","5.6767e-007","2.4275e-001","-9.7890e-003"
"","   5.8656e-11","2.4788e-001","6.3350e-007","2.4275e-001","-9.7906e-003"
"","   6.8433e-11","2.4788e-001","7.0597e-007","2.4275e-001","-9.7821e-003"
"","   7.8209e-11","2.4789e-001","7.9369e-007","2.4275e-001","-9.7679e-003"
"","   8.7985e-11","2.4789e-001","8.6261e-007","2.4551e-001","-9.7538e-003"
"","   9.7761e-11","2.4789e-001","9.1424e-007","2.4539e-001","-9.7373e-003"
"","  10.7537e-11","2.4789e-001","9.5184e-007","2.4529e-001","-9.7072e-003"
"","  11.7313e-11","2.4789e-001","9.8083e-007","2.4519e-001","-9.6756e-003"
"","  12.7089e-11","2.4789e-001","1.0640e-006","2.4510e-001","-9.6356e-003"
"","  13.6865e-11","2.4789e-001","1.1430e-006","2.4497e-001","-9.5797e-003"
"","  14.6641e-11","2.4789e-001","1.1941e-006","2.4483e-001","-9.5234e-003"
"","  15.6417e-11","2.4789e-001","1.2222e-006","2.4538e-001","-9.4674e-003"
"","  16.6193e-11","2.4789e-001","1.2348e-006","2.4595e-001","-9.4022e-003"
"","  17.5969e-11","2.4789e-001","1.2347e-006","2.4652e-001","-9.3467e-003"
"","  18.5745e-11","2.4789e-001","1.2259e-006","2.4722e-001","-9.2747e-003"
"","  19.5522e-11","2.4789e-001","1.2301e-006","2.4844e-001","-9.1955e-003"
"","  20.5298e-11","2.4789e-001","1.2187e-006","2.4969e-001","-9.0581e-003"
"","  21.5074e-11","2.4789e-001","1.1971e-006","2.5134e-001","-8.9104e-003"
"","  22.4850e-11","2.4789e-001","1.1696e-006","2.5358e-001","-8.7393e-003"
"","  23.4626e-11","2.4789e-001","1.1402e-006","2.5584e-001","-8.5415e-003"
"","  24.4402e-11","2.4788e-001","1.1218e-006","2.5802e-001","-8.3454e-003"
"","  25.4178e-11","2.4788e-001","1.1058e-006","2.6067e-001","-8.1468e-003"
"","  26.3954e-11","2.4788e-001","1.0829e-006","2.6321e-001","-7.9395e-003"
"","  27.3730e-11","2.4788e-001","1.0546e-006","2.6599e-001","-7.7266e-003"
"","  28.3506e-11","2.4788e-001","1.0248e-006","2.6929e-001","-7.5147e-003"
"","  29.3282e-11","2.4788e-001","9.9647e-007","2.7495e-001","-7.2145e-003"
"","  30.3058e-11","2.4788e-001","9.6996e-007","2.8083e-001","-6.8890e-003"
"","  31.2834e-11","2.4788e-001","9.5440e-007","2.8780e-001","-6.5548e-003"
"","  32.2611e-11","2.4788e-001","9.3880e-007","2.9569e-001","-6.1481e-003"
"","  33.2387e-11","2.4788e-001","9.2326e-007","3.0372e-001","-5.7288e-003"
"","  34.2163e-11","2.4788e-001","9.1030e-007","3.1152e-001","-5.3225e-003"
"","  35.1939e-11","2.4788e-001","9.0103e-007","3.1983e-001","-4.9013e-003"
"","  36.1715e-11","2.4788e-001","8.9715e-007","3.2843e-001","-4.4567e-003"
"","  37.1491e-11","2.4788e-001","8.9813e-007","3.3706e-001","-4.0283e-003"
"","  38.1267e-11","2.4788e-001","8.9997e-007","3.4950e-001","-3.5702e-003"
"","  39.1043e-11","2.4788e-001","9.0165e-007","3.6270e-001","-3.0820e-003"
