"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:07:27 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.R9 (at pin)"
"Probe 2: U15.D27 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4789e-001",DC,"2.4275e-001",DC
"","   0.9778e-11","2.4789e-001","1.5427e-007","2.4275e-001","-9.7710e-003"
"","   1.9556e-11","2.4789e-001","2.8607e-007","2.4275e-001","-9.7741e-003"
"","   2.9334e-11","2.4789e-001","3.9682e-007","2.4275e-001","-9.7768e-003"
"","   3.9112e-11","2.4790e-001","4.8894e-007","2.4275e-001","-9.7793e-003"
"","   4.8891e-11","2.4791e-001","5.6769e-007","2.4275e-001","-9.7815e-003"
"","   5.8669e-11","2.4791e-001","6.3282e-007","2.4275e-001","-9.7834e-003"
"","   6.8447e-11","2.4792e-001","7.2513e-007","2.4275e-001","-9.7752e-003"
"","   7.8225e-11","2.4792e-001","8.1129e-007","2.4275e-001","-9.7613e-003"
"","   8.8003e-11","2.4792e-001","8.7587e-007","2.4429e-001","-9.7474e-003"
"","   9.7781e-11","2.4792e-001","9.2302e-007","2.4540e-001","-9.7313e-003"
"","  10.7559e-11","2.4793e-001","9.6095e-007","2.4527e-001","-9.7021e-003"
"","  11.7337e-11","2.4793e-001","1.0493e-006","2.4516e-001","-9.6705e-003"
"","  12.7115e-11","2.4793e-001","1.1117e-006","2.4506e-001","-9.6320e-003"
"","  13.6893e-11","2.4793e-001","1.1577e-006","2.4415e-001","-9.5764e-003"
"","  14.6672e-11","2.4793e-001","1.1826e-006","2.4479e-001","-9.5201e-003"
"","  15.6450e-11","2.4793e-001","1.1939e-006","2.4515e-001","-9.4642e-003"
"","  16.6228e-11","2.4793e-001","1.2055e-006","2.4571e-001","-9.3994e-003"
"","  17.6006e-11","2.4793e-001","1.2205e-006","2.4626e-001","-9.3309e-003"
"","  18.5784e-11","2.4793e-001","1.2238e-006","2.4687e-001","-9.2723e-003"
"","  19.5562e-11","2.4793e-001","1.2142e-006","2.4794e-001","-9.1934e-003"
"","  20.5340e-11","2.4792e-001","1.1951e-006","2.4905e-001","-9.0585e-003"
"","  21.5118e-11","2.4792e-001","1.1719e-006","2.5041e-001","-8.9108e-003"
"","  22.4896e-11","2.4792e-001","1.1589e-006","2.5258e-001","-8.6934e-003"
"","  23.4675e-11","2.4792e-001","1.1387e-006","2.5476e-001","-8.5414e-003"
"","  24.4453e-11","2.4792e-001","1.1156e-006","2.5687e-001","-8.3477e-003"
"","  25.4231e-11","2.4792e-001","1.0867e-006","2.5933e-001","-8.1502e-003"
"","  26.4009e-11","2.4792e-001","1.0569e-006","2.6200e-001","-7.9434e-003"
"","  27.3787e-11","2.4792e-001","1.0328e-006","2.6441e-001","-7.7295e-003"
"","  28.3565e-11","2.4791e-001","1.0132e-006","2.6732e-001","-7.5166e-003"
"","  29.3343e-11","2.4791e-001","9.9286e-007","2.7236e-001","-7.2135e-003"
"","  30.3121e-11","2.4791e-001","9.7217e-007","2.7814e-001","-6.8844e-003"
"","  31.2899e-11","2.4791e-001","9.5268e-007","2.8512e-001","-6.5507e-003"
"","  32.2678e-11","2.4791e-001","9.3689e-007","2.9237e-001","-6.1419e-003"
"","  33.2456e-11","2.4791e-001","9.2754e-007","3.0003e-001","-5.7179e-003"
"","  34.2234e-11","2.4791e-001","9.1951e-007","3.0740e-001","-5.3094e-003"
"","  35.2012e-11","2.4791e-001","9.1385e-007","3.1551e-001","-4.8882e-003"
"","  36.1790e-11","2.4791e-001","9.0895e-007","3.2367e-001","-4.4367e-003"
"","  37.1568e-11","2.4791e-001","9.0598e-007","3.3213e-001","-4.0073e-003"
"","  38.1346e-11","2.4791e-001","9.0753e-007","3.4340e-001","-3.5445e-003"
"","  39.1124e-11","2.4791e-001","9.1185e-007","3.5669e-001","-3.0524e-003"
"","  40.0902e-11","2.4791e-001","9.1680e-007","3.6986e-001","-2.5751e-003"
"","  41.0681e-11","2.4792e-001","9.2070e-007","3.8603e-001","-2.0800e-003"
"","  42.0459e-11","2.4792e-001","9.2458e-007","4.0290e-001","-1.5706e-003"
"","  43.0237e-11","2.4792e-001","9.3134e-007","4.1860e-001","-1.0384e-003"
"","  44.0015e-11","2.4792e-001","9.4008e-007","4.3510e-001","-5.3575e-004"
"","  44.9793e-11","2.4792e-001","9.4884e-007","4.5303e-001","-1.3677e-005"
"","  45.9571e-11","2.4792e-001","9.5721e-007","4.6992e-001","4.6939e-004"
"","  46.9349e-11","2.4792e-001","9.6489e-007","4.8842e-001","9.5404e-004"
"","  47.9127e-11","2.4850e-001","9.7126e-007","5.0888e-001","1.4169e-003"
"","  48.8905e-11","2.4935e-001","9.7866e-007","5.2851e-001","1.8853e-003"
"","  49.8683e-11","2.4960e-001","9.8504e-007","5.4895e-001","2.3273e-003"
"","  50.8462e-11","2.4969e-001","-5.0582e-006","5.7022e-001","2.7643e-003"
"","  51.8240e-11","2.4972e-001","-3.3596e-005","5.9125e-001","3.2453e-003"
"","  52.8018e-11","2.4967e-001","-3.6525e-005","6.1214e-001","3.6734e-003"
"","  53.7796e-11","2.4954e-001","-3.3552e-005","6.3352e-001","4.0833e-003"
"","  54.7574e-11","2.4886e-001","-2.9135e-005","6.5382e-001","4.5275e-003"
"","  55.7352e-11","2.4917e-001","-2.3890e-005","6.7440e-001","4.9201e-003"
"","  56.7130e-11","2.4976e-001","-1.6328e-005","6.9462e-001","5.2577e-003"
"","  57.6908e-11","2.5044e-001","-1.7644e-005","7.1509e-001","5.6153e-003"
"","  58.6686e-11","2.5145e-001","-2.1376e-005","7.3494e-001","5.9628e-003"
"","  59.6465e-11","2.5268e-001","-2.5701e-005","7.5448e-001","6.2457e-003"
"","  60.6243e-11","2.5368e-001","-3.0112e-005","7.7492e-001","6.5371e-003"
"","  61.6021e-11","2.5494e-001","-4.0254e-005","7.9413e-001","6.7997e-003"
"","  62.5799e-11","2.5642e-001","-5.8191e-005","8.1252e-001","7.0541e-003"
"","  63.5577e-11","2.5800e-001","-7.1325e-005","8.3192e-001","7.3329e-003"
"","  64.5355e-11","2.5968e-001","-9.1562e-005","8.5006e-001","7.5877e-003"
"","  65.5133e-11","2.6140e-001","-1.1560e-004","8.6646e-001","7.8298e-003"
"","  66.4911e-11","2.6328e-001","-1.3843e-004","8.8340e-001","8.0591e-003"
"","  67.4689e-11","2.6526e-001","-1.6096e-004","8.9999e-001","8.3049e-003"
"","  68.4467e-11","2.6809e-001","-1.8844e-004","9.1463e-001","8.5176e-003"
"","  69.4246e-11","2.7194e-001","-2.0984e-004","9.2895e-001","8.7130e-003"
"","  70.4024e-11","2.7662e-001","-2.3062e-004","9.4249e-001","8.9120e-003"
"","  71.3802e-11","2.8189e-001","-2.6729e-004","9.5536e-001","9.0842e-003"
"","  72.3580e-11","2.8791e-001","-3.2500e-004","9.6927e-001","9.2115e-003"
"","  73.3358e-11","2.9429e-001","-3.8822e-004","9.8280e-001","9.3435e-003"
"","  74.3136e-11","3.0064e-001","-4.6302e-004","9.9538e-001","9.4694e-003"
"","  75.2914e-11","3.0684e-001","-5.3645e-004","1.0077e+000","9.5567e-003"
"","  76.2692e-11","3.1323e-001","-6.0488e-004","1.0202e+000","9.6466e-003"
"","  77.2470e-11","3.2060e-001","-6.6491e-004","1.0317e+000","9.7452e-003"
"","  78.2249e-11","3.2982e-001","-7.2553e-004","1.0426e+000","9.8136e-003"
"","  79.2027e-11","3.4014e-001","-7.7672e-004","1.0535e+000","9.8754e-003"
"","  80.1805e-11","3.5245e-001","-8.3954e-004","1.0632e+000","9.9708e-003"
"","  81.1583e-11","3.6620e-001","-9.3225e-004","1.0714e+000","1.0052e-002"
"","  82.1361e-11","3.8061e-001","-1.0265e-003","1.0796e+000","1.0110e-002"
"","  83.1139e-11","3.9519e-001","-1.1376e-003","1.0871e+000","1.0183e-002"
"","  84.0917e-11","4.0987e-001","-1.2642e-003","1.0934e+000","1.0243e-002"
"","  85.0695e-11","4.2474e-001","-1.3783e-003","1.0999e+000","1.0311e-002"
"","  86.0473e-11","4.4005e-001","-1.4688e-003","1.1063e+000","1.0382e-002"
"","  87.0252e-11","4.5618e-001","-1.5638e-003","1.1118e+000","1.0431e-002"
"","  88.0030e-11","4.7342e-001","-1.6432e-003","1.1169e+000","1.0482e-002"
"","  88.9808e-11","4.9213e-001","-1.7072e-003","1.1227e+000","1.0531e-002"
"","  89.9586e-11","5.1162e-001","-1.7843e-003","1.1283e+000","1.0583e-002"
"","  90.9364e-11","5.3213e-001","-1.8561e-003","1.1334e+000","1.0616e-002"
"","  91.9142e-11","5.5327e-001","-1.9160e-003","1.1386e+000","1.0647e-002"
"","  92.8920e-11","5.7419e-001","-1.9730e-003","1.1430e+000","1.0688e-002"
"","  93.8698e-11","5.9508e-001","-2.0276e-003","1.1471e+000","1.0700e-002"
"","  94.8476e-11","6.1643e-001","-2.0648e-003","1.1515e+000","1.0712e-002"
"","  95.8254e-11","6.3760e-001","-2.0859e-003","1.1553e+000","1.0744e-002"
"","  96.8033e-11","6.5889e-001","-2.0931e-003","1.1591e+000","1.0771e-002"
"","  97.7811e-11","6.8047e-001","-2.0884e-003","1.1627e+000","1.0787e-002"
"","  98.7589e-11","7.0221e-001","-2.0689e-003","1.1661e+000","1.0807e-002"
"","  99.7367e-11","7.2434e-001","-2.0406e-003","1.1689e+000","1.0824e-002"
""," 100.7145e-11","7.4639e-001","-2.0102e-003","1.1714e+000","1.0829e-002"
""," 101.6923e-11","7.6811e-001","-1.9652e-003","1.1737e+000","1.0853e-002"
""," 102.6701e-11","7.8992e-001","-1.9241e-003","1.1755e+000","1.0908e-002"
""," 103.6479e-11","8.1115e-001","-1.8792e-003","1.1769e+000","1.0941e-002"
""," 104.6258e-11","8.3146e-001","-1.8204e-003","1.1786e+000","1.0960e-002"
""," 105.6036e-11","8.5113e-001","-1.7656e-003","1.1800e+000","1.0981e-002"
""," 106.5814e-11","8.7038e-001","-1.7115e-003","1.1810e+000","1.0997e-002"
""," 107.5592e-11","8.8884e-001","-1.6367e-003","1.1818e+000","1.1003e-002"
""," 108.5370e-11","9.0620e-001","-1.5575e-003","1.1823e+000","1.1010e-002"
""," 109.5148e-11","9.2265e-001","-1.4904e-003","1.1823e+000","1.1022e-002"
""," 110.4926e-11","9.3898e-001","-1.4111e-003","1.1828e+000","1.1049e-002"
""," 111.4704e-11","9.5522e-001","-1.3201e-003","1.1840e+000","1.1085e-002"
""," 112.4482e-11","9.7064e-001","-1.2320e-003","1.1847e+000","1.1131e-002"
""," 113.4260e-11","9.8571e-001","-1.1478e-003","1.1847e+000","1.1171e-002"
""," 114.4039e-11","1.0006e+000","-1.0760e-003","1.1844e+000","1.1211e-002"
""," 115.3817e-11","1.0149e+000","-1.0171e-003","1.1832e+000","1.1262e-002"
""," 116.3595e-11","1.0285e+000","-9.6488e-004","1.1815e+000","1.1324e-002"
""," 117.3373e-11","1.0412e+000","-9.1485e-004","1.1800e+000","1.1398e-002"
""," 118.3151e-11","1.0529e+000","-8.7364e-004","1.1785e+000","1.1477e-002"
""," 119.2929e-11","1.0638e+000","-8.3862e-004","1.1775e+000","1.1543e-002"
""," 120.2707e-11","1.0735e+000","-8.0371e-004","1.1771e+000","1.1596e-002"
""," 121.2485e-11","1.0825e+000","-7.7087e-004","1.1770e+000","1.1653e-002"
""," 122.2263e-11","1.0909e+000","-7.3933e-004","1.1765e+000","1.1720e-002"
""," 123.2041e-11","1.0987e+000","-6.9365e-004","1.1755e+000","1.1804e-002"
""," 124.1820e-11","1.1060e+000","-6.4397e-004","1.1744e+000","1.1916e-002"
""," 125.1598e-11","1.1130e+000","-6.0213e-004","1.1738e+000","1.2040e-002"
""," 126.1376e-11","1.1200e+000","-5.5676e-004","1.1735e+000","1.2128e-002"
""," 127.1154e-11","1.1267e+000","-5.0926e-004","1.1737e+000","1.2206e-002"
""," 128.0932e-11","1.1333e+000","-4.7114e-004","1.1739e+000","1.2277e-002"
""," 129.0710e-11","1.1397e+000","-4.3458e-004","1.1740e+000","1.2335e-002"
""," 130.0488e-11","1.1459e+000","-3.9522e-004","1.1741e+000","1.2385e-002"
""," 131.0266e-11","1.1516e+000","-3.6882e-004","1.1751e+000","1.2441e-002"
""," 132.0045e-11","1.1569e+000","-3.5430e-004","1.1765e+000","1.2512e-002"
""," 132.9823e-11","1.1621e+000","-3.3799e-004","1.1788e+000","1.2603e-002"
""," 133.9601e-11","1.1669e+000","-3.2317e-004","1.1816e+000","1.2691e-002"
""," 134.9379e-11","1.1710e+000","-3.1057e-004","1.1836e+000","1.2763e-002"
""," 135.9157e-11","1.1750e+000","-3.0057e-004","1.1852e+000","1.2794e-002"
""," 136.8935e-11","1.1789e+000","-2.9413e-004","1.1869e+000","1.2803e-002"
""," 137.8713e-11","1.1825e+000","-2.8751e-004","1.1887e+000","1.2795e-002"
""," 138.8491e-11","1.1859e+000","-2.8067e-004","1.1909e+000","1.2707e-002"
""," 139.8269e-11","1.1891e+000","-2.7349e-004","1.1938e+000","1.2577e-002"
""," 140.8047e-11","1.1921e+000","-2.6586e-004","1.1969e+000","1.2422e-002"
""," 141.7826e-11","1.1949e+000","-2.5865e-004","1.2009e+000","1.2232e-002"
""," 142.7604e-11","1.1974e+000","-2.4999e-004","1.2051e+000","1.2027e-002"
""," 143.7382e-11","1.2002e+000","-2.3881e-004","1.2091e+000","1.1830e-002"
""," 144.7160e-11","1.2029e+000","-2.2589e-004","1.2116e+000","1.1607e-002"
""," 145.6938e-11","1.2055e+000","-2.0922e-004","1.2135e+000","1.1243e-002"
""," 146.6716e-11","1.2082e+000","-1.9763e-004","1.2151e+000","1.0858e-002"
""," 147.6494e-11","1.2107e+000","-1.9228e-004","1.2143e+000","1.0458e-002"
""," 148.6272e-11","1.2132e+000","-1.8557e-004","1.2122e+000","9.9950e-003"
""," 149.6050e-11","1.2155e+000","-1.7754e-004","1.2096e+000","9.5216e-003"
""," 150.5829e-11","1.2179e+000","-1.7105e-004","1.2057e+000","9.0394e-003"
""," 151.5607e-11","1.2202e+000","-1.6133e-004","1.2016e+000","8.5348e-003"
""," 152.5385e-11","1.2224e+000","-1.5240e-004","1.1982e+000","8.0286e-003"
""," 153.5163e-11","1.2243e+000","-1.5487e-004","1.1942e+000","7.5335e-003"
""," 154.4941e-11","1.2263e+000","-1.5948e-004","1.1846e+000","6.9963e-003"
""," 155.4719e-11","1.2281e+000","-1.5672e-004","1.1737e+000","6.4455e-003"
""," 156.4497e-11","1.2294e+000","-1.5102e-004","1.1623e+000","5.9215e-003"
""," 157.4275e-11","1.2306e+000","-1.4571e-004","1.1493e+000","5.4078e-003"
""," 158.4053e-11","1.2321e+000","-1.3745e-004","1.1361e+000","4.8607e-003"
""," 159.3832e-11","1.2340e+000","-1.2636e-004","1.1234e+000","4.3555e-003"
""," 160.3610e-11","1.2360e+000","-1.1828e-004","1.1087e+000","3.8691e-003"
""," 161.3388e-11","1.2380e+000","-1.1426e-004","1.0938e+000","3.3688e-003"
""," 162.3166e-11","1.2398e+000","-1.1463e-004","1.0795e+000","2.9252e-003"
""," 163.2944e-11","1.2415e+000","-1.2074e-004","1.0633e+000","2.5240e-003"
""," 164.2722e-11","1.2432e+000","-1.2769e-004","1.0457e+000","2.1223e-003"
""," 165.2500e-11","1.2450e+000","-1.2748e-004","1.0291e+000","1.7633e-003"
""," 166.2278e-11","1.2468e+000","-1.2503e-004","1.0132e+000","1.3820e-003"
""," 167.2056e-11","1.2485e+000","-1.2722e-004","9.9578e-001","9.7728e-004"
""," 168.1834e-11","1.2501e+000","-1.3427e-004","9.7998e-001","5.4877e-004"
""," 169.1613e-11","1.2517e+000","-1.4603e-004","9.6442e-001","1.9535e-004"
""," 170.1391e-11","1.2532e+000","-1.5597e-004","9.4820e-001","-1.7693e-004"
""," 171.1169e-11","1.2546e+000","-1.5762e-004","9.3406e-001","-5.4815e-004"
""," 172.0947e-11","1.2561e+000","-1.5267e-004","9.2108e-001","-8.7273e-004"
""," 173.0725e-11","1.2578e+000","-1.4850e-004","9.0709e-001","-1.2082e-003"
""," 174.0503e-11","1.2595e+000","-1.4677e-004","8.9433e-001","-1.5473e-003"
""," 175.0281e-11","1.2610e+000","-1.5034e-004","8.8045e-001","-1.8941e-003"
""," 176.0059e-11","1.2623e+000","-1.5818e-004","8.6530e-001","-2.2618e-003"
""," 176.9837e-11","1.2633e+000","-1.5859e-004","8.5005e-001","-2.6483e-003"
