"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 03:07:55 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A10 (at pin)"
"Probe 2: U15.A14 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4794e-001",DC,"2.4275e-001",DC
"","   0.9778e-11","2.4794e-001","1.5318e-007","2.4275e-001","-9.7715e-003"
"","   1.9555e-11","2.4794e-001","2.8629e-007","2.4275e-001","-9.7745e-003"
"","   2.9333e-11","2.4794e-001","3.9626e-007","2.4275e-001","-9.7773e-003"
"","   3.9111e-11","2.4794e-001","4.8952e-007","2.4275e-001","-9.7797e-003"
"","   4.8888e-11","2.4795e-001","5.6351e-007","2.4275e-001","-9.7819e-003"
"","   5.8666e-11","2.4796e-001","6.2619e-007","2.4275e-001","-9.7839e-003"
"","   6.8444e-11","2.4796e-001","7.2047e-007","2.4275e-001","-9.7745e-003"
"","   7.8221e-11","2.4796e-001","8.6710e-007","2.4275e-001","-9.7606e-003"
"","   8.7999e-11","2.4796e-001","7.6143e-007","2.4598e-001","-9.7467e-003"
"","   9.7777e-11","2.4796e-001","8.7062e-007","2.4583e-001","-9.7299e-003"
"","  10.7554e-11","2.4797e-001","1.1208e-006","2.4569e-001","-9.6989e-003"
"","  11.7332e-11","2.4797e-001","1.1481e-006","2.4556e-001","-9.6675e-003"
"","  12.7110e-11","2.4797e-001","1.1913e-006","2.4545e-001","-9.6265e-003"
"","  13.6887e-11","2.4798e-001","1.1982e-006","2.4535e-001","-9.5709e-003"
"","  14.6665e-11","2.4798e-001","1.1652e-006","2.4540e-001","-9.5147e-003"
"","  15.6443e-11","2.4798e-001","1.1320e-006","2.4596e-001","-9.4589e-003"
"","  16.6220e-11","2.4798e-001","1.1529e-006","2.4662e-001","-9.4128e-003"
"","  17.5998e-11","2.4798e-001","1.1624e-006","2.4728e-001","-9.3628e-003"
"","  18.5776e-11","2.4797e-001","1.1370e-006","2.4834e-001","-9.2887e-003"
"","  19.5553e-11","2.4797e-001","1.1081e-006","2.4983e-001","-9.2070e-003"
"","  20.5331e-11","2.4797e-001","1.0735e-006","2.5139e-001","-9.0635e-003"
"","  21.5109e-11","2.4797e-001","1.0418e-006","2.5363e-001","-8.9144e-003"
"","  22.4886e-11","2.4797e-001","1.0215e-006","2.5632e-001","-8.7484e-003"
"","  23.4664e-11","2.4797e-001","1.0036e-006","2.5899e-001","-8.5491e-003"
"","  24.4442e-11","2.4797e-001","9.9221e-007","2.6176e-001","-8.3535e-003"
"","  25.4219e-11","2.4797e-001","9.6749e-007","2.6407e-001","-8.1594e-003"
"","  26.3997e-11","2.4797e-001","9.6238e-007","2.6753e-001","-7.9565e-003"
"","  27.3775e-11","2.4797e-001","9.6882e-007","2.7100e-001","-7.7548e-003"
"","  28.3552e-11","2.4797e-001","9.6810e-007","2.7588e-001","-7.5442e-003"
"","  29.3330e-11","2.4797e-001","9.6419e-007","2.8285e-001","-7.2559e-003"
"","  30.3108e-11","2.4797e-001","9.5903e-007","2.8995e-001","-6.9542e-003"
"","  31.2885e-11","2.4797e-001","9.6183e-007","2.9852e-001","-6.6364e-003"
"","  32.2663e-11","2.4797e-001","9.5755e-007","3.0814e-001","-6.2370e-003"
"","  33.2441e-11","2.4797e-001","9.6438e-007","3.1765e-001","-5.8419e-003"
"","  34.2218e-11","2.4797e-001","9.7693e-007","3.2719e-001","-5.4484e-003"
"","  35.1996e-11","2.4797e-001","9.7840e-007","3.3723e-001","-5.0537e-003"
"","  36.1774e-11","2.4797e-001","9.7740e-007","3.4714e-001","-4.6375e-003"
"","  37.1551e-11","2.4832e-001","9.7743e-007","3.5835e-001","-4.2608e-003"
"","  38.1329e-11","2.4937e-001","9.7832e-007","3.7371e-001","-3.8464e-003"
"","  39.1107e-11","2.4934e-001","9.7987e-007","3.8888e-001","-3.4070e-003"
"","  40.0884e-11","2.4935e-001","-3.6698e-006","4.0643e-001","-2.9994e-003"
"","  41.0662e-11","2.4935e-001","-3.6574e-005","4.2636e-001","-2.5679e-003"
"","  42.0440e-11","2.4933e-001","-2.9165e-005","4.4609e-001","-2.1266e-003"
"","  43.0217e-11","2.4931e-001","-2.4960e-005","4.6531e-001","-1.6877e-003"
"","  43.9995e-11","2.4917e-001","-2.0812e-005","4.8600e-001","-1.2526e-003"
"","  44.9773e-11","2.4949e-001","-1.6918e-005","5.0683e-001","-8.1351e-004"
"","  45.9550e-11","2.4997e-001","-1.3454e-005","5.2693e-001","-4.1514e-004"
"","  46.9328e-11","2.5047e-001","-1.6140e-005","5.4963e-001","-4.3009e-005"
"","  47.9106e-11","2.5105e-001","-3.0949e-005","5.7255e-001","3.3151e-004"
"","  48.8883e-11","2.5181e-001","-2.9396e-005","5.9527e-001","6.6736e-004"
"","  49.8661e-11","2.5263e-001","-2.9892e-005","6.1935e-001","9.8639e-004"
"","  50.8439e-11","2.5343e-001","-3.2458e-005","6.4350e-001","1.3108e-003"
"","  51.8216e-11","2.5496e-001","-3.9371e-005","6.6753e-001","1.6330e-003"
"","  52.7994e-11","2.5646e-001","-4.9935e-005","6.9163e-001","1.9268e-003"
"","  53.7772e-11","2.5803e-001","-6.9316e-005","7.1562e-001","2.2300e-003"
"","  54.7549e-11","2.5954e-001","-9.2407e-005","7.3854e-001","2.5291e-003"
"","  55.7327e-11","2.6133e-001","-1.1197e-004","7.6149e-001","2.7811e-003"
"","  56.7105e-11","2.6314e-001","-1.3066e-004","7.8438e-001","3.0259e-003"
"","  57.6882e-11","2.6571e-001","-1.4835e-004","8.0620e-001","3.2630e-003"
"","  58.6660e-11","2.6918e-001","-1.7014e-004","8.2800e-001","3.4828e-003"
"","  59.6438e-11","2.7297e-001","-1.9223e-004","8.5005e-001","3.6631e-003"
"","  60.6215e-11","2.7756e-001","-2.2459e-004","8.7153e-001","3.8226e-003"
"","  61.5993e-11","2.8260e-001","-2.8054e-004","8.9239e-001","3.9682e-003"
"","  62.5771e-11","2.8768e-001","-3.2933e-004","9.1371e-001","4.1265e-003"
"","  63.5548e-11","2.9295e-001","-3.8514e-004","9.3438e-001","4.3028e-003"
"","  64.5326e-11","2.9833e-001","-4.4599e-004","9.5369e-001","4.4579e-003"
"","  65.5104e-11","3.0411e-001","-4.9976e-004","9.7291e-001","4.6019e-003"
"","  66.4881e-11","3.1098e-001","-5.4608e-004","9.9154e-001","4.7588e-003"
"","  67.4659e-11","3.1950e-001","-5.9953e-004","1.0091e+000","4.9097e-003"
"","  68.4437e-11","3.2831e-001","-6.5164e-004","1.0253e+000","5.0327e-003"
"","  69.4214e-11","3.3884e-001","-7.0515e-004","1.0405e+000","5.1491e-003"
"","  70.3992e-11","3.5028e-001","-7.9641e-004","1.0555e+000","5.2686e-003"
"","  71.3770e-11","3.6173e-001","-8.7532e-004","1.0713e+000","5.3387e-003"
"","  72.3547e-11","3.7359e-001","-9.5565e-004","1.0871e+000","5.4004e-003"
"","  73.3325e-11","3.8607e-001","-1.0560e-003","1.1015e+000","5.4616e-003"
"","  74.3103e-11","3.9878e-001","-1.1397e-003","1.1160e+000","5.5028e-003"
"","  75.2880e-11","4.1233e-001","-1.2033e-003","1.1307e+000","5.5560e-003"
"","  76.2658e-11","4.2706e-001","-1.2766e-003","1.1449e+000","5.5977e-003"
"","  77.2436e-11","4.4225e-001","-1.3563e-003","1.1573e+000","5.6420e-003"
"","  78.2213e-11","4.5813e-001","-1.4088e-003","1.1697e+000","5.6822e-003"
"","  79.1991e-11","4.7487e-001","-1.4890e-003","1.1814e+000","5.7079e-003"
"","  80.1769e-11","4.9134e-001","-1.5623e-003","1.1909e+000","5.7193e-003"
"","  81.1546e-11","5.0863e-001","-1.6048e-003","1.2001e+000","5.7406e-003"
"","  82.1324e-11","5.2612e-001","-1.6472e-003","1.2085e+000","5.7769e-003"
"","  83.1102e-11","5.4364e-001","-1.6848e-003","1.2162e+000","5.7763e-003"
"","  84.0879e-11","5.6162e-001","-1.7058e-003","1.2238e+000","5.7696e-003"
"","  85.0657e-11","5.8014e-001","-1.7185e-003","1.2305e+000","5.7744e-003"
"","  86.0435e-11","5.9865e-001","-1.7385e-003","1.2368e+000","5.7956e-003"
"","  87.0212e-11","6.1712e-001","-1.7316e-003","1.2422e+000","5.8046e-003"
"","  87.9990e-11","6.3599e-001","-1.7194e-003","1.2470e+000","5.8382e-003"
"","  88.9768e-11","6.5461e-001","-1.7077e-003","1.2512e+000","5.8870e-003"
"","  89.9545e-11","6.7322e-001","-1.6803e-003","1.2555e+000","5.9223e-003"
"","  90.9323e-11","6.9202e-001","-1.6485e-003","1.2593e+000","5.9683e-003"
"","  91.9101e-11","7.1075e-001","-1.6209e-003","1.2619e+000","6.0035e-003"
"","  92.8878e-11","7.2928e-001","-1.5864e-003","1.2642e+000","6.0385e-003"
"","  93.8656e-11","7.4738e-001","-1.5428e-003","1.2666e+000","6.0839e-003"
"","  94.8434e-11","7.6523e-001","-1.5102e-003","1.2689e+000","6.1416e-003"
"","  95.8211e-11","7.8279e-001","-1.4764e-003","1.2705e+000","6.2186e-003"
"","  96.7989e-11","7.9986e-001","-1.4287e-003","1.2724e+000","6.3035e-003"
"","  97.7767e-11","8.1598e-001","-1.3862e-003","1.2738e+000","6.3881e-003"
"","  98.7544e-11","8.3136e-001","-1.3493e-003","1.2744e+000","6.4704e-003"
"","  99.7322e-11","8.4671e-001","-1.3076e-003","1.2747e+000","6.5598e-003"
""," 100.7100e-11","8.6204e-001","-1.2516e-003","1.2741e+000","6.6542e-003"
