"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:57:13 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.B4 (at pin)"
"Probe 2: U15.B15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4776e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4776e-001","1.5429e-007","2.4275e-001","-9.7740e-003"
"","   1.9551e-11","2.4776e-001","2.8641e-007","2.4275e-001","-9.7770e-003"
"","   2.9326e-11","2.4776e-001","3.9717e-007","2.4275e-001","-9.7796e-003"
"","   3.9102e-11","2.4776e-001","4.8924e-007","2.4275e-001","-9.7820e-003"
"","   4.8877e-11","2.4777e-001","5.7012e-007","2.4275e-001","-9.7841e-003"
"","   5.8653e-11","2.4777e-001","6.4443e-007","2.4275e-001","-9.7860e-003"
"","   6.8428e-11","2.4778e-001","8.4115e-007","2.4275e-001","-9.7789e-003"
"","   7.8204e-11","2.4778e-001","9.2465e-007","2.4275e-001","-9.7649e-003"
"","   8.7979e-11","2.4778e-001","9.8494e-007","2.4349e-001","-9.7509e-003"
"","   9.7755e-11","2.4779e-001","1.0375e-006","2.4469e-001","-9.7356e-003"
"","  10.7530e-11","2.4779e-001","1.1146e-006","2.4507e-001","-9.7069e-003"
"","  11.7306e-11","2.4779e-001","1.1642e-006","2.4515e-001","-9.6753e-003"
"","  12.7081e-11","2.4779e-001","1.1870e-006","2.4512e-001","-9.6386e-003"
"","  13.6857e-11","2.4779e-001","1.2042e-006","2.4506e-001","-9.5830e-003"
"","  14.6632e-11","2.4779e-001","1.1958e-006","2.4498e-001","-9.5267e-003"
"","  15.6408e-11","2.4779e-001","1.2108e-006","2.4506e-001","-9.4707e-003"
"","  16.6183e-11","2.4779e-001","1.2010e-006","2.4542e-001","-9.4072e-003"
"","  17.5959e-11","2.4779e-001","1.1761e-006","2.4590e-001","-9.2473e-003"
"","  18.5734e-11","2.4779e-001","1.1635e-006","2.4645e-001","-9.2476e-003"
"","  19.5510e-11","2.4779e-001","1.1413e-006","2.4729e-001","-9.1989e-003"
"","  20.5285e-11","2.4779e-001","1.1090e-006","2.4840e-001","-9.0760e-003"
"","  21.5061e-11","2.4778e-001","1.0872e-006","2.4968e-001","-8.9312e-003"
"","  22.4836e-11","2.4778e-001","1.0499e-006","2.5146e-001","-8.7751e-003"
"","  23.4612e-11","2.4778e-001","1.0297e-006","2.5354e-001","-8.5736e-003"
"","  24.4387e-11","2.4778e-001","1.0097e-006","2.5573e-001","-8.3575e-003"
"","  25.4163e-11","2.4778e-001","9.8434e-007","2.5808e-001","-8.1485e-003"
"","  26.3938e-11","2.4778e-001","9.6871e-007","2.6130e-001","-7.9404e-003"
"","  27.3714e-11","2.4778e-001","9.5136e-007","2.6405e-001","-7.7230e-003"
"","  28.3489e-11","2.4778e-001","9.3963e-007","2.6649e-001","-7.4949e-003"
"","  29.3265e-11","2.4778e-001","9.3140e-007","2.7016e-001","-7.2024e-003"
"","  30.3040e-11","2.4778e-001","9.2415e-007","2.7518e-001","-6.8661e-003"
"","  31.2816e-11","2.4778e-001","9.2003e-007","2.8087e-001","-6.5184e-003"
"","  32.2591e-11","2.4778e-001","9.2266e-007","2.8782e-001","-6.1094e-003"
"","  33.2367e-11","2.4778e-001","9.2458e-007","2.9567e-001","-5.6942e-003"
"","  34.2142e-11","2.4778e-001","9.2878e-007","3.0380e-001","-5.2776e-003"
"","  35.1918e-11","2.4778e-001","9.3282e-007","3.1204e-001","-4.8203e-003"
"","  36.1693e-11","2.4778e-001","9.3932e-007","3.2054e-001","-4.4386e-003"
"","  37.1469e-11","2.4778e-001","9.4447e-007","3.2928e-001","-3.9998e-003"
"","  38.1244e-11","2.4778e-001","9.5299e-007","3.3933e-001","-3.4667e-003"
"","  39.1020e-11","2.4778e-001","9.5626e-007","3.5138e-001","-2.9435e-003"
"","  40.0795e-11","2.4778e-001","9.6173e-007","3.6442e-001","-2.4389e-003"
"","  41.0571e-11","2.4778e-001","9.6758e-007","3.7920e-001","-1.8952e-003"
"","  42.0346e-11","2.4778e-001","9.7289e-007","3.9532e-001","-1.3795e-003"
"","  43.0122e-11","2.4778e-001","9.7812e-007","4.1188e-001","-8.9188e-004"
"","  43.9897e-11","2.4846e-001","9.8248e-007","4.2897e-001","-4.0082e-004"
"","  44.9673e-11","2.4896e-001","9.8522e-007","4.4602e-001","9.1134e-005"
"","  45.9448e-11","2.4918e-001","9.8812e-007","4.6343e-001","5.8153e-004"
"","  46.9224e-11","2.4927e-001","-1.4314e-005","4.8221e-001","1.1461e-003"
"","  47.8999e-11","2.4941e-001","-2.7468e-005","5.0234e-001","1.6666e-003"
"","  48.8775e-11","2.4947e-001","-2.9884e-005","5.2263e-001","2.1544e-003"
"","  49.8550e-11","2.4926e-001","-2.7402e-005","5.4354e-001","2.6725e-003"
"","  50.8326e-11","2.4907e-001","-2.6942e-005","5.6470e-001","3.1260e-003"
"","  51.8101e-11","2.4931e-001","-2.4331e-005","5.8557e-001","3.5428e-003"
"","  52.7877e-11","2.4992e-001","-2.2306e-005","6.0626e-001","3.9553e-003"
"","  53.7652e-11","2.5042e-001","-2.4713e-005","6.2695e-001","4.3460e-003"
"","  54.7428e-11","2.5111e-001","-2.5232e-005","6.4758e-001","4.7523e-003"
"","  55.7203e-11","2.5192e-001","-3.0658e-005","6.6887e-001","5.2056e-003"
"","  56.6979e-11","2.5282e-001","-3.4168e-005","6.9027e-001","5.5665e-003"
"","  57.6754e-11","2.5409e-001","-4.0356e-005","7.1113e-001","5.9032e-003"
"","  58.6530e-11","2.5552e-001","-4.9344e-005","7.3203e-001","6.2543e-003"
"","  59.6305e-11","2.5709e-001","-6.2393e-005","7.5227e-001","6.5343e-003"
"","  60.6081e-11","2.5886e-001","-8.2479e-005","7.7169e-001","6.7742e-003"
"","  61.5856e-11","2.6111e-001","-1.0693e-004","7.9059e-001","7.0151e-003"
"","  62.5632e-11","2.6291e-001","-1.2990e-004","8.0877e-001","7.2655e-003"
"","  63.5407e-11","2.6472e-001","-1.5494e-004","8.2695e-001","7.5256e-003"
"","  64.5183e-11","2.6740e-001","-1.9138e-004","8.4552e-001","7.8037e-003"
"","  65.4958e-11","2.7086e-001","-2.1250e-004","8.6317e-001","8.0133e-003"
"","  66.4734e-11","2.7491e-001","-2.3127e-004","8.7983e-001","8.2314e-003"
"","  67.4509e-11","2.7959e-001","-2.6878e-004","8.9625e-001","8.4600e-003"
"","  68.4285e-11","2.8527e-001","-3.2066e-004","9.1156e-001","8.6455e-003"
"","  69.4060e-11","2.9142e-001","-3.7552e-004","9.2540e-001","8.8140e-003"
"","  70.3836e-11","2.9761e-001","-4.4440e-004","9.3839e-001","8.9979e-003"
"","  71.3611e-11","3.0375e-001","-5.1595e-004","9.5121e-001","9.1682e-003"
"","  72.3387e-11","3.1038e-001","-5.8083e-004","9.6420e-001","9.3249e-003"
"","  73.3162e-11","3.1813e-001","-6.4572e-004","9.7740e-001","9.4679e-003"
"","  74.2938e-11","3.2704e-001","-7.0765e-004","9.8981e-001","9.5262e-003"
"","  75.2713e-11","3.3708e-001","-7.6544e-004","1.0018e+000","9.6162e-003"
"","  76.2489e-11","3.4857e-001","-8.4277e-004","1.0139e+000","9.7030e-003"
"","  77.2264e-11","3.6110e-001","-9.3657e-004","1.0253e+000","9.7367e-003"
"","  78.2040e-11","3.7435e-001","-1.0294e-003","1.0359e+000","9.7827e-003"
"","  79.1815e-11","3.8799e-001","-1.1345e-003","1.0465e+000","9.8557e-003"
"","  80.1591e-11","4.0168e-001","-1.2417e-003","1.0566e+000","9.9592e-003"
"","  81.1366e-11","4.1622e-001","-1.3385e-003","1.0659e+000","1.0073e-002"
"","  82.1142e-11","4.3205e-001","-1.4323e-003","1.0746e+000","1.0168e-002"
"","  83.0917e-11","4.4873e-001","-1.5174e-003","1.0819e+000","1.0218e-002"
"","  84.0693e-11","4.6615e-001","-1.5954e-003","1.0886e+000","1.0301e-002"
"","  85.0468e-11","4.8448e-001","-1.6879e-003","1.0949e+000","1.0372e-002"
"","  86.0244e-11","5.0339e-001","-1.7811e-003","1.1003e+000","1.0418e-002"
"","  87.0019e-11","5.2259e-001","-1.8553e-003","1.1053e+000","1.0468e-002"
"","  87.9795e-11","5.4181e-001","-1.9223e-003","1.1105e+000","1.0530e-002"
"","  88.9570e-11","5.6118e-001","-1.9753e-003","1.1159e+000","1.0560e-002"
"","  89.9346e-11","5.8136e-001","-2.0079e-003","1.1217e+000","1.0583e-002"
"","  90.9121e-11","6.0245e-001","-2.0306e-003","1.1275e+000","1.0595e-002"
