"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:48:54 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.A2 (at pin)"
"Probe 2: U15.F14 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4790e-001",DC,"2.4275e-001",DC
"","   0.9775e-11","2.4790e-001","1.5427e-007","2.4275e-001","-9.7724e-003"
"","   1.9551e-11","2.4790e-001","2.8638e-007","2.4275e-001","-9.7754e-003"
"","   2.9326e-11","2.4790e-001","3.9712e-007","2.4275e-001","-9.7781e-003"
"","   3.9102e-11","2.4790e-001","4.8918e-007","2.4275e-001","-9.7805e-003"
"","   4.8877e-11","2.4791e-001","5.6336e-007","2.4275e-001","-9.7827e-003"
"","   5.8653e-11","2.4791e-001","6.2241e-007","2.4275e-001","-9.7846e-003"
"","   6.8428e-11","2.4792e-001","8.4575e-007","2.4275e-001","-9.7776e-003"
"","   7.8204e-11","2.4792e-001","9.3126e-007","2.4275e-001","-9.7636e-003"
"","   8.7979e-11","2.4792e-001","9.0693e-007","2.4349e-001","-9.7496e-003"
"","   9.7755e-11","2.4792e-001","1.0241e-006","2.4468e-001","-9.7344e-003"
"","  10.7530e-11","2.4793e-001","1.0872e-006","2.4507e-001","-9.7056e-003"
"","  11.7306e-11","2.4793e-001","1.1488e-006","2.4514e-001","-9.6740e-003"
"","  12.7081e-11","2.4793e-001","1.1742e-006","2.4511e-001","-9.6374e-003"
"","  13.6857e-11","2.4793e-001","1.1984e-006","2.4504e-001","-9.5819e-003"
"","  14.6632e-11","2.4793e-001","1.1863e-006","2.4497e-001","-9.5255e-003"
"","  15.6408e-11","2.4793e-001","1.2118e-006","2.4504e-001","-9.4695e-003"
"","  16.6183e-11","2.4793e-001","1.2061e-006","2.4540e-001","-9.4060e-003"
"","  17.5959e-11","2.4793e-001","1.1818e-006","2.4588e-001","-9.2462e-003"
"","  18.5734e-11","2.4793e-001","1.1683e-006","2.4643e-001","-9.2466e-003"
"","  19.5510e-11","2.4793e-001","1.1449e-006","2.4727e-001","-9.1979e-003"
"","  20.5285e-11","2.4792e-001","1.1186e-006","2.4838e-001","-9.0750e-003"
"","  21.5061e-11","2.4792e-001","1.0945e-006","2.4966e-001","-8.9302e-003"
"","  22.4836e-11","2.4792e-001","1.0649e-006","2.5144e-001","-8.7741e-003"
"","  23.4612e-11","2.4792e-001","1.0279e-006","2.5352e-001","-8.5726e-003"
"","  24.4387e-11","2.4792e-001","1.0120e-006","2.5571e-001","-8.3566e-003"
"","  25.4163e-11","2.4792e-001","9.8874e-007","2.5805e-001","-8.1476e-003"
"","  26.3938e-11","2.4792e-001","9.7054e-007","2.6127e-001","-7.9394e-003"
"","  27.3714e-11","2.4792e-001","9.4977e-007","2.6403e-001","-7.7221e-003"
"","  28.3489e-11","2.4792e-001","9.3870e-007","2.6646e-001","-7.4939e-003"
"","  29.3265e-11","2.4792e-001","9.2897e-007","2.7013e-001","-7.2015e-003"
"","  30.3040e-11","2.4792e-001","9.2191e-007","2.7515e-001","-6.8652e-003"
"","  31.2816e-11","2.4792e-001","9.2008e-007","2.8084e-001","-6.5176e-003"
"","  32.2591e-11","2.4792e-001","9.1980e-007","2.8779e-001","-6.1086e-003"
"","  33.2367e-11","2.4792e-001","9.2020e-007","2.9563e-001","-5.6934e-003"
"","  34.2142e-11","2.4792e-001","9.2489e-007","3.0377e-001","-5.2768e-003"
"","  35.1918e-11","2.4792e-001","9.3190e-007","3.1200e-001","-4.8196e-003"
"","  36.1693e-11","2.4792e-001","9.3651e-007","3.2050e-001","-4.4379e-003"
"","  37.1469e-11","2.4792e-001","9.4370e-007","3.2924e-001","-3.9992e-003"
"","  38.1244e-11","2.4792e-001","9.4943e-007","3.3929e-001","-3.4660e-003"
"","  39.1020e-11","2.4792e-001","9.5829e-007","3.5134e-001","-2.9429e-003"
"","  40.0795e-11","2.4792e-001","9.6898e-007","3.6437e-001","-2.4383e-003"
"","  41.0571e-11","2.4792e-001","9.7833e-007","3.7916e-001","-1.8946e-003"
"","  42.0346e-11","2.4792e-001","9.8397e-007","3.9527e-001","-1.3789e-003"
"","  43.0122e-11","2.4792e-001","9.8914e-007","4.1183e-001","-8.9130e-004"
"","  43.9897e-11","2.4792e-001","9.9385e-007","4.2892e-001","-4.0026e-004"
"","  44.9673e-11","2.4862e-001","9.9736e-007","4.4597e-001","9.1658e-005"
"","  45.9448e-11","2.4910e-001","1.0004e-006","4.6338e-001","5.8201e-004"
"","  46.9224e-11","2.4931e-001","1.0023e-006","4.8216e-001","1.1466e-003"
"","  47.8999e-11","2.4941e-001","-1.4981e-005","5.0229e-001","1.6672e-003"
"","  48.8775e-11","2.4954e-001","-2.7423e-005","5.2258e-001","2.1550e-003"
"","  49.8550e-11","2.4960e-001","-2.9494e-005","5.4349e-001","2.6731e-003"
"","  50.8326e-11","2.4936e-001","-2.7075e-005","5.6464e-001","3.1266e-003"
"","  51.8101e-11","2.4918e-001","-2.6658e-005","5.8552e-001","3.5434e-003"
"","  52.7877e-11","2.4941e-001","-2.4033e-005","6.0621e-001","3.9559e-003"
"","  53.7652e-11","2.5004e-001","-2.2401e-005","6.2689e-001","4.3467e-003"
"","  54.7428e-11","2.5054e-001","-2.4189e-005","6.4753e-001","4.7529e-003"
"","  55.7203e-11","2.5125e-001","-2.4350e-005","6.6882e-001","5.2062e-003"
"","  56.6979e-11","2.5206e-001","-3.0300e-005","6.9022e-001","5.5670e-003"
"","  57.6754e-11","2.5297e-001","-3.3975e-005","7.1108e-001","5.9038e-003"
"","  58.6530e-11","2.5426e-001","-4.0616e-005","7.3198e-001","6.2548e-003"
"","  59.6305e-11","2.5565e-001","-4.9570e-005","7.5222e-001","6.5348e-003"
"","  60.6081e-11","2.5722e-001","-6.2763e-005","7.7164e-001","6.7747e-003"
"","  61.5856e-11","2.5898e-001","-8.2592e-005","7.9054e-001","7.0155e-003"
"","  62.5632e-11","2.6119e-001","-1.0694e-004","8.0872e-001","7.2660e-003"
"","  63.5407e-11","2.6298e-001","-1.3016e-004","8.2689e-001","7.5260e-003"
"","  64.5183e-11","2.6481e-001","-1.5511e-004","8.4546e-001","7.8043e-003"
"","  65.4958e-11","2.6749e-001","-1.9107e-004","8.6312e-001","8.0138e-003"
"","  66.4734e-11","2.7094e-001","-2.1136e-004","8.7977e-001","8.2319e-003"
"","  67.4509e-11","2.7497e-001","-2.3030e-004","8.9619e-001","8.4606e-003"
"","  68.4285e-11","2.7968e-001","-2.6855e-004","9.1150e-001","8.6461e-003"
"","  69.4060e-11","2.8533e-001","-3.1995e-004","9.2534e-001","8.8146e-003"
"","  70.3836e-11","2.9148e-001","-3.7506e-004","9.3833e-001","8.9985e-003"
"","  71.3611e-11","2.9764e-001","-4.4403e-004","9.5115e-001","9.1689e-003"
"","  72.3387e-11","3.0373e-001","-5.1452e-004","9.6415e-001","9.3255e-003"
"","  73.3162e-11","3.1033e-001","-5.7942e-004","9.7734e-001","9.4686e-003"
"","  74.2938e-11","3.1807e-001","-6.4453e-004","9.8976e-001","9.5269e-003"
"","  75.2713e-11","3.2694e-001","-7.0539e-004","1.0017e+000","9.6170e-003"
"","  76.2489e-11","3.3695e-001","-7.6274e-004","1.0138e+000","9.7037e-003"
"","  77.2264e-11","3.4841e-001","-8.4047e-004","1.0254e+000","9.7374e-003"
"","  78.2040e-11","3.6093e-001","-9.3326e-004","1.0361e+000","9.7835e-003"
"","  79.1815e-11","3.7413e-001","-1.0254e-003","1.0466e+000","9.8565e-003"
"","  80.1591e-11","3.8770e-001","-1.1308e-003","1.0566e+000","9.9600e-003"
"","  81.1366e-11","4.0135e-001","-1.2378e-003","1.0658e+000","1.0073e-002"
"","  82.1142e-11","4.1581e-001","-1.3338e-003","1.0745e+000","1.0169e-002"
"","  83.0917e-11","4.3159e-001","-1.4272e-003","1.0818e+000","1.0219e-002"
"","  84.0693e-11","4.4813e-001","-1.5119e-003","1.0885e+000","1.0302e-002"
"","  85.0468e-11","4.6550e-001","-1.5888e-003","1.0950e+000","1.0371e-002"
"","  86.0244e-11","4.8374e-001","-1.6815e-003","1.1006e+000","1.0409e-002"
"","  87.0019e-11","5.0256e-001","-1.7727e-003","1.1056e+000","1.0456e-002"
"","  87.9795e-11","5.2172e-001","-1.8459e-003","1.1107e+000","1.0522e-002"
"","  88.9570e-11","5.4085e-001","-1.9129e-003","1.1161e+000","1.0559e-002"
"","  89.9346e-11","5.6014e-001","-1.9654e-003","1.1220e+000","1.0586e-002"
"","  90.9121e-11","5.8026e-001","-1.9982e-003","1.1279e+000","1.0600e-002"
"","  91.8897e-11","6.0124e-001","-2.0211e-003","1.1330e+000","1.0589e-002"
"","  92.8672e-11","6.2244e-001","-2.0357e-003","1.1379e+000","1.0623e-002"
"","  93.8448e-11","6.4395e-001","-2.0388e-003","1.1426e+000","1.0643e-002"
"","  94.8223e-11","6.6563e-001","-2.0477e-003","1.1468e+000","1.0653e-002"
"","  95.7998e-11","6.8698e-001","-2.0438e-003","1.1506e+000","1.0702e-002"
"","  96.7774e-11","7.0808e-001","-2.0227e-003","1.1545e+000","1.0764e-002"
"","  97.7549e-11","7.2871e-001","-1.9953e-003","1.1580e+000","1.0831e-002"
"","  98.7325e-11","7.4914e-001","-1.9551e-003","1.1609e+000","1.0875e-002"
"","  99.7101e-11","7.6995e-001","-1.9006e-003","1.1634e+000","1.0884e-002"
""," 100.6876e-11","7.9074e-001","-1.8446e-003","1.1650e+000","1.0879e-002"
""," 101.6651e-11","8.1076e-001","-1.7837e-003","1.1665e+000","1.0916e-002"
""," 102.6427e-11","8.3046e-001","-1.7256e-003","1.1678e+000","1.0938e-002"
""," 103.6202e-11","8.4965e-001","-1.6775e-003","1.1689e+000","1.0956e-002"
""," 104.5978e-11","8.6784e-001","-1.6121e-003","1.1701e+000","1.0992e-002"
""," 105.5753e-11","8.8496e-001","-1.5403e-003","1.1718e+000","1.1028e-002"
""," 106.5529e-11","9.0109e-001","-1.4730e-003","1.1737e+000","1.1040e-002"
""," 107.5304e-11","9.1722e-001","-1.3958e-003","1.1751e+000","1.1055e-002"
""," 108.5080e-11","9.3338e-001","-1.3100e-003","1.1757e+000","1.1068e-002"
""," 109.4855e-11","9.4892e-001","-1.2287e-003","1.1754e+000","1.1099e-002"
""," 110.4631e-11","9.6372e-001","-1.1562e-003","1.1751e+000","1.1176e-002"
""," 111.4406e-11","9.7843e-001","-1.0965e-003","1.1747e+000","1.1244e-002"
""," 112.4182e-11","9.9270e-001","-1.0480e-003","1.1743e+000","1.1321e-002"
""," 113.3957e-11","1.0060e+000","-9.9169e-004","1.1739e+000","1.1410e-002"
""," 114.3733e-11","1.0186e+000","-9.4216e-004","1.1737e+000","1.1471e-002"
""," 115.3508e-11","1.0306e+000","-9.0630e-004","1.1733e+000","1.1516e-002"
""," 116.3284e-11","1.0421e+000","-8.7160e-004","1.1726e+000","1.1565e-002"
""," 117.3059e-11","1.0531e+000","-8.3995e-004","1.1715e+000","1.1619e-002"
