"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:48:16 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.D31 (at pin)"
"Probe 2: disabled"
"","Time","Probe V 1","Probe I 1"
"","   0.0000e-11","2.4276e-001",DC
"","   0.9781e-11","2.4276e-001","-9.8175e-003"
"","   1.9563e-11","2.4276e-001","-9.8187e-003"
"","   2.9344e-11","2.4276e-001","-9.8198e-003"
"","   3.9126e-11","2.4276e-001","-9.8207e-003"
"","   4.8907e-11","2.4276e-001","-9.8216e-003"
"","   5.8688e-11","2.4276e-001","-9.8213e-003"
"","   6.8470e-11","2.4276e-001","-9.8110e-003"
"","   7.8251e-11","2.4276e-001","-9.7961e-003"
"","   8.8033e-11","2.4371e-001","-9.7814e-003"
"","   9.7814e-11","2.4459e-001","-9.7636e-003"
"","  10.7595e-11","2.4502e-001","-9.7334e-003"
"","  11.7377e-11","2.4522e-001","-9.7011e-003"
"","  12.7158e-11","2.4530e-001","-9.6602e-003"
"","  13.6940e-11","2.4532e-001","-9.6041e-003"
"","  14.6721e-11","2.4533e-001","-9.5471e-003"
"","  15.6502e-11","2.4549e-001","-9.4905e-003"
"","  16.6284e-11","2.4588e-001","-9.4235e-003"
"","  17.6065e-11","2.4637e-001","-9.2863e-003"
"","  18.5846e-11","2.4695e-001","-9.2490e-003"
"","  19.5628e-11","2.4781e-001","-9.1913e-003"
"","  20.5409e-11","2.4888e-001","-9.0654e-003"
"","  21.5191e-11","2.5019e-001","-8.9240e-003"
"","  22.4972e-11","2.5193e-001","-8.7619e-003"
"","  23.4753e-11","2.5396e-001","-8.5557e-003"
"","  24.4535e-11","2.5610e-001","-8.3411e-003"
"","  25.4316e-11","2.5849e-001","-8.1301e-003"
"","  26.4098e-11","2.6156e-001","-7.9162e-003"
"","  27.3879e-11","2.6443e-001","-7.6979e-003"
"","  28.3660e-11","2.6717e-001","-7.4588e-003"
"","  29.3442e-11","2.7099e-001","-7.1425e-003"
"","  30.3223e-11","2.7584e-001","-6.8049e-003"
"","  31.3005e-11","2.8140e-001","-6.4425e-003"
"","  32.2786e-11","2.8829e-001","-6.0138e-003"
"","  33.2567e-11","2.9588e-001","-5.5958e-003"
"","  34.2349e-11","3.0386e-001","-5.1804e-003"
"","  35.2130e-11","3.1208e-001","-4.7204e-003"
"","  36.1912e-11","3.2056e-001","-4.3142e-003"
"","  37.1693e-11","3.2941e-001","-3.8853e-003"
"","  38.1474e-11","3.3978e-001","-3.3485e-003"
"","  39.1256e-11","3.5176e-001","-2.8188e-003"
"","  40.1037e-11","3.6473e-001","-2.3021e-003"
"","  41.0818e-11","3.7969e-001","-1.7432e-003"
"","  42.0600e-11","3.9560e-001","-1.2154e-003"
"","  43.0381e-11","4.1194e-001","-7.1578e-004"
"","  44.0163e-11","4.2888e-001","-2.2127e-004"
"","  44.9944e-11","4.4615e-001","2.6972e-004"
"","  45.9725e-11","4.6348e-001","7.6721e-004"
"","  46.9507e-11","4.8211e-001","1.3344e-003"
"","  47.9288e-11","5.0206e-001","1.8584e-003"
"","  48.9070e-11","5.2227e-001","2.3642e-003"
"","  49.8851e-11","5.4325e-001","2.8922e-003"
"","  50.8632e-11","5.6444e-001","3.3572e-003"
"","  51.8414e-11","5.8547e-001","3.7782e-003"
"","  52.8195e-11","6.0631e-001","4.2045e-003"
"","  53.7977e-11","6.2704e-001","4.5908e-003"
"","  54.7758e-11","6.4773e-001","4.9818e-003"
"","  55.7539e-11","6.6894e-001","5.4307e-003"
"","  56.7321e-11","6.9028e-001","5.8103e-003"
"","  57.7102e-11","7.1134e-001","6.1520e-003"
"","  58.6884e-11","7.3236e-001","6.5043e-003"
"","  59.6665e-11","7.5282e-001","6.7818e-003"
"","  60.6446e-11","7.7245e-001","7.0149e-003"
"","  61.6228e-11","7.9144e-001","7.2420e-003"
"","  62.6009e-11","8.0994e-001","7.4839e-003"
"","  63.5791e-11","8.2798e-001","7.7356e-003"
"","  64.5572e-11","8.4623e-001","8.0067e-003"
"","  65.5353e-11","8.6392e-001","8.2253e-003"
"","  66.5135e-11","8.8085e-001","8.4392e-003"
"","  67.4916e-11","8.9733e-001","8.6657e-003"
"","  68.4697e-11","9.1265e-001","8.8383e-003"
"","  69.4479e-11","9.2665e-001","8.9951e-003"
