"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK3.HYP         Designer: Francois"
"Created on: 25 February 2008   Time: 02:45:49 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: QDR2_BY2_3_SA3 - route3 using 2 ounce copper"
"Probe 1: U17.B4 (at pin)"
"Probe 2: U15.B15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.5021e-001",DC,"2.4274e-001",DC
"","   0.4888e-11","2.5021e-001","7.9263e-008","2.4274e-001","-9.7258e-003"
"","   0.9776e-11","2.5021e-001","1.5421e-007","2.4274e-001","-9.7284e-003"
"","   1.4664e-11","2.5021e-001","2.2293e-007","2.4274e-001","-9.7308e-003"
"","   1.9551e-11","2.5021e-001","2.8592e-007","2.4274e-001","-9.7331e-003"
"","   2.4439e-11","2.5021e-001","3.4367e-007","2.4274e-001","-9.7353e-003"
"","   2.9327e-11","2.5021e-001","3.9662e-007","2.4274e-001","-9.7374e-003"
"","   3.4215e-11","2.5021e-001","4.5145e-007","2.4274e-001","-9.7394e-003"
"","   3.9103e-11","2.5022e-001","4.9855e-007","2.4274e-001","-9.7413e-003"
"","   4.3991e-11","2.5022e-001","5.3876e-007","2.4274e-001","-9.7431e-003"
"","   4.8878e-11","2.5023e-001","5.7550e-007","2.4274e-001","-9.7447e-003"
"","   5.3766e-11","2.5023e-001","6.0916e-007","2.4274e-001","-9.7463e-003"
"","   5.8654e-11","2.5023e-001","6.4001e-007","2.4274e-001","-9.7478e-003"
"","   6.3542e-11","2.5023e-001","6.7594e-007","2.4274e-001","-9.7478e-003"
"","   6.8430e-11","2.5023e-001","5.8518e-007","2.4274e-001","-9.7435e-003"
"","   7.3318e-11","2.5023e-001","6.3937e-007","2.4274e-001","-9.7370e-003"
"","   7.8206e-11","2.5023e-001","7.1736e-007","2.4274e-001","-9.7305e-003"
"","   8.3093e-11","2.5023e-001","7.8860e-007","2.4274e-001","-9.7239e-003"
"","   8.7981e-11","2.5023e-001","8.5517e-007","2.4283e-001","-9.7174e-003"
"","   9.2869e-11","2.5023e-001","1.0845e-006","2.4359e-001","-9.7108e-003"
