"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 02:57:46 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.B8 (at pin)"
"Probe 2: U15.A15 (at pin)"
"Probe 3: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2"
"","   0.0000e-11","2.4767e-001",DC,"2.4275e-001",DC
"","   0.9779e-11","2.4767e-001","1.5393e-007","2.4275e-001","-9.7743e-003"
"","   1.9558e-11","2.4767e-001","2.8584e-007","2.4275e-001","-9.7772e-003"
"","   2.9337e-11","2.4767e-001","3.9674e-007","2.4275e-001","-9.7798e-003"
"","   3.9116e-11","2.4767e-001","4.8901e-007","2.4275e-001","-9.7822e-003"
"","   4.8894e-11","2.4768e-001","5.6790e-007","2.4275e-001","-9.7843e-003"
"","   5.8673e-11","2.4768e-001","6.3387e-007","2.4275e-001","-9.7862e-003"
"","   6.8452e-11","2.4769e-001","7.1036e-007","2.4275e-001","-9.7773e-003"
"","   7.8231e-11","2.4770e-001","8.8286e-007","2.4275e-001","-9.7633e-003"
"","   8.8010e-11","2.4770e-001","1.0092e-006","2.4548e-001","-9.7493e-003"
"","   9.7789e-11","2.4770e-001","1.0379e-006","2.4535e-001","-9.7330e-003"
"","  10.7568e-11","2.4771e-001","9.3273e-007","2.4524e-001","-9.7034e-003"
"","  11.7347e-11","2.4771e-001","9.6040e-007","2.4514e-001","-9.6718e-003"
"","  12.7126e-11","2.4771e-001","9.8302e-007","2.4504e-001","-9.6322e-003"
"","  13.6905e-11","2.4771e-001","1.0173e-006","2.4496e-001","-9.5769e-003"
"","  14.6683e-11","2.4771e-001","1.0742e-006","2.4508e-001","-9.5205e-003"
"","  15.6462e-11","2.4771e-001","1.0860e-006","2.4591e-001","-9.4642e-003"
"","  16.6241e-11","2.4771e-001","1.0829e-006","2.4644e-001","-9.3985e-003"
"","  17.6020e-11","2.4771e-001","1.0704e-006","2.4697e-001","-9.3420e-003"
"","  18.5799e-11","2.4771e-001","1.0813e-006","2.4772e-001","-9.2701e-003"
"","  19.5578e-11","2.4771e-001","1.0986e-006","2.4892e-001","-9.1904e-003"
"","  20.5357e-11","2.4771e-001","1.1162e-006","2.5017e-001","-9.0541e-003"
"","  21.5136e-11","2.4770e-001","1.1287e-006","2.5191e-001","-8.9064e-003"
"","  22.4915e-11","2.4770e-001","1.1167e-006","2.5428e-001","-8.7453e-003"
"","  23.4693e-11","2.4770e-001","1.0941e-006","2.5663e-001","-8.5616e-003"
"","  24.4472e-11","2.4770e-001","1.0818e-006","2.5903e-001","-8.3686e-003"
"","  25.4251e-11","2.4770e-001","1.0774e-006","2.6184e-001","-8.1668e-003"
"","  26.4030e-11","2.4770e-001","1.0802e-006","2.6474e-001","-7.9578e-003"
"","  27.3809e-11","2.4770e-001","1.0726e-006","2.6785e-001","-7.7434e-003"
"","  28.3588e-11","2.4770e-001","1.0533e-006","2.7178e-001","-7.5269e-003"
"","  29.3367e-11","2.4770e-001","1.0280e-006","2.7795e-001","-7.2293e-003"
